index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,*,arp,CON,[10]
1,*,*,*,*,*,arp,INT,[8.09396654698548]
2,*,*,*,*,*,icmp,ECO,[7.602409745672353]
3,*,*,*,*,*,ospf,INT,[10]
4,*,*,*,*,*,ospf,REQ,[10]
5,*,*,*,*,*,tcp,CON,[0]
6,*,*,*,*,*,tcp,FIN,[2.035467086119232]
7,*,*,*,*,*,udp,CON,[0.8775669721615118]
8,*,*,*,*,*,udp,INT,[1.433616477646716]
9,*,*,*,*,*,udp,REQ,[1.3809390038112164]
10,*,*,*,*,*,?,INT,[10]
11,*,*,*,*,*,icmp,?,[0.18107149208503714]
12,*,*,*,*,*,?,?,[10]
13,*,*,*,*,*,?,REQ,[4.270872772488522]
14,*,*,*,*,*,tcp,?,[4.293681958868095]
