index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,dns,udp,CON,[1.3784837152099039]
1,*,*,*,*,dns,udp,INT,[1.3598289514508242]
2,*,*,*,*,ftp,tcp,FIN,[0.5959424963800561]
3,*,*,*,*,http,tcp,CON,[0]
4,*,*,*,*,http,tcp,FIN,[4.724584206253939]
5,*,*,*,*,smtp,tcp,FIN,[1.8438985507399401]
6,*,*,*,*,ssh,tcp,FIN,[0.8061962262046077]
7,*,*,*,*,unknown,arp,CON,[10]
8,*,*,*,*,unknown,arp,INT,[8.09396654698548]
9,*,*,*,*,unknown,icmp,ECO,[7.602409745672353]
10,*,*,*,*,unknown,ospf,INT,[10]
11,*,*,*,*,unknown,ospf,REQ,[10]
12,*,*,*,*,unknown,tcp,CON,[0]
13,*,*,*,*,unknown,tcp,FIN,[0.7826292530157387]
14,*,*,*,*,unknown,udp,CON,[0]
15,*,*,*,*,unknown,udp,INT,[1.885027969524855]
16,*,*,*,*,?,udp,INT,[10]
17,*,*,*,*,?,?,?,[10]
18,*,*,*,*,?,tcp,CON,[0]
19,*,*,*,*,smtp,tcp,?,[4.123105625617661]
20,*,*,*,*,unknown,?,INT,[10]
21,*,*,*,*,unknown,icmp,?,[0.18107149208503714]
22,*,*,*,*,unknown,?,REQ,[4.26772157243779]
23,*,*,*,*,unknown,tcp,?,[4.279015046922799]
