index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,*,dns,udp,*,[1.4322008267729407]
1,*,*,*,*,ftp,tcp,*,[0.5837300238472755]
2,*,*,*,*,http,tcp,*,[4.692318623339308]
3,*,*,*,*,smtp,tcp,*,[1.8526788897280513]
4,*,*,*,*,ssh,tcp,*,[0.7993754403911871]
5,*,*,*,*,unknown,arp,*,[9.897559774519332]
6,*,*,*,*,unknown,icmp,*,[6.3790522565901355]
7,*,*,*,*,unknown,ospf,*,[10]
8,*,*,*,*,unknown,tcp,*,[1.0925645863360998]
9,*,*,*,*,unknown,udp,*,[0.9576030594404084]
10,*,*,*,*,?,udp,*,[10]
11,*,*,*,*,?,?,*,[10]
12,*,*,*,*,unknown,?,*,[10]
