index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,*,CON,[10]
1,*,*,*,0,*,*,INT,[10]
2,*,*,*,0,*,*,REQ,[10]
3,*,*,*,111,*,*,CON,[0]
4,*,*,*,138,*,*,INT,[0]
5,*,*,*,143,*,*,FIN,[1.1313382502180958]
6,*,*,*,1723,*,*,FIN,[3.141514864917862]
7,*,*,*,179,*,*,FIN,[0]
8,*,*,*,21,*,*,FIN,[0.6081939435457259]
9,*,*,*,22,*,*,FIN,[0.8049749349391103]
10,*,*,*,25,*,*,FIN,[1.842447788913259]
11,*,*,*,445,*,*,FIN,[2.850249297787265]
12,*,*,*,48879,*,*,ECO,[3.0983866769659336]
13,*,*,*,514,*,*,INT,[5.3434311580460765]
14,*,*,*,5190,*,*,FIN,[0]
15,*,*,*,520,*,*,INT,[0.15555048640005575]
16,*,*,*,52233,*,*,ECO,[10]
17,*,*,*,53,*,*,CON,[1.3784814777765901]
18,*,*,*,53,*,*,INT,[1.3580358862035022]
19,*,*,*,6881,*,*,FIN,[0.8638667270338353]
20,*,*,*,80,*,*,CON,[0]
21,*,*,*,80,*,*,FIN,[4.630467242866148]
22,*,*,*,?,*,*,FIN,[0]
23,*,*,*,?,*,*,CON,[0]
24,*,*,*,?,*,*,REQ,[4.624826526928633]
25,*,*,*,?,*,*,INT,[10]
26,*,*,*,25,*,*,?,[1.9402850002906638]
27,*,*,*,48879,*,*,?,[1.9639610121239313]
28,*,*,*,52233,*,*,?,[2.8284271247461903]
