index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,arp,*,[9.897559774519332]
1,*,*,*,0,*,ospf,*,[10]
2,*,*,*,111,*,udp,*,[1.4406680950500497]
3,*,*,*,138,*,udp,*,[0]
4,*,*,*,143,*,tcp,*,[1.1201983346582338]
5,*,*,*,1723,*,tcp,*,[3.141514864917862]
6,*,*,*,179,*,tcp,*,[0]
7,*,*,*,21,*,tcp,*,[0.5948732191058046]
8,*,*,*,22,*,tcp,*,[0.7963718949866447]
9,*,*,*,25,*,tcp,*,[1.8496963354018559]
10,*,*,*,445,*,tcp,*,[2.8396014586524103]
11,*,*,*,48879,*,icmp,*,[4.006938426723768]
12,*,*,*,514,*,udp,*,[5.303736302676486]
13,*,*,*,5190,*,tcp,*,[0]
14,*,*,*,520,*,udp,*,[0.14991017403734372]
15,*,*,*,52233,*,icmp,*,[10]
16,*,*,*,53,*,udp,*,[1.423473221077905]
17,*,*,*,6881,*,tcp,*,[0.8581527292183045]
18,*,*,*,80,*,tcp,*,[4.618266395429047]
19,*,*,*,0,*,?,*,[10]
20,*,*,*,?,*,tcp,*,[0.19270454121040687]
21,*,*,*,?,*,udp,*,[0.9336260580760065]
22,*,*,*,52233,*,?,*,[2.8284271247461903]
