index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,*,CON,[10]
1,*,*,*,0,unknown,*,INT,[10]
2,*,*,*,0,unknown,*,REQ,[10]
3,*,*,*,111,unknown,*,CON,[0]
4,*,*,*,138,unknown,*,INT,[0]
5,*,*,*,143,unknown,*,FIN,[1.1313382502180958]
6,*,*,*,1723,unknown,*,FIN,[3.141514864917862]
7,*,*,*,179,unknown,*,FIN,[0]
8,*,*,*,21,ftp,*,FIN,[0.5959424963800561]
9,*,*,*,22,ssh,*,FIN,[0.8061962262046077]
10,*,*,*,25,smtp,*,FIN,[1.8438985507399401]
11,*,*,*,445,unknown,*,FIN,[2.850249297787265]
12,*,*,*,48879,unknown,*,ECO,[2.9977507025891135]
13,*,*,*,514,unknown,*,INT,[5.3434311580460765]
14,*,*,*,5190,unknown,*,FIN,[0]
15,*,*,*,520,unknown,*,INT,[0.15555048640005575]
16,*,*,*,52233,unknown,*,ECO,[10]
17,*,*,*,53,dns,*,CON,[1.3784814777765901]
18,*,*,*,53,dns,*,INT,[1.3580770711543615]
19,*,*,*,6881,unknown,*,FIN,[0.8638667270338353]
20,*,*,*,80,http,*,CON,[0]
21,*,*,*,80,http,*,FIN,[4.627839045170919]
22,*,*,*,80,unknown,*,FIN,[0]
23,*,*,*,?,unknown,*,FIN,[10]
24,*,*,*,?,unknown,*,CON,[4.696058455163925]
25,*,*,*,?,unknown,*,REQ,[10]
26,*,*,*,?,?,*,?,[10]
27,*,*,*,?,unknown,*,INT,[10]
28,*,*,*,21,?,*,FIN,[4.123105625617661]
29,*,*,*,25,smtp,*,?,[4.123105625617661]
30,*,*,*,48879,unknown,*,?,[2.0421098809705236]
31,*,*,*,52233,unknown,*,?,[2.8284271247461903]
