index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,arp,CON,[10]
1,*,*,*,0,unknown,arp,INT,[8.09396654698548]
2,*,*,*,0,unknown,ospf,INT,[10]
3,*,*,*,0,unknown,ospf,REQ,[10]
4,*,*,*,111,unknown,udp,CON,[0]
5,*,*,*,138,unknown,udp,INT,[0]
6,*,*,*,143,unknown,tcp,FIN,[1.1313382502180958]
7,*,*,*,1723,unknown,tcp,FIN,[3.141514864917862]
8,*,*,*,179,unknown,tcp,FIN,[0]
9,*,*,*,21,ftp,tcp,FIN,[0.5959424963800561]
10,*,*,*,22,ssh,tcp,FIN,[0.8061962262046077]
11,*,*,*,25,smtp,tcp,FIN,[1.8438985507399401]
12,*,*,*,445,unknown,tcp,FIN,[2.850249297787265]
13,*,*,*,48879,unknown,icmp,ECO,[2.9977507025891135]
14,*,*,*,514,unknown,udp,INT,[5.3434311580460765]
15,*,*,*,5190,unknown,tcp,FIN,[0]
16,*,*,*,520,unknown,udp,INT,[0.15555048640005575]
17,*,*,*,52233,unknown,icmp,ECO,[10]
18,*,*,*,53,dns,udp,CON,[1.3784814777765901]
19,*,*,*,53,dns,udp,INT,[1.3580770711543615]
20,*,*,*,6881,unknown,tcp,FIN,[0.8638667270338353]
21,*,*,*,80,http,tcp,CON,[0]
22,*,*,*,80,http,tcp,FIN,[4.627839045170919]
23,*,*,*,80,unknown,tcp,FIN,[0]
24,*,*,*,0,unknown,?,INT,[10]
25,*,*,*,?,?,?,?,[10]
26,*,*,*,?,unknown,tcp,FIN,[10]
27,*,*,*,?,unknown,udp,CON,[10]
28,*,*,*,?,unknown,udp,INT,[10]
29,*,*,*,21,?,tcp,FIN,[4.123105625617661]
30,*,*,*,25,smtp,tcp,?,[4.123105625617661]
31,*,*,*,48879,unknown,icmp,?,[2.886751345948129]
32,*,*,*,?,unknown,tcp,CON,[0]
