index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,unknown,arp,*,[9.897559774519332]
1,*,*,*,0,unknown,ospf,*,[10]
2,*,*,*,111,unknown,udp,*,[1.4406680950500497]
3,*,*,*,138,unknown,udp,*,[0]
4,*,*,*,143,unknown,tcp,*,[1.1201983346582338]
5,*,*,*,1723,unknown,tcp,*,[3.141514864917862]
6,*,*,*,179,unknown,tcp,*,[0]
7,*,*,*,21,ftp,tcp,*,[0.5837300238472755]
8,*,*,*,22,ssh,tcp,*,[0.7993754403911871]
9,*,*,*,25,smtp,tcp,*,[1.8526788897280513]
10,*,*,*,445,unknown,tcp,*,[2.8396014586524103]
11,*,*,*,48879,unknown,icmp,*,[3.857380314306662]
12,*,*,*,514,unknown,udp,*,[5.303736302676486]
13,*,*,*,5190,unknown,tcp,*,[0]
14,*,*,*,520,unknown,udp,*,[0.14991017403734372]
15,*,*,*,52233,unknown,icmp,*,[10]
16,*,*,*,53,dns,udp,*,[1.4235141500891912]
17,*,*,*,6881,unknown,tcp,*,[0.8581527292183045]
18,*,*,*,80,http,tcp,*,[4.595980516206821]
19,*,*,*,80,unknown,tcp,*,[0]
20,*,*,*,0,unknown,?,*,[10]
21,*,*,*,?,unknown,tcp,*,[10]
22,*,*,*,?,unknown,udp,*,[10]
23,*,*,*,?,?,?,*,[10]
24,*,*,*,?,dns,udp,*,[10]
25,*,*,*,21,?,tcp,*,[1.2126781251816647]
26,*,*,*,52233,unknown,?,*,[2.8284271247461903]
