index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,0,*,unknown,*,CON,[10]
1,*,*,0,*,unknown,*,INT,[10]
2,*,*,0,*,unknown,*,REQ,[10]
3,*,*,1043,*,dns,*,INT,[1.2616330170484307]
4,*,*,138,*,unknown,*,INT,[0]
5,*,*,2048,*,unknown,*,ECO,[7.602409745672353]
6,*,*,47439,*,dns,*,INT,[1.4579221211714783]
7,*,*,0,*,unknown,*,?,[4.919349550499537]
8,*,*,?,*,?,*,?,[10]
9,*,*,?,*,unknown,*,CON,[10]
10,*,*,?,*,unknown,*,REQ,[10]
11,*,*,?,*,unknown,*,INT,[6.387792526953999]
12,*,*,?,*,dns,*,INT,[3.9968849080216873]
13,*,*,2048,*,unknown,*,?,[4.521814736434731]
