index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,0,0,*,*,*,[10]
1,*,*,1043,53,*,*,*,[1.26147297869938]
2,*,*,138,138,*,*,*,[0]
3,*,*,2048,48879,*,*,*,[3.046424421249601]
4,*,*,2048,52233,*,*,*,[10]
5,*,*,47439,53,*,*,*,[1.4579241377661165]
6,*,*,?,48879,*,*,*,[2.886751345948129]
7,*,*,0,?,*,*,*,[3.336230624913196]
8,*,*,?,?,*,*,*,[2.4129064763103405]
9,*,*,?,53,*,*,*,[1.3610070825129301]
10,*,*,2048,?,*,*,*,[2.7136021011998723]
11,*,*,?,52233,*,*,*,[2.8284271247461903]
