index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,0,0,unknown,*,*,[10]
1,*,*,1043,53,dns,*,*,[1.2614648783218203]
2,*,*,138,138,unknown,*,*,[0]
3,*,*,2048,48879,unknown,*,*,[3.046424421249601]
4,*,*,2048,52233,unknown,*,*,[10]
5,*,*,47439,53,dns,*,*,[1.4579241377661165]
6,*,*,?,48879,unknown,*,*,[4.919349550499537]
7,*,*,0,?,unknown,*,*,[4.919349550499537]
8,*,*,?,?,?,*,*,[10]
9,*,*,?,53,dns,*,*,[10]
10,*,*,2048,?,unknown,*,*,[4.77889504360975]
11,*,*,?,52233,unknown,*,*,[4.123105625617661]
