index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,0,0,unknown,arp,CON,[10]
1,*,*,0,0,unknown,arp,INT,[8.09396654698548]
2,*,*,0,0,unknown,ospf,INT,[10]
3,*,*,0,0,unknown,ospf,REQ,[10]
4,*,*,1043,53,dns,udp,INT,[1.2616330170484307]
5,*,*,138,138,unknown,udp,INT,[0]
6,*,*,2048,48879,unknown,icmp,ECO,[2.9977507025891135]
7,*,*,2048,52233,unknown,icmp,ECO,[10]
8,*,*,47439,53,dns,udp,INT,[1.4579221211714783]
9,*,*,0,0,unknown,?,INT,[10]
10,*,*,?,?,?,?,?,[10]
11,*,*,?,53,dns,udp,INT,[2.496150883013531]
