index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,*,arp,INT,[8.74573066576194]
1,*,10.40.182.255,*,*,*,udp,INT,[0]
2,*,10.40.182.3,*,*,*,arp,CON,[8.81087844357011]
3,*,10.40.182.3,*,*,*,arp,INT,[7.3401668087644865]
4,*,10.40.85.1,*,*,*,arp,CON,[10]
5,*,10.40.85.30,*,*,*,arp,CON,[9.963282104370133]
6,*,149.171.126.0,*,*,*,tcp,FIN,[0.3733475107031819]
7,*,149.171.126.0,*,*,*,udp,CON,[1.070747781603619]
8,*,149.171.126.1,*,*,*,tcp,FIN,[0.6905227759371761]
9,*,149.171.126.1,*,*,*,udp,CON,[1.056083173060305]
10,*,149.171.126.10,*,*,*,tcp,FIN,[10]
11,*,149.171.126.11,*,*,*,tcp,FIN,[0.6046019783484794]
12,*,149.171.126.12,*,*,*,tcp,FIN,[0.353111876624515]
13,*,149.171.126.13,*,*,*,tcp,FIN,[0.5395819779677373]
14,*,149.171.126.14,*,*,*,tcp,FIN,[2.239083676482879]
15,*,149.171.126.15,*,*,*,tcp,FIN,[5.097014383994777]
16,*,149.171.126.16,*,*,*,tcp,FIN,[0.8482586129095772]
17,*,149.171.126.17,*,*,*,tcp,FIN,[1.1117800118711454]
18,*,149.171.126.18,*,*,*,tcp,FIN,[0.46544760520409123]
19,*,149.171.126.19,*,*,*,tcp,FIN,[0]
20,*,149.171.126.2,*,*,*,tcp,FIN,[0.8201875524913784]
21,*,149.171.126.2,*,*,*,udp,CON,[1.738926134644782]
22,*,149.171.126.3,*,*,*,tcp,FIN,[0.7960101429920052]
23,*,149.171.126.3,*,*,*,udp,CON,[0.10106128711392418]
24,*,149.171.126.4,*,*,*,tcp,FIN,[0.36260778730055343]
25,*,149.171.126.4,*,*,*,udp,CON,[0.2854239911516975]
26,*,149.171.126.5,*,*,*,tcp,FIN,[1.9833264202629532]
27,*,149.171.126.5,*,*,*,udp,CON,[0.9661650069773201]
28,*,149.171.126.6,*,*,*,tcp,FIN,[0]
29,*,149.171.126.6,*,*,*,udp,CON,[0.880751517305702]
30,*,149.171.126.7,*,*,*,tcp,FIN,[1.629155228290509]
31,*,149.171.126.7,*,*,*,udp,CON,[0.24824874908697767]
32,*,149.171.126.8,*,*,*,tcp,FIN,[0.001706712386806078]
33,*,149.171.126.8,*,*,*,udp,CON,[0.4602562590069757]
34,*,149.171.126.9,*,*,*,tcp,FIN,[0.3781239550491033]
35,*,149.171.126.9,*,*,*,udp,CON,[0.3925756133824199]
36,*,192.168.241.50,*,*,*,icmp,ECO,[10]
37,*,224.0.0.5,*,*,*,ospf,REQ,[10]
38,*,?,*,*,*,icmp,ECO,[3.3093806066996883]
39,*,?,*,*,*,?,?,[10]
40,*,?,*,*,*,udp,INT,[1.9386067511021472]
41,*,149.171.126.11,*,*,*,tcp,?,[0]
42,*,?,*,*,*,udp,CON,[10]
43,*,?,*,*,*,tcp,CON,[0]
44,*,149.171.126.12,*,*,*,tcp,?,[0]
45,*,149.171.126.13,*,*,*,tcp,?,[0]
46,*,149.171.126.17,*,*,*,tcp,?,[10]
47,*,149.171.126.18,*,*,*,tcp,?,[0]
48,*,?,*,*,*,tcp,FIN,[1.7972990601655374]
