index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,unknown,*,INT,[8.74573066576194]
1,*,10.40.182.255,*,*,unknown,*,INT,[0]
2,*,10.40.182.3,*,*,unknown,*,CON,[8.81087844357011]
3,*,10.40.182.3,*,*,unknown,*,INT,[7.3401668087644865]
4,*,10.40.85.1,*,*,unknown,*,CON,[10]
5,*,10.40.85.30,*,*,unknown,*,CON,[9.963282104370133]
6,*,149.171.126.0,*,*,dns,*,CON,[1.9840036086011108]
7,*,149.171.126.0,*,*,ftp,*,FIN,[2.156753756389184]
8,*,149.171.126.0,*,*,http,*,FIN,[0.03594147168186551]
9,*,149.171.126.0,*,*,smtp,*,FIN,[0.9460144799242844]
10,*,149.171.126.0,*,*,ssh,*,FIN,[0]
11,*,149.171.126.0,*,*,unknown,*,CON,[0]
12,*,149.171.126.0,*,*,unknown,*,FIN,[0.2047735943726457]
13,*,149.171.126.1,*,*,dns,*,CON,[2.0525976132934742]
14,*,149.171.126.1,*,*,ftp,*,FIN,[0]
15,*,149.171.126.1,*,*,http,*,FIN,[0.8869958126254722]
16,*,149.171.126.1,*,*,smtp,*,FIN,[0]
17,*,149.171.126.1,*,*,ssh,*,FIN,[0.8848081946010166]
18,*,149.171.126.1,*,*,unknown,*,CON,[0]
19,*,149.171.126.1,*,*,unknown,*,FIN,[0.4426382678091313]
20,*,149.171.126.10,*,*,unknown,*,FIN,[5.528540498218443]
21,*,149.171.126.11,*,*,unknown,*,FIN,[0.5230214831588965]
22,*,149.171.126.12,*,*,unknown,*,FIN,[0]
23,*,149.171.126.13,*,*,unknown,*,FIN,[0.0819639498614165]
24,*,149.171.126.14,*,*,unknown,*,FIN,[1.3387915759039524]
25,*,149.171.126.15,*,*,unknown,*,FIN,[4.334517692581621]
26,*,149.171.126.16,*,*,unknown,*,FIN,[0]
27,*,149.171.126.17,*,*,unknown,*,FIN,[0.09059637891065014]
28,*,149.171.126.18,*,*,unknown,*,FIN,[0]
29,*,149.171.126.19,*,*,unknown,*,FIN,[0]
30,*,149.171.126.2,*,*,dns,*,CON,[1.4296504860230035]
31,*,149.171.126.2,*,*,ftp,*,FIN,[1.55924072023931]
32,*,149.171.126.2,*,*,http,*,FIN,[1.2802865892961734]
33,*,149.171.126.2,*,*,smtp,*,FIN,[0]
34,*,149.171.126.2,*,*,ssh,*,FIN,[0.9189189189189191]
35,*,149.171.126.2,*,*,unknown,*,CON,[1.6235978448176243]
36,*,149.171.126.2,*,*,unknown,*,FIN,[0.3900498464601221]
37,*,149.171.126.3,*,*,dns,*,CON,[0.15529439510322407]
38,*,149.171.126.3,*,*,ftp,*,FIN,[0.20814356449865756]
39,*,149.171.126.3,*,*,http,*,FIN,[1.9909279396228368]
40,*,149.171.126.3,*,*,smtp,*,FIN,[0.8549300627775172]
41,*,149.171.126.3,*,*,ssh,*,FIN,[0.6911230565511243]
42,*,149.171.126.3,*,*,unknown,*,CON,[0]
43,*,149.171.126.3,*,*,unknown,*,FIN,[0.15473088068531507]
44,*,149.171.126.4,*,*,dns,*,CON,[1.0238117020521167]
45,*,149.171.126.4,*,*,ftp,*,FIN,[0.7939852308955923]
46,*,149.171.126.4,*,*,http,*,FIN,[1.0140370611574314]
47,*,149.171.126.4,*,*,smtp,*,FIN,[0]
48,*,149.171.126.4,*,*,ssh,*,FIN,[1.2113349331964411]
49,*,149.171.126.4,*,*,unknown,*,CON,[0]
50,*,149.171.126.4,*,*,unknown,*,FIN,[0.07829819663470797]
51,*,149.171.126.5,*,*,dns,*,CON,[0.827038852783805]
52,*,149.171.126.5,*,*,ftp,*,FIN,[1.9474520942613]
53,*,149.171.126.5,*,*,http,*,FIN,[1.9027367749302118]
54,*,149.171.126.5,*,*,smtp,*,FIN,[0.6461772375809912]
55,*,149.171.126.5,*,*,ssh,*,FIN,[1.0132805218027672]
56,*,149.171.126.5,*,*,unknown,*,CON,[0.7825214534188167]
57,*,149.171.126.5,*,*,unknown,*,FIN,[1.3848838821325171]
58,*,149.171.126.6,*,*,dns,*,CON,[1.6455374612927627]
59,*,149.171.126.6,*,*,ftp,*,FIN,[0]
60,*,149.171.126.6,*,*,http,*,FIN,[1.294320243426979]
61,*,149.171.126.6,*,*,smtp,*,FIN,[0.07231310663332946]
62,*,149.171.126.6,*,*,ssh,*,FIN,[1.1078574628453235]
63,*,149.171.126.6,*,*,unknown,*,CON,[0]
64,*,149.171.126.6,*,*,unknown,*,FIN,[0]
65,*,149.171.126.7,*,*,dns,*,CON,[0.025996649436708662]
66,*,149.171.126.7,*,*,ftp,*,FIN,[0]
67,*,149.171.126.7,*,*,http,*,FIN,[2.699023539856301]
68,*,149.171.126.7,*,*,smtp,*,FIN,[0.9340042571072403]
69,*,149.171.126.7,*,*,ssh,*,FIN,[0.4959714226673392]
70,*,149.171.126.7,*,*,unknown,*,CON,[0.4393435125917538]
71,*,149.171.126.7,*,*,unknown,*,FIN,[1.1845451402808842]
72,*,149.171.126.8,*,*,dns,*,CON,[1.257745330946112]
73,*,149.171.126.8,*,*,ftp,*,FIN,[0]
74,*,149.171.126.8,*,*,http,*,FIN,[1.0862104336945162]
75,*,149.171.126.8,*,*,smtp,*,FIN,[0.9693658293093829]
76,*,149.171.126.8,*,*,ssh,*,FIN,[0.24840891429043277]
77,*,149.171.126.8,*,*,unknown,*,CON,[0]
78,*,149.171.126.8,*,*,unknown,*,FIN,[0]
79,*,149.171.126.9,*,*,dns,*,CON,[0.789580883617326]
80,*,149.171.126.9,*,*,ftp,*,FIN,[0]
81,*,149.171.126.9,*,*,http,*,FIN,[2.3697844786410007]
82,*,149.171.126.9,*,*,smtp,*,FIN,[1.0131197541053893]
83,*,149.171.126.9,*,*,ssh,*,FIN,[1.1630427652021784]
84,*,149.171.126.9,*,*,unknown,*,CON,[0]
85,*,149.171.126.9,*,*,unknown,*,FIN,[0]
86,*,192.168.241.50,*,*,unknown,*,ECO,[10]
87,*,224.0.0.5,*,*,unknown,*,REQ,[10]
88,*,?,*,*,dns,*,INT,[1.8603273387932924]
89,*,?,*,*,?,*,?,[10]
90,*,?,*,*,ftp,*,FIN,[10]
91,*,149.171.126.10,*,*,?,*,FIN,[10]
92,*,?,*,*,http,*,FIN,[5.023740960184977]
93,*,?,*,*,unknown,*,ECO,[4.176716267786507]
94,*,149.171.126.10,*,*,unknown,*,?,[0.9612624316271173]
95,*,?,*,*,unknown,*,INT,[2.692933216788493]
96,*,?,*,*,unknown,*,REQ,[5.630493503254053]
97,*,149.171.126.11,*,*,?,*,FIN,[0.27637710100654417]
98,*,?,*,*,unknown,*,CON,[0]
99,*,149.171.126.11,*,*,unknown,*,?,[0.40219987073507396]
100,*,149.171.126.12,*,*,?,*,FIN,[3.1796886456117113]
101,*,149.171.126.12,*,*,unknown,*,?,[1.4164914900340746]
102,*,149.171.126.13,*,*,?,*,FIN,[3.263018171777229]
103,*,149.171.126.13,*,*,unknown,*,?,[0]
104,*,149.171.126.14,*,*,?,*,FIN,[10]
105,*,149.171.126.14,*,*,unknown,*,?,[3.1624907169465053]
106,*,149.171.126.15,*,*,?,*,FIN,[10]
107,*,149.171.126.15,*,*,unknown,*,?,[0]
108,*,149.171.126.16,*,*,?,*,FIN,[10]
109,*,149.171.126.16,*,*,unknown,*,?,[0]
110,*,149.171.126.17,*,*,?,*,FIN,[4.012576068210588]
111,*,149.171.126.17,*,*,unknown,*,?,[10]
112,*,149.171.126.18,*,*,?,*,FIN,[2.2361222739473856]
113,*,149.171.126.18,*,*,unknown,*,?,[0.7530407229095925]
114,*,149.171.126.19,*,*,?,*,FIN,[0]
115,*,149.171.126.19,*,*,unknown,*,?,[7.848274246768539]
116,*,?,*,*,unknown,*,FIN,[1.511857892036909]
