index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,unknown,arp,INT,[8.74573066576194]
1,*,10.40.182.255,*,*,unknown,udp,INT,[0]
2,*,10.40.182.3,*,*,unknown,arp,CON,[8.81087844357011]
3,*,10.40.182.3,*,*,unknown,arp,INT,[7.3401668087644865]
4,*,10.40.85.1,*,*,unknown,arp,CON,[10]
5,*,10.40.85.30,*,*,unknown,arp,CON,[9.963282104370133]
6,*,149.171.126.0,*,*,dns,udp,CON,[1.9840036086011108]
7,*,149.171.126.0,*,*,ftp,tcp,FIN,[2.156753756389184]
8,*,149.171.126.0,*,*,http,tcp,FIN,[0.03594147168186551]
9,*,149.171.126.0,*,*,smtp,tcp,FIN,[0.9460144799242844]
10,*,149.171.126.0,*,*,ssh,tcp,FIN,[0]
11,*,149.171.126.0,*,*,unknown,tcp,FIN,[0.2047735943726457]
12,*,149.171.126.0,*,*,unknown,udp,CON,[0]
13,*,149.171.126.1,*,*,dns,udp,CON,[2.0525976132934742]
14,*,149.171.126.1,*,*,ftp,tcp,FIN,[0]
15,*,149.171.126.1,*,*,http,tcp,FIN,[0.8869958126254722]
16,*,149.171.126.1,*,*,smtp,tcp,FIN,[0]
17,*,149.171.126.1,*,*,ssh,tcp,FIN,[0.8848081946010166]
18,*,149.171.126.1,*,*,unknown,tcp,FIN,[0.4426382678091313]
19,*,149.171.126.1,*,*,unknown,udp,CON,[0]
20,*,149.171.126.10,*,*,unknown,tcp,FIN,[5.528540498218443]
21,*,149.171.126.11,*,*,unknown,tcp,FIN,[0.5230214831588965]
22,*,149.171.126.12,*,*,unknown,tcp,FIN,[0]
23,*,149.171.126.13,*,*,unknown,tcp,FIN,[0.0819639498614165]
24,*,149.171.126.14,*,*,unknown,tcp,FIN,[1.3387915759039524]
25,*,149.171.126.15,*,*,unknown,tcp,FIN,[4.334517692581621]
26,*,149.171.126.16,*,*,unknown,tcp,FIN,[0]
27,*,149.171.126.17,*,*,unknown,tcp,FIN,[0.09059637891065014]
28,*,149.171.126.18,*,*,unknown,tcp,FIN,[0]
29,*,149.171.126.19,*,*,unknown,tcp,FIN,[0]
30,*,149.171.126.2,*,*,dns,udp,CON,[1.4296504860230035]
31,*,149.171.126.2,*,*,ftp,tcp,FIN,[1.55924072023931]
32,*,149.171.126.2,*,*,http,tcp,FIN,[1.2802865892961734]
33,*,149.171.126.2,*,*,smtp,tcp,FIN,[0]
34,*,149.171.126.2,*,*,ssh,tcp,FIN,[0.9189189189189191]
35,*,149.171.126.2,*,*,unknown,tcp,FIN,[0.3900498464601221]
36,*,149.171.126.2,*,*,unknown,udp,CON,[1.6936943887826565]
37,*,149.171.126.3,*,*,dns,udp,CON,[0.15529439510322407]
38,*,149.171.126.3,*,*,ftp,tcp,FIN,[0.20814356449865756]
39,*,149.171.126.3,*,*,http,tcp,FIN,[1.9909279396228368]
40,*,149.171.126.3,*,*,smtp,tcp,FIN,[0.8549300627775172]
41,*,149.171.126.3,*,*,ssh,tcp,FIN,[0.6911230565511243]
42,*,149.171.126.3,*,*,unknown,tcp,FIN,[0.15473088068531507]
43,*,149.171.126.3,*,*,unknown,udp,CON,[0.007750075321410766]
44,*,149.171.126.4,*,*,dns,udp,CON,[1.0238117020521167]
45,*,149.171.126.4,*,*,ftp,tcp,FIN,[0.7939852308955923]
46,*,149.171.126.4,*,*,http,tcp,FIN,[1.0140370611574314]
47,*,149.171.126.4,*,*,smtp,tcp,FIN,[0]
48,*,149.171.126.4,*,*,ssh,tcp,FIN,[1.2113349331964411]
49,*,149.171.126.4,*,*,unknown,tcp,FIN,[0.07829819663470797]
50,*,149.171.126.4,*,*,unknown,udp,CON,[0]
51,*,149.171.126.5,*,*,dns,udp,CON,[0.827038852783805]
52,*,149.171.126.5,*,*,ftp,tcp,FIN,[1.9474520942613]
53,*,149.171.126.5,*,*,http,tcp,FIN,[1.9027367749302118]
54,*,149.171.126.5,*,*,smtp,tcp,FIN,[0.6461772375809912]
55,*,149.171.126.5,*,*,ssh,tcp,FIN,[1.0132805218027672]
56,*,149.171.126.5,*,*,unknown,tcp,FIN,[1.3848838821325171]
57,*,149.171.126.5,*,*,unknown,udp,CON,[0.8044450953103102]
58,*,149.171.126.6,*,*,dns,udp,CON,[1.6455374612927627]
59,*,149.171.126.6,*,*,ftp,tcp,FIN,[0]
60,*,149.171.126.6,*,*,http,tcp,FIN,[1.294320243426979]
