index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,unknown,arp,*,[8.74573066576194]
1,*,10.40.182.255,*,*,unknown,udp,*,[0]
2,*,10.40.182.3,*,*,unknown,arp,*,[8.096389019279838]
3,*,10.40.85.1,*,*,unknown,arp,*,[10]
4,*,10.40.85.30,*,*,unknown,arp,*,[9.963282104370133]
5,*,149.171.126.0,*,*,dns,udp,*,[1.9840036086011108]
6,*,149.171.126.0,*,*,ftp,tcp,*,[2.156753756389184]
7,*,149.171.126.0,*,*,http,tcp,*,[0.026442231294513122]
8,*,149.171.126.0,*,*,smtp,tcp,*,[0.9460144799242844]
9,*,149.171.126.0,*,*,ssh,tcp,*,[0]
10,*,149.171.126.0,*,*,unknown,tcp,*,[0.19641432813406554]
11,*,149.171.126.0,*,*,unknown,udp,*,[0]
12,*,149.171.126.1,*,*,dns,udp,*,[2.0525976132934742]
13,*,149.171.126.1,*,*,ftp,tcp,*,[0]
14,*,149.171.126.1,*,*,http,tcp,*,[0.8700226525109634]
15,*,149.171.126.1,*,*,smtp,tcp,*,[0]
16,*,149.171.126.1,*,*,ssh,tcp,*,[0.8848081946010166]
17,*,149.171.126.1,*,*,unknown,tcp,*,[0.4321733973104944]
18,*,149.171.126.1,*,*,unknown,udp,*,[0]
19,*,149.171.126.10,*,*,unknown,tcp,*,[5.510083260637888]
20,*,149.171.126.11,*,*,unknown,tcp,*,[0.32182449388472506]
21,*,149.171.126.12,*,*,unknown,tcp,*,[0]
22,*,149.171.126.13,*,*,unknown,tcp,*,[0]
23,*,149.171.126.14,*,*,unknown,tcp,*,[1.3372136600495863]
24,*,149.171.126.15,*,*,unknown,tcp,*,[3.262890899351785]
25,*,149.171.126.16,*,*,unknown,tcp,*,[0]
26,*,149.171.126.17,*,*,unknown,tcp,*,[9.039611494749373]
27,*,149.171.126.18,*,*,unknown,tcp,*,[0]
28,*,149.171.126.19,*,*,unknown,tcp,*,[0]
29,*,149.171.126.2,*,*,dns,udp,*,[1.4296504860230035]
30,*,149.171.126.2,*,*,ftp,tcp,*,[1.5408075438357753]
31,*,149.171.126.2,*,*,http,tcp,*,[1.257785824143538]
32,*,149.171.126.2,*,*,smtp,tcp,*,[0]
33,*,149.171.126.2,*,*,ssh,tcp,*,[0.9128918002826376]
34,*,149.171.126.2,*,*,unknown,tcp,*,[0.3819836871223125]
35,*,149.171.126.2,*,*,unknown,udp,*,[1.6936943887826565]
36,*,149.171.126.3,*,*,dns,udp,*,[0.15529439510322407]
37,*,149.171.126.3,*,*,ftp,tcp,*,[0.19345580813353394]
38,*,149.171.126.3,*,*,http,tcp,*,[1.97057417294015]
39,*,149.171.126.3,*,*,smtp,tcp,*,[0.8549300627775172]
40,*,149.171.126.3,*,*,ssh,tcp,*,[0.6879367000262991]
