index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,0,*,*,*,[8.74573066576194]
1,*,10.40.182.255,*,138,*,*,*,[0]
2,*,10.40.182.3,*,0,*,*,*,[8.096389019279838]
3,*,10.40.85.1,*,0,*,*,*,[10]
4,*,10.40.85.30,*,0,*,*,*,[9.963282104370133]
5,*,149.171.126.0,*,111,*,*,*,[0]
6,*,149.171.126.0,*,143,*,*,*,[0]
7,*,149.171.126.0,*,21,*,*,*,[2.156753756389184]
8,*,149.171.126.0,*,22,*,*,*,[0]
9,*,149.171.126.0,*,25,*,*,*,[0.9460144799242844]
10,*,149.171.126.0,*,5190,*,*,*,[0]
11,*,149.171.126.0,*,53,*,*,*,[1.9840036086011108]
12,*,149.171.126.0,*,6881,*,*,*,[0.6022833551561908]
13,*,149.171.126.0,*,80,*,*,*,[0.01208134842177568]
14,*,149.171.126.1,*,111,*,*,*,[0]
15,*,149.171.126.1,*,143,*,*,*,[0.2601431180832477]
16,*,149.171.126.1,*,21,*,*,*,[0]
17,*,149.171.126.1,*,22,*,*,*,[0.8848081946010166]
18,*,149.171.126.1,*,25,*,*,*,[0]
19,*,149.171.126.1,*,5190,*,*,*,[0]
20,*,149.171.126.1,*,53,*,*,*,[2.0525976132934742]
21,*,149.171.126.1,*,6881,*,*,*,[1.133170507852156]
22,*,149.171.126.1,*,80,*,*,*,[0.8540943551146929]
23,*,149.171.126.14,*,179,*,*,*,[0]
24,*,149.171.126.15,*,179,*,*,*,[0.573543686842547]
25,*,149.171.126.2,*,111,*,*,*,[1.7282334873479877]
26,*,149.171.126.2,*,143,*,*,*,[0.3992620471888055]
27,*,149.171.126.2,*,21,*,*,*,[1.5408075438357753]
28,*,149.171.126.2,*,22,*,*,*,[0.9011843712968968]
29,*,149.171.126.2,*,25,*,*,*,[0]
30,*,149.171.126.2,*,5190,*,*,*,[0]
31,*,149.171.126.2,*,53,*,*,*,[1.4296504860230035]
32,*,149.171.126.2,*,6881,*,*,*,[0.37750298366111035]
33,*,149.171.126.2,*,80,*,*,*,[1.2163573292418697]
34,*,149.171.126.3,*,111,*,*,*,[0]
35,*,149.171.126.3,*,143,*,*,*,[0]
36,*,149.171.126.3,*,21,*,*,*,[0.19345580813353394]
37,*,149.171.126.3,*,22,*,*,*,[0.682736429567124]
38,*,149.171.126.3,*,25,*,*,*,[0.8549300627775172]
39,*,149.171.126.3,*,5190,*,*,*,[0]
40,*,149.171.126.3,*,53,*,*,*,[0.15529439510322407]
41,*,149.171.126.3,*,6881,*,*,*,[0.5960333179699108]
42,*,149.171.126.3,*,80,*,*,*,[1.9281681160031203]
43,*,149.171.126.4,*,111,*,*,*,[0]
44,*,149.171.126.4,*,143,*,*,*,[0]
45,*,149.171.126.4,*,21,*,*,*,[0.7923608291868519]
46,*,149.171.126.4,*,22,*,*,*,[1.2113349331964411]
47,*,149.171.126.4,*,25,*,*,*,[0]
48,*,149.171.126.4,*,5190,*,*,*,[0]
49,*,149.171.126.4,*,53,*,*,*,[1.0238117020521167]
50,*,149.171.126.4,*,6881,*,*,*,[0.8191919037683136]
51,*,149.171.126.4,*,80,*,*,*,[0.9726306598346901]
52,*,149.171.126.5,*,111,*,*,*,[0.7746581506102005]
53,*,149.171.126.5,*,143,*,*,*,[0.3170682031161153]
54,*,149.171.126.5,*,21,*,*,*,[1.9474520942613]
55,*,149.171.126.5,*,22,*,*,*,[0.9915975044493892]
56,*,149.171.126.5,*,25,*,*,*,[0.6461772375809912]
57,*,149.171.126.5,*,5190,*,*,*,[0]
58,*,149.171.126.5,*,53,*,*,*,[0.8271916254514711]
59,*,149.171.126.5,*,6881,*,*,*,[1.5526584954662683]
60,*,149.171.126.5,*,80,*,*,*,[1.8659533314409662]
61,*,149.171.126.6,*,111,*,*,*,[0]
62,*,149.171.126.6,*,143,*,*,*,[2.0139959720120832]
