index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,0,unknown,*,*,[8.74573066576194]
1,*,10.40.182.255,*,138,unknown,*,*,[0]
2,*,10.40.182.3,*,0,unknown,*,*,[8.096389019279838]
3,*,10.40.85.1,*,0,unknown,*,*,[10]
4,*,10.40.85.30,*,0,unknown,*,*,[9.963282104370133]
5,*,149.171.126.0,*,111,unknown,*,*,[0]
6,*,149.171.126.0,*,143,unknown,*,*,[0]
7,*,149.171.126.0,*,21,ftp,*,*,[2.156753756389184]
8,*,149.171.126.0,*,22,ssh,*,*,[0]
9,*,149.171.126.0,*,25,smtp,*,*,[0.9460144799242844]
10,*,149.171.126.0,*,5190,unknown,*,*,[0]
11,*,149.171.126.0,*,53,dns,*,*,[1.9840036086011108]
12,*,149.171.126.0,*,6881,unknown,*,*,[0.6022833551561908]
13,*,149.171.126.0,*,80,http,*,*,[0.026442231294513122]
14,*,149.171.126.1,*,111,unknown,*,*,[0]
15,*,149.171.126.1,*,143,unknown,*,*,[0.2601431180832477]
16,*,149.171.126.1,*,21,ftp,*,*,[0]
17,*,149.171.126.1,*,22,ssh,*,*,[0.8848081946010166]
18,*,149.171.126.1,*,25,smtp,*,*,[0]
19,*,149.171.126.1,*,5190,unknown,*,*,[0]
20,*,149.171.126.1,*,53,dns,*,*,[2.0525976132934742]
21,*,149.171.126.1,*,6881,unknown,*,*,[1.133170507852156]
22,*,149.171.126.1,*,80,http,*,*,[0.8700226525109634]
23,*,149.171.126.14,*,179,unknown,*,*,[0]
24,*,149.171.126.15,*,179,unknown,*,*,[0.573543686842547]
25,*,149.171.126.2,*,111,unknown,*,*,[1.7282334873479877]
26,*,149.171.126.2,*,143,unknown,*,*,[0.3992620471888055]
27,*,149.171.126.2,*,21,ftp,*,*,[1.5408075438357753]
28,*,149.171.126.2,*,22,ssh,*,*,[0.9128918002826376]
29,*,149.171.126.2,*,25,smtp,*,*,[0]
30,*,149.171.126.2,*,5190,unknown,*,*,[0]
31,*,149.171.126.2,*,53,dns,*,*,[1.4296504860230035]
32,*,149.171.126.2,*,6881,unknown,*,*,[0.37750298366111035]
33,*,149.171.126.2,*,80,http,*,*,[1.257785824143538]
34,*,149.171.126.3,*,111,unknown,*,*,[0]
35,*,149.171.126.3,*,143,unknown,*,*,[0]
36,*,149.171.126.3,*,21,ftp,*,*,[0.19345580813353394]
37,*,149.171.126.3,*,22,ssh,*,*,[0.6879367000262991]
38,*,149.171.126.3,*,25,smtp,*,*,[0.8549300627775172]
39,*,149.171.126.3,*,5190,unknown,*,*,[0]
40,*,149.171.126.3,*,53,dns,*,*,[0.15529439510322407]
41,*,149.171.126.3,*,6881,unknown,*,*,[0.5960333179699108]
42,*,149.171.126.3,*,80,http,*,*,[1.97057417294015]
43,*,149.171.126.4,*,111,unknown,*,*,[0]
44,*,149.171.126.4,*,143,unknown,*,*,[0]
45,*,149.171.126.4,*,21,ftp,*,*,[0.7923608291868519]
46,*,149.171.126.4,*,22,ssh,*,*,[1.2113349331964411]
47,*,149.171.126.4,*,25,smtp,*,*,[0]
48,*,149.171.126.4,*,5190,unknown,*,*,[0]
49,*,149.171.126.4,*,53,dns,*,*,[1.0238117020521167]
50,*,149.171.126.4,*,6881,unknown,*,*,[0.8191919037683136]
51,*,149.171.126.4,*,80,http,*,*,[0.9893933480022901]
52,*,149.171.126.5,*,111,unknown,*,*,[0.7746581506102005]
53,*,149.171.126.5,*,143,unknown,*,*,[0.3170682031161153]
54,*,149.171.126.5,*,21,ftp,*,*,[1.9474520942613]
55,*,149.171.126.5,*,22,ssh,*,*,[1.006043490296233]
56,*,149.171.126.5,*,25,smtp,*,*,[0.6461772375809912]
57,*,149.171.126.5,*,5190,unknown,*,*,[0]
58,*,149.171.126.5,*,53,dns,*,*,[0.8271916254514711]
59,*,149.171.126.5,*,6881,unknown,*,*,[1.5526584954662683]
60,*,149.171.126.5,*,80,http,*,*,[1.88599276600926]
61,*,149.171.126.6,*,111,unknown,*,*,[0]
62,*,149.171.126.6,*,143,unknown,*,*,[2.0139959720120832]
63,*,149.171.126.6,*,21,ftp,*,*,[0]
64,*,149.171.126.6,*,22,ssh,*,*,[1.1078574628453235]
65,*,149.171.126.6,*,25,smtp,*,*,[0.07231310663332946]
66,*,149.171.126.6,*,5190,unknown,*,*,[0]
67,*,149.171.126.6,*,53,dns,*,*,[1.6455374612927627]
68,*,149.171.126.6,*,6881,unknown,*,*,[0.5829412951119085]
69,*,149.171.126.6,*,80,http,*,*,[1.2608850989057627]
70,*,149.171.126.7,*,111,unknown,*,*,[0.625753680210694]
71,*,149.171.126.7,*,143,unknown,*,*,[1.5582905051866331]
72,*,149.171.126.7,*,21,ftp,*,*,[0]
73,*,149.171.126.7,*,22,ssh,*,*,[0.4938178413016237]
74,*,149.171.126.7,*,25,smtp,*,*,[0.9340042571072403]
75,*,149.171.126.7,*,5190,unknown,*,*,[0.4059015406385155]
76,*,149.171.126.7,*,53,dns,*,*,[0.025996649436708662]
77,*,149.171.126.7,*,6881,unknown,*,*,[1.3787738210536131]
78,*,149.171.126.7,*,80,http,*,*,[2.6181103829623282]
79,*,149.171.126.8,*,111,unknown,*,*,[0]
80,*,149.171.126.8,*,143,unknown,*,*,[0]
81,*,149.171.126.8,*,21,ftp,*,*,[0]
82,*,149.171.126.8,*,22,ssh,*,*,[0.2459794807303862]
83,*,149.171.126.8,*,25,smtp,*,*,[0.9693658293093829]
84,*,149.171.126.8,*,5190,unknown,*,*,[0.21211980072268502]
85,*,149.171.126.8,*,53,dns,*,*,[1.257745330946112]
86,*,149.171.126.8,*,6881,unknown,*,*,[0.590528046107879]
87,*,149.171.126.8,*,80,http,*,*,[1.0759429262477451]
88,*,149.171.126.9,*,111,unknown,*,*,[0]
89,*,149.171.126.9,*,143,unknown,*,*,[0]
90,*,149.171.126.9,*,21,ftp,*,*,[0]
91,*,149.171.126.9,*,22,ssh,*,*,[1.1630427652021784]
92,*,149.171.126.9,*,25,smtp,*,*,[1.0073850033342595]
93,*,149.171.126.9,*,5190,unknown,*,*,[0]
94,*,149.171.126.9,*,53,dns,*,*,[0.789580883617326]
95,*,149.171.126.9,*,6881,unknown,*,*,[0.8659274523664539]
96,*,149.171.126.9,*,80,http,*,*,[2.3265708351648]
97,*,192.168.241.50,*,52233,unknown,*,*,[10]
98,*,224.0.0.5,*,0,unknown,*,*,[9.197795796483641]
99,*,149.171.126.0,*,?,unknown,*,*,[0]
100,*,149.171.126.1,*,?,unknown,*,*,[0]
101,*,?,*,0,unknown,*,*,[10]
102,*,?,*,?,?,*,*,[4.294545590483535]
103,*,?,*,179,unknown,*,*,[0]
104,*,?,*,21,ftp,*,*,[1.4291494335714716]
105,*,?,*,53,dns,*,*,[1.8592678318952132]
106,*,?,*,80,http,*,*,[4.879638092702876]
107,*,149.171.126.14,*,?,unknown,*,*,[5.036310801482873]
108,*,149.171.126.15,*,?,unknown,*,*,[3.5806397451142296]
109,*,149.171.126.19,*,?,unknown,*,*,[1.0974617167689522]
110,*,149.171.126.2,*,?,unknown,*,*,[0.18905931711989704]
111,*,149.171.126.3,*,?,unknown,*,*,[0]
112,*,149.171.126.4,*,?,unknown,*,*,[0]
113,*,149.171.126.5,*,?,unknown,*,*,[0.12191310379958663]
114,*,?,*,52233,unknown,*,*,[2.8284271247461903]
115,*,149.171.126.6,*,?,unknown,*,*,[0]
116,*,149.171.126.7,*,?,unknown,*,*,[0]
117,*,149.171.126.8,*,?,unknown,*,*,[0]
118,*,149.171.126.9,*,?,unknown,*,*,[0]
