index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,0,unknown,arp,INT,[8.74573066576194]
1,*,10.40.182.255,*,138,unknown,udp,INT,[0]
2,*,10.40.182.3,*,0,unknown,arp,CON,[8.81087844357011]
3,*,10.40.182.3,*,0,unknown,arp,INT,[7.3401668087644865]
4,*,10.40.85.1,*,0,unknown,arp,CON,[10]
5,*,10.40.85.30,*,0,unknown,arp,CON,[9.963282104370133]
6,*,149.171.126.0,*,111,unknown,udp,CON,[0]
7,*,149.171.126.0,*,143,unknown,tcp,FIN,[0]
8,*,149.171.126.0,*,21,ftp,tcp,FIN,[2.156753756389184]
9,*,149.171.126.0,*,22,ssh,tcp,FIN,[0]
10,*,149.171.126.0,*,25,smtp,tcp,FIN,[0.9460144799242844]
11,*,149.171.126.0,*,5190,unknown,tcp,FIN,[0]
12,*,149.171.126.0,*,53,dns,udp,CON,[1.9840036086011108]
13,*,149.171.126.0,*,6881,unknown,tcp,FIN,[0.6070858895355161]
14,*,149.171.126.0,*,80,http,tcp,FIN,[0.03594147168186551]
15,*,149.171.126.1,*,111,unknown,udp,CON,[0]
16,*,149.171.126.1,*,143,unknown,tcp,FIN,[0.2601431180832477]
17,*,149.171.126.1,*,21,ftp,tcp,FIN,[0]
18,*,149.171.126.1,*,22,ssh,tcp,FIN,[0.8848081946010166]
19,*,149.171.126.1,*,25,smtp,tcp,FIN,[0]
20,*,149.171.126.1,*,5190,unknown,tcp,FIN,[0]
21,*,149.171.126.1,*,53,dns,udp,CON,[2.0525976132934742]
22,*,149.171.126.1,*,6881,unknown,tcp,FIN,[1.141446275170012]
23,*,149.171.126.1,*,80,http,tcp,FIN,[0.8869958126254722]
24,*,149.171.126.14,*,179,unknown,tcp,FIN,[0]
25,*,149.171.126.15,*,179,unknown,tcp,FIN,[0.5739394631257242]
26,*,149.171.126.2,*,111,unknown,udp,CON,[1.7282334873479877]
27,*,149.171.126.2,*,143,unknown,tcp,FIN,[0.3992620471888055]
28,*,149.171.126.2,*,21,ftp,tcp,FIN,[1.55924072023931]
