index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,0,*,*,*,INT,[8.74573066576194]
1,*,10.40.182.255,138,*,*,*,INT,[0]
2,*,10.40.182.3,0,*,*,*,CON,[8.81087844357011]
3,*,10.40.182.3,0,*,*,*,INT,[7.3401668087644865]
4,*,10.40.85.1,0,*,*,*,CON,[10]
5,*,10.40.85.30,0,*,*,*,CON,[9.963282104370133]
6,*,192.168.241.50,2048,*,*,*,ECO,[10]
7,*,224.0.0.5,0,*,*,*,REQ,[10]
8,*,?,?,*,*,*,?,[1.8761856669357087]
9,*,?,0,*,*,*,INT,[10]
10,*,?,2048,*,*,*,ECO,[3.3093806066996883]
