index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,*,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,*,*,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,*,*,REQ,[10]
3,10.40.182.3,*,*,*,*,*,INT,[8.696263565463042]
4,10.40.182.6,*,*,*,*,*,INT,[0]
5,10.40.85.1,*,*,*,*,*,CON,[9.963282104370133]
6,10.40.85.1,*,*,*,*,*,REQ,[10]
7,10.40.85.10,*,*,*,*,*,CON,[7.884206636416519]
8,10.40.85.10,*,*,*,*,*,ECO,[10]
9,10.40.85.30,*,*,*,*,*,CON,[10]
10,175.45.176.0,*,*,*,*,*,FIN,[1.7050636968214834]
11,175.45.176.0,*,*,*,*,*,INT,[10]
12,175.45.176.1,*,*,*,*,*,FIN,[3.641523762095318]
13,175.45.176.1,*,*,*,*,*,INT,[1.6350248464027117]
14,175.45.176.2,*,*,*,*,*,FIN,[1.9049193749006017]
15,175.45.176.2,*,*,*,*,*,INT,[3.0702819547097944]
16,175.45.176.3,*,*,*,*,*,FIN,[3.169851823860562]
17,175.45.176.3,*,*,*,*,*,INT,[3.1242159716703335]
18,59.166.0.0,*,*,*,*,*,CON,[0.7409878590303196]
19,59.166.0.0,*,*,*,*,*,FIN,[0.48633554672296286]
20,59.166.0.1,*,*,*,*,*,CON,[0.17598603372300178]
21,59.166.0.1,*,*,*,*,*,FIN,[0.80003877803516]
22,59.166.0.2,*,*,*,*,*,CON,[1.1496152138626643]
23,59.166.0.2,*,*,*,*,*,FIN,[0]
24,59.166.0.3,*,*,*,*,*,CON,[1.3497066246148142]
25,59.166.0.3,*,*,*,*,*,FIN,[0.5140603827297746]
26,59.166.0.4,*,*,*,*,*,CON,[0]
27,59.166.0.4,*,*,*,*,*,FIN,[0.5672339364105295]
28,59.166.0.5,*,*,*,*,*,CON,[0.9735440380965463]
29,59.166.0.5,*,*,*,*,*,FIN,[1.34599520037067]
30,59.166.0.6,*,*,*,*,*,CON,[1.1018794132908214]
31,59.166.0.6,*,*,*,*,*,FIN,[0.48437186104453767]
32,59.166.0.7,*,*,*,*,*,CON,[0.6514015609726362]
33,59.166.0.7,*,*,*,*,*,FIN,[0.5543180656417238]
34,59.166.0.8,*,*,*,*,*,CON,[2.435965421229076]
35,59.166.0.8,*,*,*,*,*,FIN,[1.6119968044738007]
36,59.166.0.9,*,*,*,*,*,CON,[0]
37,59.166.0.9,*,*,*,*,*,FIN,[0]
38,?,*,*,*,*,*,INT,[0.5995926586160724]
39,?,*,*,*,*,*,?,[6.010407640085653]
40,?,*,*,*,*,*,REQ,[5.950680267507301]
41,?,*,*,*,*,*,FIN,[0.7923547734168841]
42,?,*,*,*,*,*,CON,[0]
43,175.45.176.0,*,*,*,*,*,?,[0]
44,175.45.176.1,*,*,*,*,*,?,[10]
45,175.45.176.2,*,*,*,*,*,?,[0]
46,?,*,*,*,*,*,ECO,[2.7688746209726918]
47,175.45.176.3,*,*,*,*,*,?,[0.6058830486219945]
