index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,*,*,[8.74573066576194]
1,10.40.182.1,*,*,*,*,*,*,[9.347826086956522]
2,10.40.182.3,*,*,*,*,*,*,[8.696263565463042]
3,10.40.182.6,*,*,*,*,*,*,[0]
4,10.40.85.1,*,*,*,*,*,*,[9.493857663422878]
5,10.40.85.10,*,*,*,*,*,*,[0.6649994489639726]
6,10.40.85.30,*,*,*,*,*,*,[10]
7,175.45.176.0,*,*,*,*,*,*,[10]
8,175.45.176.1,*,*,*,*,*,*,[10]
9,175.45.176.2,*,*,*,*,*,*,[2.593425632367517]
10,175.45.176.3,*,*,*,*,*,*,[4.007304679510841]
11,59.166.0.0,*,*,*,*,*,*,[0.6822942359917099]
12,59.166.0.1,*,*,*,*,*,*,[0.7532141510909612]
13,59.166.0.2,*,*,*,*,*,*,[0.3411503571933432]
14,59.166.0.3,*,*,*,*,*,*,[0.8276588623620894]
15,59.166.0.4,*,*,*,*,*,*,[0.22557666411445457]
16,59.166.0.5,*,*,*,*,*,*,[1.359186807795422]
17,59.166.0.6,*,*,*,*,*,*,[0.7599453276135467]
18,59.166.0.7,*,*,*,*,*,*,[0.7075750054573966]
19,59.166.0.8,*,*,*,*,*,*,[2.150847786206702]
20,59.166.0.9,*,*,*,*,*,*,[0]
21,?,*,*,*,*,*,*,[0.5982890480416039]
