index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,arp,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,*,arp,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,*,ospf,REQ,[10]
3,10.40.182.3,*,*,*,*,arp,INT,[8.696263565463042]
4,10.40.182.6,*,*,*,*,udp,INT,[0]
5,10.40.85.1,*,*,*,*,arp,CON,[9.963282104370133]
6,10.40.85.1,*,*,*,*,ospf,REQ,[10]
7,10.40.85.10,*,*,*,*,arp,CON,[7.884206636416519]
8,10.40.85.10,*,*,*,*,icmp,ECO,[10]
9,10.40.85.30,*,*,*,*,arp,CON,[10]
10,175.45.176.0,*,*,*,*,tcp,FIN,[1.7050636968214834]
11,175.45.176.0,*,*,*,*,udp,INT,[10]
12,175.45.176.1,*,*,*,*,tcp,FIN,[3.641523762095318]
13,175.45.176.1,*,*,*,*,udp,INT,[1.1185958401153895]
14,175.45.176.2,*,*,*,*,tcp,FIN,[1.9049193749006017]
15,175.45.176.2,*,*,*,*,udp,INT,[2.28062557404585]
16,175.45.176.3,*,*,*,*,tcp,FIN,[3.169851823860562]
17,175.45.176.3,*,*,*,*,udp,INT,[1.6694102124862797]
18,59.166.0.0,*,*,*,*,tcp,FIN,[0.48633554672296286]
19,59.166.0.0,*,*,*,*,udp,CON,[0.7917268146182576]
20,59.166.0.1,*,*,*,*,tcp,FIN,[0.80003877803516]
21,59.166.0.1,*,*,*,*,udp,CON,[0.21267404496553832]
22,59.166.0.2,*,*,*,*,tcp,FIN,[0]
23,59.166.0.2,*,*,*,*,udp,CON,[1.2129410627416064]
24,59.166.0.3,*,*,*,*,tcp,FIN,[0.5140603827297746]
25,59.166.0.3,*,*,*,*,udp,CON,[1.3678179560863493]
26,59.166.0.4,*,*,*,*,tcp,FIN,[0.5672339364105295]
27,59.166.0.4,*,*,*,*,udp,CON,[0]
28,59.166.0.5,*,*,*,*,tcp,FIN,[1.34599520037067]
29,59.166.0.5,*,*,*,*,udp,CON,[1.0000487922849082]
30,59.166.0.6,*,*,*,*,tcp,FIN,[0.48437186104453767]
31,59.166.0.6,*,*,*,*,udp,CON,[1.1357202933007384]
32,59.166.0.7,*,*,*,*,tcp,FIN,[0.5543180656417238]
33,59.166.0.7,*,*,*,*,udp,CON,[0.6681095359507992]
34,59.166.0.8,*,*,*,*,tcp,FIN,[1.6119968044738007]
35,59.166.0.8,*,*,*,*,udp,CON,[2.4845945215825513]
36,59.166.0.9,*,*,*,*,tcp,FIN,[0]
37,59.166.0.9,*,*,*,*,udp,CON,[0]
38,?,*,*,*,*,udp,INT,[0.5999997204758966]
39,?,*,*,*,*,?,?,[9.799114244465143]
40,?,*,*,*,*,tcp,FIN,[2.242069512724353]
41,175.45.176.0,*,*,*,*,?,INT,[10]
42,?,*,*,*,*,tcp,CON,[0]
43,175.45.176.0,*,*,*,*,tcp,?,[0]
44,?,*,*,*,*,udp,CON,[9.74885985417658]
45,175.45.176.0,*,*,*,*,udp,?,[5.408521132466446]
46,175.45.176.1,*,*,*,*,?,INT,[10]
47,175.45.176.1,*,*,*,*,tcp,?,[10]
48,175.45.176.1,*,*,*,*,udp,?,[10]
49,?,*,*,*,*,icmp,ECO,[3.0983866769659336]
50,175.45.176.2,*,*,*,*,?,INT,[10]
51,175.45.176.2,*,*,*,*,udp,?,[1.9402850002906638]
52,175.45.176.3,*,*,*,*,?,INT,[10]
53,175.45.176.3,*,*,*,*,udp,?,[8.488746876271653]
