index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,unknown,*,REQ,[10]
3,10.40.182.3,*,*,*,unknown,*,INT,[8.696263565463042]
4,10.40.182.6,*,*,*,unknown,*,INT,[0]
5,10.40.85.1,*,*,*,unknown,*,CON,[9.963282104370133]
6,10.40.85.1,*,*,*,unknown,*,REQ,[10]
7,10.40.85.10,*,*,*,unknown,*,CON,[7.884206636416519]
8,10.40.85.10,*,*,*,unknown,*,ECO,[10]
9,10.40.85.30,*,*,*,unknown,*,CON,[10]
10,175.45.176.0,*,*,*,unknown,*,FIN,[0.5998929359585651]
11,175.45.176.0,*,*,*,unknown,*,INT,[0.8078896078875931]
12,175.45.176.1,*,*,*,unknown,*,FIN,[2.359432875389739]
13,175.45.176.1,*,*,*,unknown,*,INT,[1.4398300933202925]
14,175.45.176.2,*,*,*,unknown,*,FIN,[1.399526002330561]
15,175.45.176.2,*,*,*,unknown,*,INT,[3.025848411573964]
16,175.45.176.3,*,*,*,unknown,*,FIN,[0]
17,175.45.176.3,*,*,*,unknown,*,INT,[3.089297693191559]
18,59.166.0.0,*,*,*,dns,*,CON,[0.6321408313193069]
19,59.166.0.0,*,*,*,ftp,*,FIN,[0]
20,59.166.0.0,*,*,*,http,*,FIN,[1.510822254587802]
21,59.166.0.0,*,*,*,smtp,*,FIN,[0]
22,59.166.0.0,*,*,*,ssh,*,FIN,[0.4112431850756956]
23,59.166.0.0,*,*,*,unknown,*,CON,[0.48363145738696733]
24,59.166.0.0,*,*,*,unknown,*,FIN,[0.26117104953663145]
25,59.166.0.1,*,*,*,dns,*,CON,[0.22783061052287043]
26,59.166.0.1,*,*,*,ftp,*,FIN,[0.0]
27,59.166.0.1,*,*,*,http,*,FIN,[0.8241370227527873]
28,59.166.0.1,*,*,*,smtp,*,FIN,[0.09750213288248535]
29,59.166.0.1,*,*,*,ssh,*,FIN,[1.0392462010488404]
30,59.166.0.1,*,*,*,unknown,*,CON,[0.07467114514975773]
31,59.166.0.1,*,*,*,unknown,*,FIN,[0.48870722680307843]
32,59.166.0.2,*,*,*,dns,*,CON,[0.9890231045377543]
33,59.166.0.2,*,*,*,ftp,*,FIN,[0]
34,59.166.0.2,*,*,*,http,*,FIN,[1.726063834819281]
35,59.166.0.2,*,*,*,smtp,*,FIN,[0]
36,59.166.0.2,*,*,*,ssh,*,FIN,[0.9591682904174913]
37,59.166.0.2,*,*,*,unknown,*,CON,[1.1324951817944144]
38,59.166.0.2,*,*,*,unknown,*,FIN,[0]
39,59.166.0.3,*,*,*,dns,*,CON,[1.6267217326442165]
40,59.166.0.3,*,*,*,ftp,*,FIN,[1.8922312183631782]
41,59.166.0.3,*,*,*,http,*,FIN,[1.9312649302184484]
42,59.166.0.3,*,*,*,smtp,*,FIN,[1.2144114522018317]
43,59.166.0.3,*,*,*,ssh,*,FIN,[1.1931195980504437]
44,59.166.0.3,*,*,*,unknown,*,CON,[0.49546681485336536]
45,59.166.0.3,*,*,*,unknown,*,FIN,[0]
46,59.166.0.4,*,*,*,dns,*,CON,[0.0028167896554732695]
47,59.166.0.4,*,*,*,ftp,*,FIN,[0]
48,59.166.0.4,*,*,*,http,*,FIN,[0.7224700253594584]
49,59.166.0.4,*,*,*,smtp,*,FIN,[0]
50,59.166.0.4,*,*,*,ssh,*,FIN,[0.7610556441446287]
51,59.166.0.4,*,*,*,unknown,*,CON,[0]
52,59.166.0.4,*,*,*,unknown,*,FIN,[0.48511969262679316]
53,59.166.0.5,*,*,*,dns,*,CON,[1.7938386594362987]
54,59.166.0.5,*,*,*,ftp,*,FIN,[0.09262793024644629]
55,59.166.0.5,*,*,*,http,*,FIN,[1.9338398432133375]
56,59.166.0.5,*,*,*,smtp,*,FIN,[0.6457920030768874]
57,59.166.0.5,*,*,*,ssh,*,FIN,[1.0625592962581036]
58,59.166.0.5,*,*,*,unknown,*,CON,[0]
59,59.166.0.5,*,*,*,unknown,*,FIN,[0.9855267417798481]
60,59.166.0.6,*,*,*,dns,*,CON,[2.3274988365589757]
61,59.166.0.6,*,*,*,ftp,*,FIN,[0.1952627673695925]
62,59.166.0.6,*,*,*,http,*,FIN,[1.594445576195235]
63,59.166.0.6,*,*,*,smtp,*,FIN,[2.4789475427261456]
64,59.166.0.6,*,*,*,ssh,*,FIN,[0]
65,59.166.0.6,*,*,*,unknown,*,CON,[0]
66,59.166.0.6,*,*,*,unknown,*,FIN,[0.10868412231458544]
67,59.166.0.7,*,*,*,dns,*,CON,[0.3393698962332971]
68,59.166.0.7,*,*,*,ftp,*,FIN,[0.969635410432917]
69,59.166.0.7,*,*,*,http,*,FIN,[0.4569692055319336]
70,59.166.0.7,*,*,*,smtp,*,FIN,[0]
71,59.166.0.7,*,*,*,ssh,*,FIN,[0.8871683400080876]
72,59.166.0.7,*,*,*,unknown,*,CON,[0.8582610650246508]
73,59.166.0.7,*,*,*,unknown,*,FIN,[0.3848607268423345]
74,59.166.0.8,*,*,*,dns,*,CON,[3.2663633495503945]
75,59.166.0.8,*,*,*,ftp,*,FIN,[0.6930369309187363]
76,59.166.0.8,*,*,*,http,*,FIN,[2.4673333556157115]
77,59.166.0.8,*,*,*,smtp,*,FIN,[2.8018652897304697]
78,59.166.0.8,*,*,*,ssh,*,FIN,[0.8358339875334192]
79,59.166.0.8,*,*,*,unknown,*,CON,[0.4806102780509909]
80,59.166.0.8,*,*,*,unknown,*,FIN,[0.8487571029328701]
81,59.166.0.9,*,*,*,dns,*,CON,[0.24656448378672102]
82,59.166.0.9,*,*,*,ftp,*,FIN,[0]
83,59.166.0.9,*,*,*,http,*,FIN,[0.8754969855990273]
84,59.166.0.9,*,*,*,smtp,*,FIN,[0]
85,59.166.0.9,*,*,*,ssh,*,FIN,[0.7861669665943345]
86,59.166.0.9,*,*,*,unknown,*,CON,[0]
87,59.166.0.9,*,*,*,unknown,*,FIN,[0]
88,?,*,*,*,dns,*,INT,[1.3614962472407413]
89,?,*,*,*,?,*,?,[10]
90,?,*,*,*,unknown,*,REQ,[5.649242619345503]
91,?,*,*,*,unknown,*,FIN,[1.937329799813845]
92,?,*,*,*,http,*,FIN,[5.023710853488408]
