index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,*,*,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,*,*,[9.347826086956522]
2,10.40.182.3,*,*,*,unknown,*,*,[8.696263565463042]
3,10.40.182.6,*,*,*,unknown,*,*,[0]
4,10.40.85.1,*,*,*,unknown,*,*,[9.493857663422878]
5,10.40.85.10,*,*,*,unknown,*,*,[9.943960626489652]
6,10.40.85.30,*,*,*,unknown,*,*,[10]
7,175.45.176.0,*,*,*,unknown,*,*,[0.4934467608667258]
8,175.45.176.1,*,*,*,unknown,*,*,[8.69448861983163]
9,175.45.176.2,*,*,*,unknown,*,*,[2.008474747580483]
10,175.45.176.3,*,*,*,unknown,*,*,[1.2021564690215218]
11,59.166.0.0,*,*,*,dns,*,*,[0.6321408313193069]
12,59.166.0.0,*,*,*,ftp,*,*,[0]
13,59.166.0.0,*,*,*,http,*,*,[1.4810355642662243]
14,59.166.0.0,*,*,*,smtp,*,*,[0]
15,59.166.0.0,*,*,*,ssh,*,*,[0.4112431850756956]
16,59.166.0.0,*,*,*,unknown,*,*,[0.37502001439141613]
17,59.166.0.1,*,*,*,dns,*,*,[0.22783061052287043]
18,59.166.0.1,*,*,*,ftp,*,*,[0.0]
19,59.166.0.1,*,*,*,http,*,*,[0.798912222640825]
20,59.166.0.1,*,*,*,smtp,*,*,[0.09750213288248535]
21,59.166.0.1,*,*,*,ssh,*,*,[1.0392462010488404]
22,59.166.0.1,*,*,*,unknown,*,*,[0.48482967864202287]
23,59.166.0.2,*,*,*,dns,*,*,[0.9890231045377543]
24,59.166.0.2,*,*,*,ftp,*,*,[0]
25,59.166.0.2,*,*,*,http,*,*,[1.704347267945513]
26,59.166.0.2,*,*,*,smtp,*,*,[0]
27,59.166.0.2,*,*,*,ssh,*,*,[0.957469962526557]
28,59.166.0.2,*,*,*,unknown,*,*,[0]
29,59.166.0.3,*,*,*,dns,*,*,[1.6267217326442165]
30,59.166.0.3,*,*,*,ftp,*,*,[1.878475309682589]
31,59.166.0.3,*,*,*,http,*,*,[1.8959960152333137]
32,59.166.0.3,*,*,*,smtp,*,*,[1.2144114522018317]
33,59.166.0.3,*,*,*,ssh,*,*,[1.192082965734244]
34,59.166.0.3,*,*,*,unknown,*,*,[0]
35,59.166.0.4,*,*,*,dns,*,*,[0.0028167896554732695]
36,59.166.0.4,*,*,*,ftp,*,*,[0]
37,59.166.0.4,*,*,*,http,*,*,[0.6916457815458453]
38,59.166.0.4,*,*,*,smtp,*,*,[0]
39,59.166.0.4,*,*,*,ssh,*,*,[0.7610556441446287]
40,59.166.0.4,*,*,*,unknown,*,*,[0.1542366402558651]
41,59.166.0.5,*,*,*,dns,*,*,[1.7938386594362987]
42,59.166.0.5,*,*,*,ftp,*,*,[0.07715167498104568]
43,59.166.0.5,*,*,*,http,*,*,[1.9251784153452236]
44,59.166.0.5,*,*,*,smtp,*,*,[0.6457920030768874]
45,59.166.0.5,*,*,*,ssh,*,*,[1.0625592962581036]
46,59.166.0.5,*,*,*,unknown,*,*,[0.841516916303895]
47,59.166.0.6,*,*,*,dns,*,*,[2.3274988365589757]
48,59.166.0.6,*,*,*,ftp,*,*,[0.1952627673695925]
49,59.166.0.6,*,*,*,http,*,*,[1.5777723819113085]
50,59.166.0.6,*,*,*,smtp,*,*,[2.4789475427261456]
51,59.166.0.6,*,*,*,ssh,*,*,[0]
52,59.166.0.6,*,*,*,unknown,*,*,[0]
53,59.166.0.7,*,*,*,dns,*,*,[0.3393698962332971]
54,59.166.0.7,*,*,*,ftp,*,*,[0.969635410432917]
55,59.166.0.7,*,*,*,http,*,*,[0.4433915945885023]
56,59.166.0.7,*,*,*,smtp,*,*,[0]
57,59.166.0.7,*,*,*,ssh,*,*,[0.8871683400080876]
58,59.166.0.7,*,*,*,unknown,*,*,[0.5670936718876138]
59,59.166.0.8,*,*,*,dns,*,*,[3.2663633495503945]
60,59.166.0.8,*,*,*,ftp,*,*,[0.6695183867003729]
61,59.166.0.8,*,*,*,http,*,*,[2.433722638507401]
62,59.166.0.8,*,*,*,smtp,*,*,[2.8018652897304697]
63,59.166.0.8,*,*,*,ssh,*,*,[0.8327204234041922]
64,59.166.0.8,*,*,*,unknown,*,*,[0.9358499211708285]
65,59.166.0.9,*,*,*,dns,*,*,[0.24656448378672102]
66,59.166.0.9,*,*,*,ftp,*,*,[0]
67,59.166.0.9,*,*,*,http,*,*,[0.855384443290771]
68,59.166.0.9,*,*,*,smtp,*,*,[0]
69,59.166.0.9,*,*,*,ssh,*,*,[0.7775419143502351]
70,59.166.0.9,*,*,*,unknown,*,*,[0]
71,?,*,*,*,dns,*,*,[1.3692166974464708]
72,?,*,*,*,unknown,*,*,[0]
73,?,*,*,*,http,*,*,[5.018433749682664]
74,175.45.176.0,*,*,*,?,*,*,[10]
75,?,*,*,*,ftp,*,*,[1.2254138894647713]
76,175.45.176.1,*,*,*,?,*,*,[10]
77,175.45.176.2,*,*,*,?,*,*,[1.1957830460991439]
78,175.45.176.3,*,*,*,?,*,*,[4.230504018512253]
