index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,arp,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,arp,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,unknown,ospf,REQ,[10]
3,10.40.182.3,*,*,*,unknown,arp,INT,[8.696263565463042]
4,10.40.182.6,*,*,*,unknown,udp,INT,[0]
5,10.40.85.1,*,*,*,unknown,arp,CON,[9.963282104370133]
6,10.40.85.1,*,*,*,unknown,ospf,REQ,[10]
7,10.40.85.10,*,*,*,unknown,arp,CON,[7.884206636416519]
8,10.40.85.10,*,*,*,unknown,icmp,ECO,[10]
9,10.40.85.30,*,*,*,unknown,arp,CON,[10]
10,175.45.176.0,*,*,*,unknown,tcp,FIN,[0.5998929359585651]
11,175.45.176.0,*,*,*,unknown,udp,INT,[0.046477510558349554]
12,175.45.176.1,*,*,*,unknown,tcp,FIN,[2.359432875389739]
13,175.45.176.1,*,*,*,unknown,udp,INT,[0.9238422328560452]
14,175.45.176.2,*,*,*,unknown,tcp,FIN,[1.399526002330561]
15,175.45.176.2,*,*,*,unknown,udp,INT,[2.236790046777511]
16,175.45.176.3,*,*,*,unknown,tcp,FIN,[0]
17,175.45.176.3,*,*,*,unknown,udp,INT,[1.6344893713186412]
18,59.166.0.0,*,*,*,dns,udp,CON,[0.6321408313193069]
19,59.166.0.0,*,*,*,ftp,tcp,FIN,[0]
20,59.166.0.0,*,*,*,http,tcp,FIN,[1.510822254587802]
21,59.166.0.0,*,*,*,smtp,tcp,FIN,[0]
22,59.166.0.0,*,*,*,ssh,tcp,FIN,[0.4112431850756956]
23,59.166.0.0,*,*,*,unknown,tcp,FIN,[0.26117104953663145]
24,59.166.0.0,*,*,*,unknown,udp,CON,[0.5874669742374874]
25,59.166.0.1,*,*,*,dns,udp,CON,[0.22783061052287043]
26,59.166.0.1,*,*,*,ftp,tcp,FIN,[0.0]
27,59.166.0.1,*,*,*,http,tcp,FIN,[0.8241370227527873]
28,59.166.0.1,*,*,*,smtp,tcp,FIN,[0.09750213288248535]
29,59.166.0.1,*,*,*,ssh,tcp,FIN,[1.0392462010488404]
30,59.166.0.1,*,*,*,unknown,tcp,FIN,[0.48870722680307843]
31,59.166.0.1,*,*,*,unknown,udp,CON,[0.13365633500978724]
32,59.166.0.2,*,*,*,dns,udp,CON,[0.9890231045377543]
33,59.166.0.2,*,*,*,ftp,tcp,FIN,[0]
34,59.166.0.2,*,*,*,http,tcp,FIN,[1.726063834819281]
35,59.166.0.2,*,*,*,smtp,tcp,FIN,[0]
36,59.166.0.2,*,*,*,ssh,tcp,FIN,[0.9591682904174913]
37,59.166.0.2,*,*,*,unknown,tcp,FIN,[0]
38,59.166.0.2,*,*,*,unknown,udp,CON,[1.2575870892496266]
39,59.166.0.3,*,*,*,dns,udp,CON,[1.6267217326442165]
40,59.166.0.3,*,*,*,ftp,tcp,FIN,[1.8922312183631782]
41,59.166.0.3,*,*,*,http,tcp,FIN,[1.9312649302184484]
42,59.166.0.3,*,*,*,smtp,tcp,FIN,[1.2144114522018317]
43,59.166.0.3,*,*,*,ssh,tcp,FIN,[1.1931195980504437]
44,59.166.0.3,*,*,*,unknown,tcp,FIN,[0]
45,59.166.0.3,*,*,*,unknown,udp,CON,[0.5016994062602195]
46,59.166.0.4,*,*,*,dns,udp,CON,[0.0028167896554732695]
47,59.166.0.4,*,*,*,ftp,tcp,FIN,[0]
48,59.166.0.4,*,*,*,http,tcp,FIN,[0.7224700253594584]
49,59.166.0.4,*,*,*,smtp,tcp,FIN,[0]
50,59.166.0.4,*,*,*,ssh,tcp,FIN,[0.7610556441446287]
