index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,*,*,INT,[8.74573066576194]
1,10.40.182.1,*,*,0,*,*,CON,[8.81087844357011]
2,10.40.182.1,*,*,0,*,*,REQ,[10]
3,10.40.182.3,*,*,0,*,*,INT,[8.696263565463042]
4,10.40.182.6,*,*,138,*,*,INT,[0]
5,10.40.85.1,*,*,0,*,*,CON,[9.963282104370133]
6,10.40.85.1,*,*,0,*,*,REQ,[10]
7,10.40.85.10,*,*,0,*,*,CON,[7.884206636416519]
8,10.40.85.10,*,*,52233,*,*,ECO,[10]
9,10.40.85.30,*,*,0,*,*,CON,[10]
10,175.45.176.0,*,*,179,*,*,FIN,[0]
11,175.45.176.1,*,*,514,*,*,INT,[3.520738504338354]
12,175.45.176.2,*,*,179,*,*,FIN,[0.6215500986250518]
13,175.45.176.2,*,*,445,*,*,FIN,[0]
14,175.45.176.2,*,*,514,*,*,INT,[3.4221348928438484]
15,175.45.176.3,*,*,179,*,*,FIN,[0]
16,175.45.176.3,*,*,445,*,*,FIN,[0]
17,59.166.0.0,*,*,111,*,*,CON,[0.691397364133255]
18,59.166.0.0,*,*,143,*,*,FIN,[0.8684468707865175]
19,59.166.0.0,*,*,21,*,*,FIN,[0]
20,59.166.0.0,*,*,22,*,*,FIN,[0.4112431850756956]
21,59.166.0.0,*,*,25,*,*,FIN,[0]
22,59.166.0.0,*,*,5190,*,*,FIN,[0]
23,59.166.0.0,*,*,53,*,*,CON,[0.6323578223700084]
24,59.166.0.0,*,*,6881,*,*,FIN,[0.8206835609490166]
25,59.166.0.0,*,*,80,*,*,FIN,[1.5081890991354674]
26,59.166.0.1,*,*,111,*,*,CON,[0.10947611030079427]
27,59.166.0.1,*,*,143,*,*,FIN,[0]
28,59.166.0.1,*,*,21,*,*,FIN,[0.0]
29,59.166.0.1,*,*,22,*,*,FIN,[1.0392462010488404]
30,59.166.0.1,*,*,25,*,*,FIN,[0.09428056893900139]
31,59.166.0.1,*,*,5190,*,*,FIN,[0]
32,59.166.0.1,*,*,53,*,*,CON,[0.22783061052287043]
33,59.166.0.1,*,*,6881,*,*,FIN,[0.8929409871608263]
34,59.166.0.1,*,*,80,*,*,FIN,[0.8100407032193325]
35,59.166.0.2,*,*,111,*,*,CON,[1.2283646776998947]
36,59.166.0.2,*,*,143,*,*,FIN,[0.9766121489812175]
37,59.166.0.2,*,*,21,*,*,FIN,[0]
38,59.166.0.2,*,*,22,*,*,FIN,[0.9583625422247339]
39,59.166.0.2,*,*,25,*,*,FIN,[0]
40,59.166.0.2,*,*,5190,*,*,FIN,[0]
41,59.166.0.2,*,*,53,*,*,CON,[0.9890231045377543]
42,59.166.0.2,*,*,6881,*,*,FIN,[0.616667424556498]
43,59.166.0.2,*,*,80,*,*,FIN,[1.6945692014383074]
44,59.166.0.3,*,*,111,*,*,CON,[0.49870745152152934]
45,59.166.0.3,*,*,143,*,*,FIN,[0]
46,59.166.0.3,*,*,21,*,*,FIN,[1.8922312183631782]
47,59.166.0.3,*,*,22,*,*,FIN,[1.192082965734244]
48,59.166.0.3,*,*,25,*,*,FIN,[1.2144114522018317]
49,59.166.0.3,*,*,5190,*,*,FIN,[0]
50,59.166.0.3,*,*,53,*,*,CON,[1.6267217326442165]
51,59.166.0.3,*,*,6881,*,*,FIN,[0.1287876579587506]
