index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,*,*,*,[8.74573066576194]
1,10.40.182.1,*,*,0,*,*,*,[9.347826086956522]
2,10.40.182.3,*,*,0,*,*,*,[8.696263565463042]
3,10.40.182.6,*,*,138,*,*,*,[0]
4,10.40.85.1,*,*,0,*,*,*,[9.493857663422878]
5,10.40.85.10,*,*,0,*,*,*,[7.884206636416519]
6,10.40.85.10,*,*,52233,*,*,*,[10]
7,10.40.85.30,*,*,0,*,*,*,[10]
8,175.45.176.0,*,*,179,*,*,*,[0]
9,175.45.176.1,*,*,514,*,*,*,[3.463987725220212]
10,175.45.176.2,*,*,179,*,*,*,[0.6192209809839553]
11,175.45.176.2,*,*,445,*,*,*,[0]
12,175.45.176.2,*,*,514,*,*,*,[3.4221348928438484]
13,175.45.176.3,*,*,179,*,*,*,[0]
14,175.45.176.3,*,*,445,*,*,*,[0]
15,175.45.176.3,*,*,80,*,*,*,[3.872020364217127]
16,59.166.0.0,*,*,111,*,*,*,[0.691397364133255]
17,59.166.0.0,*,*,143,*,*,*,[0.8684468707865175]
18,59.166.0.0,*,*,21,*,*,*,[0]
19,59.166.0.0,*,*,22,*,*,*,[0.4112431850756956]
20,59.166.0.0,*,*,25,*,*,*,[0]
21,59.166.0.0,*,*,5190,*,*,*,[0]
22,59.166.0.0,*,*,53,*,*,*,[0.6323578223700084]
23,59.166.0.0,*,*,6881,*,*,*,[0.8129736352278212]
24,59.166.0.0,*,*,80,*,*,*,[1.4472086786384861]
25,59.166.0.1,*,*,111,*,*,*,[0.10947611030079427]
26,59.166.0.1,*,*,143,*,*,*,[0]
27,59.166.0.1,*,*,21,*,*,*,[0.0]
28,59.166.0.1,*,*,22,*,*,*,[1.0392462010488404]
29,59.166.0.1,*,*,25,*,*,*,[0.09428056893900139]
30,59.166.0.1,*,*,5190,*,*,*,[0]
31,59.166.0.1,*,*,53,*,*,*,[0.22783061052287043]
32,59.166.0.1,*,*,6881,*,*,*,[0.8783898365348428]
33,59.166.0.1,*,*,80,*,*,*,[0.7628792496685531]
34,59.166.0.2,*,*,111,*,*,*,[1.2283646776998947]
35,59.166.0.2,*,*,143,*,*,*,[0.9766121489812175]
36,59.166.0.2,*,*,21,*,*,*,[0]
37,59.166.0.2,*,*,22,*,*,*,[0.9542663336466534]
38,59.166.0.2,*,*,25,*,*,*,[0]
39,59.166.0.2,*,*,5190,*,*,*,[0]
40,59.166.0.2,*,*,53,*,*,*,[0.9890231045377543]
41,59.166.0.2,*,*,6881,*,*,*,[0.609013670090809]
42,59.166.0.2,*,*,80,*,*,*,[1.6510123853678047]
43,59.166.0.3,*,*,111,*,*,*,[0.49870745152152934]
44,59.166.0.3,*,*,143,*,*,*,[0]
45,59.166.0.3,*,*,21,*,*,*,[1.878475309682589]
46,59.166.0.3,*,*,22,*,*,*,[1.1896282992256662]
47,59.166.0.3,*,*,25,*,*,*,[1.2144114522018317]
48,59.166.0.3,*,*,5190,*,*,*,[0]
49,59.166.0.3,*,*,53,*,*,*,[1.6267217326442165]
50,59.166.0.3,*,*,6881,*,*,*,[0.1287876579587506]
51,59.166.0.3,*,*,80,*,*,*,[1.8719331773381096]
52,59.166.0.4,*,*,111,*,*,*,[0]
53,59.166.0.4,*,*,143,*,*,*,[0]
54,59.166.0.4,*,*,21,*,*,*,[0]
55,59.166.0.4,*,*,22,*,*,*,[0.7610556441446287]
56,59.166.0.4,*,*,25,*,*,*,[0]
57,59.166.0.4,*,*,5190,*,*,*,[0]
58,59.166.0.4,*,*,53,*,*,*,[0.0028167896554732695]
59,59.166.0.4,*,*,6881,*,*,*,[1.4904460749011463]
