index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,*,arp,INT,[8.74573066576194]
1,10.40.182.1,*,*,0,*,arp,CON,[8.81087844357011]
2,10.40.182.1,*,*,0,*,ospf,REQ,[10]
3,10.40.182.3,*,*,0,*,arp,INT,[8.696263565463042]
4,10.40.182.6,*,*,138,*,udp,INT,[0]
5,10.40.85.1,*,*,0,*,arp,CON,[9.963282104370133]
6,10.40.85.1,*,*,0,*,ospf,REQ,[10]
7,10.40.85.10,*,*,0,*,arp,CON,[7.884206636416519]
8,10.40.85.10,*,*,52233,*,icmp,ECO,[10]
9,10.40.85.30,*,*,0,*,arp,CON,[10]
10,175.45.176.0,*,*,179,*,tcp,FIN,[0]
11,175.45.176.1,*,*,514,*,udp,INT,[3.520738504338354]
12,175.45.176.2,*,*,179,*,tcp,FIN,[0.6220291726225359]
13,175.45.176.2,*,*,445,*,tcp,FIN,[0]
14,175.45.176.2,*,*,514,*,udp,INT,[3.4221348928438484]
15,175.45.176.3,*,*,179,*,tcp,FIN,[0]
16,175.45.176.3,*,*,445,*,tcp,FIN,[0]
17,59.166.0.0,*,*,111,*,udp,CON,[0.691397364133255]
18,59.166.0.0,*,*,143,*,tcp,FIN,[0.8684468707865175]
19,59.166.0.0,*,*,21,*,tcp,FIN,[0]
20,59.166.0.0,*,*,22,*,tcp,FIN,[0.4112431850756956]
21,59.166.0.0,*,*,25,*,tcp,FIN,[0]
22,59.166.0.0,*,*,5190,*,tcp,FIN,[0]
23,59.166.0.0,*,*,53,*,udp,CON,[0.6323578223700084]
24,59.166.0.0,*,*,6881,*,tcp,FIN,[0.8206835609490166]
25,59.166.0.0,*,*,80,*,tcp,FIN,[1.5081890991354674]
26,59.166.0.1,*,*,111,*,udp,CON,[0.10947611030079427]
27,59.166.0.1,*,*,143,*,tcp,FIN,[0]
28,59.166.0.1,*,*,21,*,tcp,FIN,[0.0]
29,59.166.0.1,*,*,22,*,tcp,FIN,[1.0392462010488404]
30,59.166.0.1,*,*,25,*,tcp,FIN,[0.09428056893900139]
31,59.166.0.1,*,*,5190,*,tcp,FIN,[0]
32,59.166.0.1,*,*,53,*,udp,CON,[0.22783061052287043]
33,59.166.0.1,*,*,6881,*,tcp,FIN,[0.8929409871608263]
34,59.166.0.1,*,*,80,*,tcp,FIN,[0.8100407032193325]
35,59.166.0.2,*,*,111,*,udp,CON,[1.2283646776998947]
36,59.166.0.2,*,*,143,*,tcp,FIN,[0.9766121489812175]
37,59.166.0.2,*,*,21,*,tcp,FIN,[0]
38,59.166.0.2,*,*,22,*,tcp,FIN,[0.9583625422247339]
39,59.166.0.2,*,*,25,*,tcp,FIN,[0]
40,59.166.0.2,*,*,5190,*,tcp,FIN,[0]
41,59.166.0.2,*,*,53,*,udp,CON,[0.9890231045377543]
42,59.166.0.2,*,*,6881,*,tcp,FIN,[0.616667424556498]
43,59.166.0.2,*,*,80,*,tcp,FIN,[1.6945692014383074]
44,59.166.0.3,*,*,111,*,udp,CON,[0.49870745152152934]
45,59.166.0.3,*,*,143,*,tcp,FIN,[0]
46,59.166.0.3,*,*,21,*,tcp,FIN,[1.8922312183631782]
47,59.166.0.3,*,*,22,*,tcp,FIN,[1.192082965734244]
48,59.166.0.3,*,*,25,*,tcp,FIN,[1.2144114522018317]
49,59.166.0.3,*,*,5190,*,tcp,FIN,[0]
50,59.166.0.3,*,*,53,*,udp,CON,[1.6267217326442165]
51,59.166.0.3,*,*,6881,*,tcp,FIN,[0.1287876579587506]
52,59.166.0.3,*,*,80,*,tcp,FIN,[1.918901062066148]
53,59.166.0.4,*,*,111,*,udp,CON,[0]
54,59.166.0.4,*,*,143,*,tcp,FIN,[0]
55,59.166.0.4,*,*,21,*,tcp,FIN,[0]
56,59.166.0.4,*,*,22,*,tcp,FIN,[0.7610556441446287]
57,59.166.0.4,*,*,25,*,tcp,FIN,[0]
58,59.166.0.4,*,*,5190,*,tcp,FIN,[0]
59,59.166.0.4,*,*,53,*,udp,CON,[0.0028167896554732695]
60,59.166.0.4,*,*,6881,*,tcp,FIN,[1.5001386059405728]
61,59.166.0.4,*,*,80,*,tcp,FIN,[0.7154075103576584]
62,59.166.0.5,*,*,111,*,udp,CON,[0]
63,59.166.0.5,*,*,143,*,tcp,FIN,[0.026077591960305416]
64,59.166.0.5,*,*,21,*,tcp,FIN,[0.09262793024644629]
65,59.166.0.5,*,*,22,*,tcp,FIN,[1.0625592962581036]
66,59.166.0.5,*,*,25,*,tcp,FIN,[0.6457920030768874]
67,59.166.0.5,*,*,5190,*,tcp,FIN,[0]
68,59.166.0.5,*,*,53,*,udp,CON,[1.7938386594362987]
69,59.166.0.5,*,*,6881,*,tcp,FIN,[1.0386623966189246]
70,59.166.0.5,*,*,80,*,tcp,FIN,[1.9312443112983027]
71,59.166.0.6,*,*,111,*,udp,CON,[0]
72,59.166.0.6,*,*,143,*,tcp,FIN,[0.9559826839508113]
73,59.166.0.6,*,*,21,*,tcp,FIN,[0.1952627673695925]
74,59.166.0.6,*,*,22,*,tcp,FIN,[0]
75,59.166.0.6,*,*,25,*,tcp,FIN,[2.4789475427261456]
76,59.166.0.6,*,*,5190,*,tcp,FIN,[0]
77,59.166.0.6,*,*,53,*,udp,CON,[2.3274988365589757]
78,59.166.0.6,*,*,6881,*,tcp,FIN,[0.7155740325351911]
79,59.166.0.6,*,*,80,*,tcp,FIN,[1.5841713956956514]
80,59.166.0.7,*,*,111,*,udp,CON,[0.9521952264734376]
81,59.166.0.7,*,*,143,*,tcp,FIN,[0.3568732135731648]
82,59.166.0.7,*,*,21,*,tcp,FIN,[0.969635410432917]
83,59.166.0.7,*,*,22,*,tcp,FIN,[0.8871683400080876]
84,59.166.0.7,*,*,25,*,tcp,FIN,[0]
85,59.166.0.7,*,*,5190,*,tcp,FIN,[0]
86,59.166.0.7,*,*,53,*,udp,CON,[0.3393698962332971]
87,59.166.0.7,*,*,6881,*,tcp,FIN,[0.6339308132984466]
88,59.166.0.7,*,*,80,*,tcp,FIN,[0.4464078348295276]
89,59.166.0.8,*,*,111,*,udp,CON,[0.5737577485973723]
90,59.166.0.8,*,*,143,*,tcp,FIN,[2.192031021678296]
91,59.166.0.8,*,*,21,*,tcp,FIN,[0.6930369309187363]
92,59.166.0.8,*,*,22,*,tcp,FIN,[0.8348110675434319]
93,59.166.0.8,*,*,25,*,tcp,FIN,[2.8018652897304697]
94,59.166.0.8,*,*,5190,*,tcp,FIN,[0]
95,59.166.0.8,*,*,53,*,udp,CON,[3.2663633495503945]
