index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,*,arp,*,[8.74573066576194]
1,10.40.182.1,*,*,0,*,arp,*,[8.81087844357011]
2,10.40.182.1,*,*,0,*,ospf,*,[9.197795796483641]
3,10.40.182.3,*,*,0,*,arp,*,[8.696263565463042]
4,10.40.182.6,*,*,138,*,udp,*,[0]
5,10.40.85.1,*,*,0,*,arp,*,[9.963282104370133]
6,10.40.85.1,*,*,0,*,ospf,*,[9.197795796483641]
7,10.40.85.10,*,*,0,*,arp,*,[7.884206636416519]
8,10.40.85.10,*,*,52233,*,icmp,*,[10]
9,10.40.85.30,*,*,0,*,arp,*,[10]
10,175.45.176.0,*,*,179,*,tcp,*,[0]
11,175.45.176.1,*,*,514,*,udp,*,[3.463987725220212]
12,175.45.176.2,*,*,179,*,tcp,*,[0.6192209809839553]
13,175.45.176.2,*,*,445,*,tcp,*,[0]
14,175.45.176.2,*,*,514,*,udp,*,[3.4221348928438484]
15,175.45.176.3,*,*,179,*,tcp,*,[0]
16,175.45.176.3,*,*,445,*,tcp,*,[0]
17,175.45.176.3,*,*,80,*,tcp,*,[3.872020364217127]
18,59.166.0.0,*,*,111,*,udp,*,[0.691397364133255]
19,59.166.0.0,*,*,143,*,tcp,*,[0.8684468707865175]
20,59.166.0.0,*,*,21,*,tcp,*,[0]
21,59.166.0.0,*,*,22,*,tcp,*,[0.4112431850756956]
22,59.166.0.0,*,*,25,*,tcp,*,[0]
23,59.166.0.0,*,*,5190,*,tcp,*,[0]
24,59.166.0.0,*,*,53,*,udp,*,[0.6323578223700084]
25,59.166.0.0,*,*,6881,*,tcp,*,[0.8129736352278212]
26,59.166.0.0,*,*,80,*,tcp,*,[1.4472086786384861]
27,59.166.0.1,*,*,111,*,udp,*,[0.10947611030079427]
28,59.166.0.1,*,*,143,*,tcp,*,[0]
29,59.166.0.1,*,*,21,*,tcp,*,[0.0]
30,59.166.0.1,*,*,22,*,tcp,*,[1.0392462010488404]
31,59.166.0.1,*,*,25,*,tcp,*,[0.09428056893900139]
32,59.166.0.1,*,*,5190,*,tcp,*,[0]
33,59.166.0.1,*,*,53,*,udp,*,[0.22783061052287043]
