index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,*,*,0,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,*,*,0,unknown,*,REQ,[10]
3,10.40.182.3,*,*,0,unknown,*,INT,[8.696263565463042]
4,10.40.182.6,*,*,138,unknown,*,INT,[0]
5,10.40.85.1,*,*,0,unknown,*,CON,[9.963282104370133]
6,10.40.85.1,*,*,0,unknown,*,REQ,[10]
7,10.40.85.10,*,*,0,unknown,*,CON,[7.884206636416519]
8,10.40.85.10,*,*,52233,unknown,*,ECO,[10]
9,10.40.85.30,*,*,0,unknown,*,CON,[10]
10,175.45.176.0,*,*,179,unknown,*,FIN,[0]
11,175.45.176.1,*,*,514,unknown,*,INT,[3.520738504338354]
12,175.45.176.2,*,*,179,unknown,*,FIN,[0.6220291726225359]
13,175.45.176.2,*,*,445,unknown,*,FIN,[0]
14,175.45.176.2,*,*,514,unknown,*,INT,[3.4221348928438484]
15,175.45.176.3,*,*,179,unknown,*,FIN,[0]
16,175.45.176.3,*,*,445,unknown,*,FIN,[0]
17,59.166.0.0,*,*,111,unknown,*,CON,[0.691397364133255]
18,59.166.0.0,*,*,143,unknown,*,FIN,[0.8684468707865175]
19,59.166.0.0,*,*,21,ftp,*,FIN,[0]
20,59.166.0.0,*,*,22,ssh,*,FIN,[0.4112431850756956]
21,59.166.0.0,*,*,25,smtp,*,FIN,[0]
22,59.166.0.0,*,*,5190,unknown,*,FIN,[0]
23,59.166.0.0,*,*,53,dns,*,CON,[0.6323578223700084]
24,59.166.0.0,*,*,6881,unknown,*,FIN,[0.8206835609490166]
25,59.166.0.0,*,*,80,http,*,FIN,[1.510822254587802]
26,59.166.0.1,*,*,111,unknown,*,CON,[0.10947611030079427]
27,59.166.0.1,*,*,143,unknown,*,FIN,[0]
28,59.166.0.1,*,*,21,ftp,*,FIN,[0.0]
29,59.166.0.1,*,*,22,ssh,*,FIN,[1.0392462010488404]
30,59.166.0.1,*,*,25,smtp,*,FIN,[0.09750213288248535]
31,59.166.0.1,*,*,5190,unknown,*,FIN,[0]
