index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,*,*,0,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,*,*,0,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,*,*,0,unknown,arp,*,[8.696263565463042]
4,10.40.182.6,*,*,138,unknown,udp,*,[0]
5,10.40.85.1,*,*,0,unknown,arp,*,[9.963282104370133]
6,10.40.85.1,*,*,0,unknown,ospf,*,[9.197795796483641]
7,10.40.85.10,*,*,0,unknown,arp,*,[7.884206636416519]
8,10.40.85.10,*,*,52233,unknown,icmp,*,[10]
9,10.40.85.30,*,*,0,unknown,arp,*,[10]
10,175.45.176.0,*,*,179,unknown,tcp,*,[0]
11,175.45.176.1,*,*,514,unknown,udp,*,[3.463987725220212]
12,175.45.176.2,*,*,179,unknown,tcp,*,[0.619700408161514]
13,175.45.176.2,*,*,445,unknown,tcp,*,[0]
14,175.45.176.2,*,*,514,unknown,udp,*,[3.4221348928438484]
15,175.45.176.3,*,*,179,unknown,tcp,*,[0]
16,175.45.176.3,*,*,445,unknown,tcp,*,[0]
17,59.166.0.0,*,*,111,unknown,udp,*,[0.691397364133255]
18,59.166.0.0,*,*,143,unknown,tcp,*,[0.8684468707865175]
19,59.166.0.0,*,*,21,ftp,tcp,*,[0]
20,59.166.0.0,*,*,22,ssh,tcp,*,[0.4112431850756956]
21,59.166.0.0,*,*,25,smtp,tcp,*,[0]
22,59.166.0.0,*,*,5190,unknown,tcp,*,[0]
23,59.166.0.0,*,*,53,dns,udp,*,[0.6323578223700084]
24,59.166.0.0,*,*,6881,unknown,tcp,*,[0.8129736352278212]
25,59.166.0.0,*,*,80,http,tcp,*,[1.4810355642662243]
26,59.166.0.1,*,*,111,unknown,udp,*,[0.10947611030079427]
27,59.166.0.1,*,*,143,unknown,tcp,*,[0]
28,59.166.0.1,*,*,21,ftp,tcp,*,[0.0]
29,59.166.0.1,*,*,22,ssh,tcp,*,[1.0392462010488404]
30,59.166.0.1,*,*,25,smtp,tcp,*,[0.09750213288248535]
31,59.166.0.1,*,*,5190,unknown,tcp,*,[0]
32,59.166.0.1,*,*,53,dns,udp,*,[0.22783061052287043]
33,59.166.0.1,*,*,6881,unknown,tcp,*,[0.8783898365348428]
34,59.166.0.1,*,*,80,http,tcp,*,[0.798912222640825]
35,59.166.0.2,*,*,111,unknown,udp,*,[1.2283646776998947]
