index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,0,*,*,arp,*,[8.74573066576194]
1,10.40.182.1,*,0,*,*,arp,*,[8.81087844357011]
2,10.40.182.1,*,0,*,*,ospf,*,[9.197795796483641]
3,10.40.182.3,*,0,*,*,arp,*,[8.696263565463042]
4,10.40.182.6,*,138,*,*,udp,*,[0]
5,10.40.85.1,*,0,*,*,arp,*,[9.963282104370133]
6,10.40.85.1,*,0,*,*,ospf,*,[9.197795796483641]
7,10.40.85.10,*,0,*,*,arp,*,[7.884206636416519]
8,10.40.85.10,*,2048,*,*,icmp,*,[10]
9,10.40.85.30,*,0,*,*,arp,*,[10]
10,?,*,?,*,*,?,*,[1.9174781182828178]
11,?,*,2048,*,*,icmp,*,[3.046424421249601]
