index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,0,0,unknown,*,*,[8.74573066576194]
1,10.40.182.1,*,0,0,unknown,*,*,[9.347826086956522]
2,10.40.182.3,*,0,0,unknown,*,*,[8.696263565463042]
3,10.40.182.6,*,138,138,unknown,*,*,[0]
4,10.40.85.1,*,0,0,unknown,*,*,[10]
5,10.40.85.10,*,0,0,unknown,*,*,[7.884206636416519]
6,10.40.85.10,*,2048,52233,unknown,*,*,[10]
7,10.40.85.30,*,0,0,unknown,*,*,[10]
8,?,*,?,?,?,*,*,[6.518909492016746]
9,?,*,0,0,unknown,*,*,[10]
