index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,*,*,INT,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,*,*,CON,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,*,*,REQ,[10]
3,10.40.182.3,10.40.182.3,*,*,*,*,INT,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,*,*,INT,[0]
5,10.40.85.1,10.40.85.30,*,*,*,*,CON,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,*,*,REQ,[10]
7,10.40.85.10,10.40.85.1,*,*,*,*,CON,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,*,*,ECO,[10]
9,10.40.85.30,10.40.85.1,*,*,*,*,CON,[10]
10,175.45.176.0,149.171.126.15,*,*,*,*,FIN,[0.03859028164702633]
11,175.45.176.3,149.171.126.19,*,*,*,*,FIN,[0]
12,59.166.0.0,149.171.126.0,*,*,*,*,CON,[0.4048204523763685]
13,59.166.0.0,149.171.126.0,*,*,*,*,FIN,[0]
14,59.166.0.0,149.171.126.1,*,*,*,*,CON,[0.7881264972582648]
15,59.166.0.0,149.171.126.1,*,*,*,*,FIN,[0]
16,59.166.0.0,149.171.126.2,*,*,*,*,CON,[0]
17,59.166.0.0,149.171.126.2,*,*,*,*,FIN,[1.36524976704152]
18,59.166.0.0,149.171.126.3,*,*,*,*,CON,[1.5404747155645995]
19,59.166.0.0,149.171.126.3,*,*,*,*,FIN,[0.6030742843246336]
20,59.166.0.0,149.171.126.4,*,*,*,*,CON,[0]
21,59.166.0.0,149.171.126.4,*,*,*,*,FIN,[0.3248955009486544]
22,59.166.0.0,149.171.126.5,*,*,*,*,CON,[0.6580963410113413]
23,59.166.0.0,149.171.126.5,*,*,*,*,FIN,[0.4088410194115874]
24,59.166.0.0,149.171.126.6,*,*,*,*,CON,[0.49282717969957385]
25,59.166.0.0,149.171.126.6,*,*,*,*,FIN,[0]
26,59.166.0.0,149.171.126.7,*,*,*,*,CON,[0]
27,59.166.0.0,149.171.126.7,*,*,*,*,FIN,[0.9800653398673927]
28,59.166.0.0,149.171.126.8,*,*,*,*,CON,[1.3584619503320348]
29,59.166.0.0,149.171.126.8,*,*,*,*,FIN,[0.8751688374352424]
30,59.166.0.0,149.171.126.9,*,*,*,*,CON,[0.24312004907651524]
31,59.166.0.0,149.171.126.9,*,*,*,*,FIN,[0.5352690063415153]
32,59.166.0.1,149.171.126.0,*,*,*,*,CON,[1.052826148542416]
33,59.166.0.1,149.171.126.0,*,*,*,*,FIN,[0.9522278322265564]
34,59.166.0.1,149.171.126.1,*,*,*,*,CON,[1.6018431800957678]
35,59.166.0.1,149.171.126.1,*,*,*,*,FIN,[1.1641533171115832]
36,59.166.0.1,149.171.126.2,*,*,*,*,CON,[0]
37,59.166.0.1,149.171.126.2,*,*,*,*,FIN,[0]
38,59.166.0.1,149.171.126.3,*,*,*,*,CON,[0]
39,59.166.0.1,149.171.126.3,*,*,*,*,FIN,[0]
40,59.166.0.1,149.171.126.4,*,*,*,*,CON,[0]
41,59.166.0.1,149.171.126.4,*,*,*,*,FIN,[0.15158208033135173]
42,59.166.0.1,149.171.126.5,*,*,*,*,CON,[0]
43,59.166.0.1,149.171.126.5,*,*,*,*,FIN,[1.6044919954016876]
44,59.166.0.1,149.171.126.6,*,*,*,*,CON,[1.3754940921826155]
45,59.166.0.1,149.171.126.6,*,*,*,*,FIN,[0.41339684475023275]
46,59.166.0.1,149.171.126.7,*,*,*,*,CON,[0]
47,59.166.0.1,149.171.126.7,*,*,*,*,FIN,[2.049546082658848]
48,59.166.0.1,149.171.126.8,*,*,*,*,CON,[0]
49,59.166.0.1,149.171.126.8,*,*,*,*,FIN,[0]
50,59.166.0.1,149.171.126.9,*,*,*,*,CON,[0]
51,59.166.0.1,149.171.126.9,*,*,*,*,FIN,[0]
52,59.166.0.2,149.171.126.0,*,*,*,*,CON,[0]
53,59.166.0.2,149.171.126.0,*,*,*,*,FIN,[0]
54,59.166.0.2,149.171.126.1,*,*,*,*,CON,[0.4167104719497615]
55,59.166.0.2,149.171.126.1,*,*,*,*,FIN,[0.966534361509425]
56,59.166.0.2,149.171.126.2,*,*,*,*,CON,[1.59342330893871]
57,59.166.0.2,149.171.126.2,*,*,*,*,FIN,[0.6017919461447621]
58,59.166.0.2,149.171.126.3,*,*,*,*,CON,[0.28434741622920867]
59,59.166.0.2,149.171.126.3,*,*,*,*,FIN,[0]
60,59.166.0.2,149.171.126.4,*,*,*,*,CON,[0.614199350192659]
61,59.166.0.2,149.171.126.4,*,*,*,*,FIN,[0]
62,59.166.0.2,149.171.126.5,*,*,*,*,CON,[1.0852586275990828]
63,59.166.0.2,149.171.126.5,*,*,*,*,FIN,[0.5752484613317143]
64,59.166.0.2,149.171.126.6,*,*,*,*,CON,[3.060769241739359]
65,59.166.0.2,149.171.126.6,*,*,*,*,FIN,[0.9127315038137286]
66,59.166.0.2,149.171.126.7,*,*,*,*,CON,[0.04145133361448333]
67,59.166.0.2,149.171.126.7,*,*,*,*,FIN,[0]
68,59.166.0.2,149.171.126.8,*,*,*,*,CON,[0]
69,59.166.0.2,149.171.126.8,*,*,*,*,FIN,[0]
70,59.166.0.2,149.171.126.9,*,*,*,*,CON,[0.5549637743803867]
71,59.166.0.2,149.171.126.9,*,*,*,*,FIN,[0.27868119868519536]
72,59.166.0.3,149.171.126.0,*,*,*,*,CON,[2.8149445897705094]
73,59.166.0.3,149.171.126.0,*,*,*,*,FIN,[1.4331536834885508]
74,59.166.0.3,149.171.126.1,*,*,*,*,CON,[0.9503288904374102]
75,59.166.0.3,149.171.126.1,*,*,*,*,FIN,[1.1807610166930664]
76,59.166.0.3,149.171.126.2,*,*,*,*,CON,[0.15938566667850718]
77,59.166.0.3,149.171.126.2,*,*,*,*,FIN,[0]
78,59.166.0.3,149.171.126.3,*,*,*,*,CON,[0.4173993557999611]
79,59.166.0.3,149.171.126.3,*,*,*,*,FIN,[0]
80,59.166.0.3,149.171.126.4,*,*,*,*,CON,[1.717911380774667]
81,59.166.0.3,149.171.126.4,*,*,*,*,FIN,[0]
82,59.166.0.3,149.171.126.5,*,*,*,*,CON,[1.294049473895785]
83,59.166.0.3,149.171.126.5,*,*,*,*,FIN,[1.0158240106256806]
84,59.166.0.3,149.171.126.6,*,*,*,*,CON,[1.4588877834754035]
85,59.166.0.3,149.171.126.6,*,*,*,*,FIN,[0]
86,59.166.0.3,149.171.126.7,*,*,*,*,CON,[0]
87,59.166.0.3,149.171.126.7,*,*,*,*,FIN,[0.8469149218483634]
88,59.166.0.3,149.171.126.8,*,*,*,*,CON,[0]
89,59.166.0.3,149.171.126.8,*,*,*,*,FIN,[0]
90,59.166.0.3,149.171.126.9,*,*,*,*,CON,[0]
91,59.166.0.3,149.171.126.9,*,*,*,*,FIN,[0.7092083588222039]
92,59.166.0.4,149.171.126.0,*,*,*,*,CON,[0]
93,59.166.0.4,149.171.126.0,*,*,*,*,FIN,[1.7544815351038998]
94,59.166.0.4,149.171.126.1,*,*,*,*,CON,[0]
95,59.166.0.4,149.171.126.1,*,*,*,*,FIN,[0]
96,59.166.0.4,149.171.126.2,*,*,*,*,CON,[1.1787554313262674]
97,59.166.0.4,149.171.126.2,*,*,*,*,FIN,[1.5079056390163446]
98,59.166.0.4,149.171.126.3,*,*,*,*,CON,[0]
99,59.166.0.4,149.171.126.3,*,*,*,*,FIN,[2.0401110869290022]
100,59.166.0.4,149.171.126.4,*,*,*,*,CON,[0]
101,59.166.0.4,149.171.126.4,*,*,*,*,FIN,[0]
102,59.166.0.4,149.171.126.5,*,*,*,*,CON,[0.2291927879724628]
103,59.166.0.4,149.171.126.5,*,*,*,*,FIN,[1.5395728844175613]
104,59.166.0.4,149.171.126.6,*,*,*,*,CON,[0]
105,59.166.0.4,149.171.126.6,*,*,*,*,FIN,[0.5912336525260592]
106,59.166.0.4,149.171.126.7,*,*,*,*,CON,[0.7230595816016945]
107,59.166.0.4,149.171.126.7,*,*,*,*,FIN,[0]
108,59.166.0.4,149.171.126.8,*,*,*,*,CON,[0.13756806317048748]
109,59.166.0.4,149.171.126.8,*,*,*,*,FIN,[0]
110,59.166.0.4,149.171.126.9,*,*,*,*,CON,[0]
111,59.166.0.4,149.171.126.9,*,*,*,*,FIN,[0.19664473018628031]
112,59.166.0.5,149.171.126.0,*,*,*,*,CON,[0.9294825193198875]
113,59.166.0.5,149.171.126.0,*,*,*,*,FIN,[0]
114,59.166.0.5,149.171.126.1,*,*,*,*,CON,[0.16439898730535776]
115,59.166.0.5,149.171.126.1,*,*,*,*,FIN,[2.0072784721903623]
116,59.166.0.5,149.171.126.2,*,*,*,*,CON,[1.7440540752867555]
117,59.166.0.5,149.171.126.2,*,*,*,*,FIN,[0.6997813524856855]
118,59.166.0.5,149.171.126.3,*,*,*,*,CON,[0]
119,59.166.0.5,149.171.126.3,*,*,*,*,FIN,[0.729376891026731]
120,59.166.0.5,149.171.126.4,*,*,*,*,CON,[1.2955856074839445]
121,59.166.0.5,149.171.126.4,*,*,*,*,FIN,[1.5395344142277585]
122,59.166.0.5,149.171.126.5,*,*,*,*,CON,[0]
123,59.166.0.5,149.171.126.5,*,*,*,*,FIN,[1.9557915549665024]
124,59.166.0.5,149.171.126.6,*,*,*,*,CON,[0]
125,59.166.0.5,149.171.126.6,*,*,*,*,FIN,[0.19195870608684207]
126,59.166.0.5,149.171.126.7,*,*,*,*,CON,[0]
127,59.166.0.5,149.171.126.7,*,*,*,*,FIN,[2.2586265136633368]
128,59.166.0.5,149.171.126.8,*,*,*,*,CON,[3.5867514539228806]
129,59.166.0.5,149.171.126.8,*,*,*,*,FIN,[1.1519849077051698]
130,59.166.0.5,149.171.126.9,*,*,*,*,CON,[2.230615411613116]
131,59.166.0.5,149.171.126.9,*,*,*,*,FIN,[1.2636989385868473]
132,59.166.0.6,149.171.126.0,*,*,*,*,CON,[0.8380377484451746]
133,59.166.0.6,149.171.126.0,*,*,*,*,FIN,[0]
134,59.166.0.6,149.171.126.1,*,*,*,*,CON,[0]
135,59.166.0.6,149.171.126.1,*,*,*,*,FIN,[0.7376244807368748]
136,59.166.0.6,149.171.126.2,*,*,*,*,CON,[2.6156457071498194]
137,59.166.0.6,149.171.126.2,*,*,*,*,FIN,[0.8756581690339593]
138,59.166.0.6,149.171.126.3,*,*,*,*,CON,[0]
139,59.166.0.6,149.171.126.3,*,*,*,*,FIN,[0.37216981461094434]
140,59.166.0.6,149.171.126.4,*,*,*,*,CON,[0.747284157515895]
141,59.166.0.6,149.171.126.4,*,*,*,*,FIN,[0]
142,59.166.0.6,149.171.126.5,*,*,*,*,CON,[4.620831357971739]
143,59.166.0.6,149.171.126.5,*,*,*,*,FIN,[0.9300848222491812]
144,59.166.0.6,149.171.126.6,*,*,*,*,CON,[0]
145,59.166.0.6,149.171.126.6,*,*,*,*,FIN,[0]
146,59.166.0.6,149.171.126.7,*,*,*,*,CON,[0]
147,59.166.0.6,149.171.126.7,*,*,*,*,FIN,[1.2694894893122932]
148,59.166.0.6,149.171.126.8,*,*,*,*,CON,[0]
149,59.166.0.6,149.171.126.8,*,*,*,*,FIN,[0]
150,59.166.0.6,149.171.126.9,*,*,*,*,CON,[0.013013378122566418]
151,59.166.0.6,149.171.126.9,*,*,*,*,FIN,[0.8129406939154452]
152,59.166.0.7,149.171.126.0,*,*,*,*,CON,[0.8122769321068953]
153,59.166.0.7,149.171.126.0,*,*,*,*,FIN,[0]
154,59.166.0.7,149.171.126.1,*,*,*,*,CON,[1.5150774718454043]
155,59.166.0.7,149.171.126.1,*,*,*,*,FIN,[1.3984517843871298]
156,59.166.0.7,149.171.126.2,*,*,*,*,CON,[0.1500818892451401]
157,59.166.0.7,149.171.126.2,*,*,*,*,FIN,[0.38084008199525493]
158,59.166.0.7,149.171.126.3,*,*,*,*,CON,[0]
159,59.166.0.7,149.171.126.3,*,*,*,*,FIN,[0]
160,59.166.0.7,149.171.126.4,*,*,*,*,CON,[1.3857174192299977]
161,59.166.0.7,149.171.126.4,*,*,*,*,FIN,[0.9777428594620604]
162,59.166.0.7,149.171.126.5,*,*,*,*,CON,[0.19653653462412551]
163,59.166.0.7,149.171.126.5,*,*,*,*,FIN,[1.0515890923346733]
164,59.166.0.7,149.171.126.6,*,*,*,*,CON,[0]
165,59.166.0.7,149.171.126.6,*,*,*,*,FIN,[0.009851380077989037]
166,59.166.0.7,149.171.126.7,*,*,*,*,CON,[1.0076108735908151]
167,59.166.0.7,149.171.126.7,*,*,*,*,FIN,[0.9254896267654951]
168,59.166.0.7,149.171.126.8,*,*,*,*,CON,[0]
169,59.166.0.7,149.171.126.8,*,*,*,*,FIN,[0]
170,59.166.0.7,149.171.126.9,*,*,*,*,CON,[0.08801485601595362]
171,59.166.0.7,149.171.126.9,*,*,*,*,FIN,[0.31196065786376714]
172,59.166.0.8,149.171.126.0,*,*,*,*,CON,[0.9626886549612129]
173,59.166.0.8,149.171.126.0,*,*,*,*,FIN,[1.1511350344002702]
174,59.166.0.8,149.171.126.1,*,*,*,*,CON,[0.8535965624642804]
175,59.166.0.8,149.171.126.1,*,*,*,*,FIN,[0]
176,59.166.0.8,149.171.126.2,*,*,*,*,CON,[2.436308212484551]
177,59.166.0.8,149.171.126.2,*,*,*,*,FIN,[1.0024580127208587]
178,59.166.0.8,149.171.126.3,*,*,*,*,CON,[0]
179,59.166.0.8,149.171.126.3,*,*,*,*,FIN,[0.8905472636815923]
180,59.166.0.8,149.171.126.4,*,*,*,*,CON,[0.41755122821602025]
181,59.166.0.8,149.171.126.4,*,*,*,*,FIN,[1.7170936671123809]
182,59.166.0.8,149.171.126.5,*,*,*,*,CON,[0.47869278638533325]
183,59.166.0.8,149.171.126.5,*,*,*,*,FIN,[2.2921342844392694]
184,59.166.0.8,149.171.126.6,*,*,*,*,CON,[2.7943878495117564]
185,59.166.0.8,149.171.126.6,*,*,*,*,FIN,[0.6781103656115668]
