index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,*,*,*,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,*,*,*,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,*,*,*,[9.197795796483641]
3,10.40.182.3,10.40.182.3,*,*,*,*,*,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,*,*,*,[0]
5,10.40.85.1,10.40.85.30,*,*,*,*,*,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,*,*,*,[9.197795796483641]
7,10.40.85.10,10.40.85.1,*,*,*,*,*,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,*,*,*,[7.595402612440662]
9,10.40.85.30,10.40.85.1,*,*,*,*,*,[10]
10,175.45.176.0,149.171.126.10,*,*,*,*,*,[10]
11,175.45.176.0,149.171.126.14,*,*,*,*,*,[4.034013044042069]
12,175.45.176.0,149.171.126.15,*,*,*,*,*,[0.056724505741137146]
13,175.45.176.2,149.171.126.10,*,*,*,*,*,[2.3444602495430527]
14,175.45.176.2,149.171.126.14,*,*,*,*,*,[8.519060671569038]
15,175.45.176.3,149.171.126.15,*,*,*,*,*,[0.035087624262642246]
16,175.45.176.3,149.171.126.19,*,*,*,*,*,[0.10660942684262809]
17,59.166.0.0,149.171.126.0,*,*,*,*,*,[0.0894910573257945]
18,59.166.0.0,149.171.126.1,*,*,*,*,*,[0]
19,59.166.0.0,149.171.126.2,*,*,*,*,*,[0.874943107139645]
20,59.166.0.0,149.171.126.3,*,*,*,*,*,[1.2527268707880577]
21,59.166.0.0,149.171.126.4,*,*,*,*,*,[0]
22,59.166.0.0,149.171.126.5,*,*,*,*,*,[0.5729741783545437]
23,59.166.0.0,149.171.126.6,*,*,*,*,*,[0]
24,59.166.0.0,149.171.126.7,*,*,*,*,*,[0.9781062834486093]
25,59.166.0.0,149.171.126.8,*,*,*,*,*,[1.351896586267957]
26,59.166.0.0,149.171.126.9,*,*,*,*,*,[0.6214621561237833]
27,59.166.0.1,149.171.126.0,*,*,*,*,*,[1.158735661258554]
28,59.166.0.1,149.171.126.1,*,*,*,*,*,[1.9079765622139677]
29,59.166.0.1,149.171.126.2,*,*,*,*,*,[0]
30,59.166.0.1,149.171.126.3,*,*,*,*,*,[0]
31,59.166.0.1,149.171.126.4,*,*,*,*,*,[0]
32,59.166.0.1,149.171.126.5,*,*,*,*,*,[1.4763845574606942]
33,59.166.0.1,149.171.126.6,*,*,*,*,*,[0.9790442965348926]
34,59.166.0.1,149.171.126.7,*,*,*,*,*,[1.5551254844052715]
35,59.166.0.1,149.171.126.8,*,*,*,*,*,[0]
36,59.166.0.1,149.171.126.9,*,*,*,*,*,[0]
37,59.166.0.2,149.171.126.0,*,*,*,*,*,[0]
38,59.166.0.2,149.171.126.1,*,*,*,*,*,[1.0614942038371538]
39,59.166.0.2,149.171.126.2,*,*,*,*,*,[1.2586812669393064]
40,59.166.0.2,149.171.126.3,*,*,*,*,*,[0.031766046899490696]
41,59.166.0.2,149.171.126.4,*,*,*,*,*,[0.14661676883682023]
42,59.166.0.2,149.171.126.5,*,*,*,*,*,[0.8646881839233044]
43,59.166.0.2,149.171.126.6,*,*,*,*,*,[2.0576562661838214]
44,59.166.0.2,149.171.126.7,*,*,*,*,*,[0]
45,59.166.0.2,149.171.126.8,*,*,*,*,*,[0]
46,59.166.0.2,149.171.126.9,*,*,*,*,*,[0.4264290350826059]
47,59.166.0.3,149.171.126.0,*,*,*,*,*,[2.219967763544264]
48,59.166.0.3,149.171.126.1,*,*,*,*,*,[1.3162292525607289]
