index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,*,arp,*,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,*,arp,*,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,*,ospf,*,[9.197795796483641]
3,10.40.182.3,10.40.182.3,*,*,*,arp,*,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,*,udp,*,[0]
5,10.40.85.1,10.40.85.30,*,*,*,arp,*,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,*,ospf,*,[9.197795796483641]
7,10.40.85.10,10.40.85.1,*,*,*,arp,*,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,*,icmp,*,[10]
9,10.40.85.30,10.40.85.1,*,*,*,arp,*,[10]
10,175.45.176.0,149.171.126.15,*,*,*,tcp,*,[0.03859028164702633]
11,175.45.176.3,149.171.126.19,*,*,*,tcp,*,[0]
12,59.166.0.0,149.171.126.0,*,*,*,tcp,*,[0]
13,59.166.0.0,149.171.126.0,*,*,*,udp,*,[0.4048204523763685]
14,59.166.0.0,149.171.126.1,*,*,*,tcp,*,[0]
15,59.166.0.0,149.171.126.1,*,*,*,udp,*,[0.8018233895294138]
16,59.166.0.0,149.171.126.2,*,*,*,tcp,*,[1.3569753109585523]
17,59.166.0.0,149.171.126.2,*,*,*,udp,*,[0]
18,59.166.0.0,149.171.126.3,*,*,*,tcp,*,[0.5685057444007088]
19,59.166.0.0,149.171.126.3,*,*,*,udp,*,[1.6234966351077196]
20,59.166.0.0,149.171.126.4,*,*,*,tcp,*,[0.31992228017526353]
21,59.166.0.0,149.171.126.4,*,*,*,udp,*,[0]
22,59.166.0.0,149.171.126.5,*,*,*,tcp,*,[0.38517504941679404]
23,59.166.0.0,149.171.126.5,*,*,*,udp,*,[0.7282840681945351]
24,59.166.0.0,149.171.126.6,*,*,*,tcp,*,[0]
25,59.166.0.0,149.171.126.6,*,*,*,udp,*,[0.5443970280213486]
26,59.166.0.0,149.171.126.7,*,*,*,tcp,*,[0.9480159161191278]
27,59.166.0.0,149.171.126.7,*,*,*,udp,*,[0.10884482237494562]
28,59.166.0.0,149.171.126.8,*,*,*,tcp,*,[0.8751688374352424]
29,59.166.0.0,149.171.126.8,*,*,*,udp,*,[1.3584619503320348]
30,59.166.0.0,149.171.126.9,*,*,*,tcp,*,[0.5352690063415153]
31,59.166.0.0,149.171.126.9,*,*,*,udp,*,[0.24312004907651524]
32,59.166.0.1,149.171.126.0,*,*,*,tcp,*,[0.9369194038097762]
33,59.166.0.1,149.171.126.0,*,*,*,udp,*,[1.0722769352856538]
34,59.166.0.1,149.171.126.1,*,*,*,tcp,*,[1.1641533171115832]
35,59.166.0.1,149.171.126.1,*,*,*,udp,*,[1.6018431800957678]
36,59.166.0.1,149.171.126.2,*,*,*,tcp,*,[0]
37,59.166.0.1,149.171.126.2,*,*,*,udp,*,[0]
38,59.166.0.1,149.171.126.3,*,*,*,tcp,*,[0]
39,59.166.0.1,149.171.126.3,*,*,*,udp,*,[0]
40,59.166.0.1,149.171.126.4,*,*,*,tcp,*,[0.12268929068962435]
41,59.166.0.1,149.171.126.4,*,*,*,udp,*,[0]
42,59.166.0.1,149.171.126.5,*,*,*,tcp,*,[1.6044919954016876]
