index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,unknown,*,REQ,[10]
3,10.40.182.3,10.40.182.3,*,*,unknown,*,INT,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,unknown,*,INT,[0]
5,10.40.85.1,10.40.85.30,*,*,unknown,*,CON,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,unknown,*,REQ,[10]
7,10.40.85.10,10.40.85.1,*,*,unknown,*,CON,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,unknown,*,ECO,[10]
9,10.40.85.30,10.40.85.1,*,*,unknown,*,CON,[10]
10,175.45.176.0,149.171.126.15,*,*,unknown,*,FIN,[0]
11,175.45.176.3,149.171.126.19,*,*,unknown,*,FIN,[0]
12,59.166.0.0,149.171.126.0,*,*,dns,*,CON,[1.0547198028072964]
13,59.166.0.0,149.171.126.0,*,*,ftp,*,FIN,[0]
14,59.166.0.0,149.171.126.0,*,*,http,*,FIN,[0.1574724447330468]
15,59.166.0.0,149.171.126.0,*,*,smtp,*,FIN,[0.4045199174779453]
16,59.166.0.0,149.171.126.0,*,*,ssh,*,FIN,[0]
17,59.166.0.0,149.171.126.0,*,*,unknown,*,CON,[0]
18,59.166.0.0,149.171.126.0,*,*,unknown,*,FIN,[0.04057204129667839]
19,59.166.0.0,149.171.126.1,*,*,dns,*,CON,[1.2690226708834125]
20,59.166.0.0,149.171.126.1,*,*,ftp,*,FIN,[0]
21,59.166.0.0,149.171.126.1,*,*,http,*,FIN,[0.41333137384109464]
22,59.166.0.0,149.171.126.1,*,*,smtp,*,FIN,[0]
23,59.166.0.0,149.171.126.1,*,*,ssh,*,FIN,[1.3793243482539603]
24,59.166.0.0,149.171.126.1,*,*,unknown,*,CON,[0]
25,59.166.0.0,149.171.126.1,*,*,unknown,*,FIN,[0]
26,59.166.0.0,149.171.126.2,*,*,dns,*,CON,[0]
27,59.166.0.0,149.171.126.2,*,*,ftp,*,FIN,[0.26423686239063476]
28,59.166.0.0,149.171.126.2,*,*,http,*,FIN,[0.7224219619614706]
29,59.166.0.0,149.171.126.2,*,*,smtp,*,FIN,[0]
30,59.166.0.0,149.171.126.2,*,*,ssh,*,FIN,[0.03826393658966891]
31,59.166.0.0,149.171.126.2,*,*,unknown,*,CON,[0.07785933248303767]
32,59.166.0.0,149.171.126.2,*,*,unknown,*,FIN,[1.3319918436304732]
33,59.166.0.0,149.171.126.3,*,*,dns,*,CON,[0.8706649707489091]
34,59.166.0.0,149.171.126.3,*,*,ftp,*,FIN,[0.08421519210665206]
35,59.166.0.0,149.171.126.3,*,*,http,*,FIN,[1.080312994958483]
36,59.166.0.0,149.171.126.3,*,*,smtp,*,FIN,[0.04120428217151631]
37,59.166.0.0,149.171.126.3,*,*,ssh,*,FIN,[0.47118823056593123]
38,59.166.0.0,149.171.126.3,*,*,unknown,*,CON,[1.456263947274272]
39,59.166.0.0,149.171.126.3,*,*,unknown,*,FIN,[0.28318016022576226]
40,59.166.0.0,149.171.126.4,*,*,dns,*,CON,[0.02621108168294316]
41,59.166.0.0,149.171.126.4,*,*,ftp,*,FIN,[1.0]
42,59.166.0.0,149.171.126.4,*,*,http,*,FIN,[2.3272391323219224]
43,59.166.0.0,149.171.126.4,*,*,smtp,*,FIN,[0.06398566881509817]
44,59.166.0.0,149.171.126.4,*,*,ssh,*,FIN,[3.790800145860548]
45,59.166.0.0,149.171.126.4,*,*,unknown,*,CON,[0]
46,59.166.0.0,149.171.126.4,*,*,unknown,*,FIN,[0]
