index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,10.40.182.3,*,*,unknown,arp,*,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,unknown,udp,*,[0]
5,10.40.85.1,10.40.85.30,*,*,unknown,arp,*,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,unknown,ospf,*,[9.197795796483641]
7,10.40.85.10,10.40.85.1,*,*,unknown,arp,*,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,unknown,icmp,*,[10]
9,10.40.85.30,10.40.85.1,*,*,unknown,arp,*,[10]
10,175.45.176.0,149.171.126.15,*,*,unknown,tcp,*,[0]
11,175.45.176.3,149.171.126.19,*,*,unknown,tcp,*,[0]
12,59.166.0.0,149.171.126.0,*,*,dns,udp,*,[1.0547198028072964]
13,59.166.0.0,149.171.126.0,*,*,ftp,tcp,*,[0]
14,59.166.0.0,149.171.126.0,*,*,http,tcp,*,[0.1574724447330468]
15,59.166.0.0,149.171.126.0,*,*,smtp,tcp,*,[0.4045199174779453]
16,59.166.0.0,149.171.126.0,*,*,ssh,tcp,*,[0]
17,59.166.0.0,149.171.126.0,*,*,unknown,tcp,*,[0.04057204129667839]
18,59.166.0.0,149.171.126.0,*,*,unknown,udp,*,[0]
19,59.166.0.0,149.171.126.1,*,*,dns,udp,*,[1.2690226708834125]
20,59.166.0.0,149.171.126.1,*,*,ftp,tcp,*,[0]
21,59.166.0.0,149.171.126.1,*,*,http,tcp,*,[0.3968404300076805]
22,59.166.0.0,149.171.126.1,*,*,smtp,tcp,*,[0]
23,59.166.0.0,149.171.126.1,*,*,ssh,tcp,*,[1.3793243482539603]
24,59.166.0.0,149.171.126.1,*,*,unknown,tcp,*,[0]
25,59.166.0.0,149.171.126.1,*,*,unknown,udp,*,[0]
26,59.166.0.0,149.171.126.2,*,*,dns,udp,*,[0]
27,59.166.0.0,149.171.126.2,*,*,ftp,tcp,*,[0.26423686239063476]
28,59.166.0.0,149.171.126.2,*,*,http,tcp,*,[0.6870254211258009]
29,59.166.0.0,149.171.126.2,*,*,smtp,tcp,*,[0]
30,59.166.0.0,149.171.126.2,*,*,ssh,tcp,*,[0.03826393658966891]
31,59.166.0.0,149.171.126.2,*,*,unknown,tcp,*,[1.33096682205165]
32,59.166.0.0,149.171.126.2,*,*,unknown,udp,*,[0.0857466872788184]
33,59.166.0.0,149.171.126.3,*,*,dns,udp,*,[0.8706649707489091]
34,59.166.0.0,149.171.126.3,*,*,ftp,tcp,*,[0.08421519210665206]
35,59.166.0.0,149.171.126.3,*,*,http,tcp,*,[1.0646134249033077]
36,59.166.0.0,149.171.126.3,*,*,smtp,tcp,*,[0.04120428217151631]
37,59.166.0.0,149.171.126.3,*,*,ssh,tcp,*,[0.47118823056593123]
38,59.166.0.0,149.171.126.3,*,*,unknown,tcp,*,[0.2528377753407689]
39,59.166.0.0,149.171.126.3,*,*,unknown,udp,*,[1.6006754460733814]
40,59.166.0.0,149.171.126.4,*,*,dns,udp,*,[0.02621108168294316]
41,59.166.0.0,149.171.126.4,*,*,ftp,tcp,*,[1.0]
42,59.166.0.0,149.171.126.4,*,*,http,tcp,*,[2.3220508079478654]
43,59.166.0.0,149.171.126.4,*,*,smtp,tcp,*,[0.06398566881509817]
44,59.166.0.0,149.171.126.4,*,*,ssh,tcp,*,[3.790800145860548]
45,59.166.0.0,149.171.126.4,*,*,unknown,tcp,*,[0]
46,59.166.0.0,149.171.126.4,*,*,unknown,udp,*,[0]
47,59.166.0.0,149.171.126.5,*,*,dns,udp,*,[0]
48,59.166.0.0,149.171.126.5,*,*,ftp,tcp,*,[0.6115928396627265]
49,59.166.0.0,149.171.126.5,*,*,http,tcp,*,[0.6307422400574926]
50,59.166.0.0,149.171.126.5,*,*,smtp,tcp,*,[0]
51,59.166.0.0,149.171.126.5,*,*,ssh,tcp,*,[0.16816819849907808]
52,59.166.0.0,149.171.126.5,*,*,unknown,tcp,*,[0.26026692514559535]
53,59.166.0.0,149.171.126.5,*,*,unknown,udp,*,[1.2556794600913723]
54,59.166.0.0,149.171.126.6,*,*,dns,udp,*,[0.013409838653121875]
55,59.166.0.0,149.171.126.6,*,*,ftp,tcp,*,[0]
56,59.166.0.0,149.171.126.6,*,*,http,tcp,*,[0]
57,59.166.0.0,149.171.126.6,*,*,smtp,tcp,*,[0]
58,59.166.0.0,149.171.126.6,*,*,ssh,tcp,*,[0]
59,59.166.0.0,149.171.126.6,*,*,unknown,tcp,*,[0]
60,59.166.0.0,149.171.126.6,*,*,unknown,udp,*,[0.6383881894170367]
61,59.166.0.0,149.171.126.7,*,*,dns,udp,*,[0]
62,59.166.0.0,149.171.126.7,*,*,ftp,tcp,*,[0]
63,59.166.0.0,149.171.126.7,*,*,http,tcp,*,[0]
64,59.166.0.0,149.171.126.7,*,*,smtp,tcp,*,[0]
65,59.166.0.0,149.171.126.7,*,*,ssh,tcp,*,[0]
66,59.166.0.0,149.171.126.7,*,*,unknown,tcp,*,[1.6074022831270038]
67,59.166.0.0,149.171.126.7,*,*,unknown,udp,*,[0.20747616156053675]
68,59.166.0.0,149.171.126.8,*,*,dns,udp,*,[1.0738171907532084]
69,59.166.0.0,149.171.126.8,*,*,ftp,tcp,*,[0]
70,59.166.0.0,149.171.126.8,*,*,http,tcp,*,[0.5217491947499506]
71,59.166.0.0,149.171.126.8,*,*,smtp,tcp,*,[0.44653065247664764]
72,59.166.0.0,149.171.126.8,*,*,ssh,tcp,*,[0]
73,59.166.0.0,149.171.126.8,*,*,unknown,tcp,*,[1.0653312363426526]
74,59.166.0.0,149.171.126.8,*,*,unknown,udp,*,[0.7280818710894912]
75,59.166.0.0,149.171.126.9,*,*,dns,udp,*,[0]
76,59.166.0.0,149.171.126.9,*,*,ftp,tcp,*,[0.18160817807303695]
77,59.166.0.0,149.171.126.9,*,*,http,tcp,*,[2.389341343906405]
78,59.166.0.0,149.171.126.9,*,*,smtp,tcp,*,[0.9150793638884733]
79,59.166.0.0,149.171.126.9,*,*,ssh,tcp,*,[0.014535559317825315]
80,59.166.0.0,149.171.126.9,*,*,unknown,tcp,*,[0]
81,59.166.0.0,149.171.126.9,*,*,unknown,udp,*,[0.5003722378776897]
82,59.166.0.1,149.171.126.0,*,*,dns,udp,*,[1.1708863276872163]
83,59.166.0.1,149.171.126.0,*,*,ftp,tcp,*,[0.30927685641354313]
84,59.166.0.1,149.171.126.0,*,*,http,tcp,*,[0]
85,59.166.0.1,149.171.126.0,*,*,smtp,tcp,*,[1.7418467616245734]
86,59.166.0.1,149.171.126.0,*,*,ssh,tcp,*,[1.6025399127347053]
87,59.166.0.1,149.171.126.0,*,*,unknown,tcp,*,[0.8084472112898012]
88,59.166.0.1,149.171.126.0,*,*,unknown,udp,*,[0.08025723539051294]
89,59.166.0.1,149.171.126.1,*,*,dns,udp,*,[1.4404107747917019]
90,59.166.0.1,149.171.126.1,*,*,ftp,tcp,*,[0.28490144114909477]
91,59.166.0.1,149.171.126.1,*,*,http,tcp,*,[2.4735963798824567]
92,59.166.0.1,149.171.126.1,*,*,smtp,tcp,*,[0]
93,59.166.0.1,149.171.126.1,*,*,ssh,tcp,*,[0.28552280506885347]
94,59.166.0.1,149.171.126.1,*,*,unknown,tcp,*,[0.45056248874908944]
95,59.166.0.1,149.171.126.1,*,*,unknown,udp,*,[0.6632801517678762]
96,59.166.0.1,149.171.126.2,*,*,dns,udp,*,[0]
97,59.166.0.1,149.171.126.2,*,*,ftp,tcp,*,[0]
98,59.166.0.1,149.171.126.2,*,*,http,tcp,*,[0]
99,59.166.0.1,149.171.126.2,*,*,smtp,tcp,*,[0.1498128508316767]
100,59.166.0.1,149.171.126.2,*,*,ssh,tcp,*,[0.6572281809152264]
101,59.166.0.1,149.171.126.2,*,*,unknown,tcp,*,[0.18203151440569904]
102,59.166.0.1,149.171.126.2,*,*,unknown,udp,*,[0]
103,59.166.0.1,149.171.126.3,*,*,dns,udp,*,[0]
104,59.166.0.1,149.171.126.3,*,*,ftp,tcp,*,[0]
105,59.166.0.1,149.171.126.3,*,*,http,tcp,*,[1.9466944745292285]
106,59.166.0.1,149.171.126.3,*,*,smtp,tcp,*,[0]
107,59.166.0.1,149.171.126.3,*,*,ssh,tcp,*,[1.0101525445522106]
108,59.166.0.1,149.171.126.3,*,*,unknown,tcp,*,[0]
109,59.166.0.1,149.171.126.3,*,*,unknown,udp,*,[0.0075564832874418985]
110,59.166.0.1,149.171.126.4,*,*,dns,udp,*,[0]
111,59.166.0.1,149.171.126.4,*,*,ftp,tcp,*,[0.3511234415883917]
112,59.166.0.1,149.171.126.4,*,*,http,tcp,*,[0.4868644955601479]
113,59.166.0.1,149.171.126.4,*,*,smtp,tcp,*,[0]
114,59.166.0.1,149.171.126.4,*,*,ssh,tcp,*,[0]
115,59.166.0.1,149.171.126.4,*,*,unknown,tcp,*,[0.3077351854860755]
116,59.166.0.1,149.171.126.4,*,*,unknown,udp,*,[0.5570860145311556]
117,59.166.0.1,149.171.126.5,*,*,dns,udp,*,[0]
118,59.166.0.1,149.171.126.5,*,*,ftp,tcp,*,[0.4713626237531505]
119,59.166.0.1,149.171.126.5,*,*,http,tcp,*,[1.720529788345881]
120,59.166.0.1,149.171.126.5,*,*,smtp,tcp,*,[0]
121,59.166.0.1,149.171.126.5,*,*,ssh,tcp,*,[1.6524863218414003]
122,59.166.0.1,149.171.126.5,*,*,unknown,tcp,*,[0.9285146057471545]
123,59.166.0.1,149.171.126.5,*,*,unknown,udp,*,[0.3774196013211313]
124,59.166.0.1,149.171.126.6,*,*,dns,udp,*,[1.697475456347215]
125,59.166.0.1,149.171.126.6,*,*,ftp,tcp,*,[1.188650988452611]
126,59.166.0.1,149.171.126.6,*,*,http,tcp,*,[0]
127,59.166.0.1,149.171.126.6,*,*,smtp,tcp,*,[0.8525724964548891]
128,59.166.0.1,149.171.126.6,*,*,ssh,tcp,*,[1.0235933662036254]
129,59.166.0.1,149.171.126.6,*,*,unknown,tcp,*,[0.05112563032706418]
130,59.166.0.1,149.171.126.6,*,*,unknown,udp,*,[0.8597269536210954]
131,59.166.0.1,149.171.126.7,*,*,dns,udp,*,[0.04397729159182536]
132,59.166.0.1,149.171.126.7,*,*,ftp,tcp,*,[0.23249527748763868]
133,59.166.0.1,149.171.126.7,*,*,http,tcp,*,[2.740061956686552]
134,59.166.0.1,149.171.126.7,*,*,smtp,tcp,*,[0.5183210553488161]
135,59.166.0.1,149.171.126.7,*,*,ssh,tcp,*,[1.211068149786546]
136,59.166.0.1,149.171.126.7,*,*,unknown,tcp,*,[1.1017236346387846]
137,59.166.0.1,149.171.126.7,*,*,unknown,udp,*,[0]
138,59.166.0.1,149.171.126.8,*,*,dns,udp,*,[0]
139,59.166.0.1,149.171.126.8,*,*,ftp,tcp,*,[0.2556896087358145]
140,59.166.0.1,149.171.126.8,*,*,http,tcp,*,[0]
141,59.166.0.1,149.171.126.8,*,*,smtp,tcp,*,[0.7882634225314343]
142,59.166.0.1,149.171.126.8,*,*,ssh,tcp,*,[0]
143,59.166.0.1,149.171.126.8,*,*,unknown,tcp,*,[0]
144,59.166.0.1,149.171.126.8,*,*,unknown,udp,*,[0]
145,59.166.0.1,149.171.126.9,*,*,dns,udp,*,[0.32391153585859983]
146,59.166.0.1,149.171.126.9,*,*,ftp,tcp,*,[0]
147,59.166.0.1,149.171.126.9,*,*,http,tcp,*,[0]
148,59.166.0.1,149.171.126.9,*,*,smtp,tcp,*,[0]
149,59.166.0.1,149.171.126.9,*,*,ssh,tcp,*,[1.4269353798659745]
150,59.166.0.1,149.171.126.9,*,*,unknown,tcp,*,[0]
151,59.166.0.1,149.171.126.9,*,*,unknown,udp,*,[0]
152,59.166.0.2,149.171.126.0,*,*,dns,udp,*,[0]
153,59.166.0.2,149.171.126.0,*,*,ftp,tcp,*,[0]
154,59.166.0.2,149.171.126.0,*,*,http,tcp,*,[0.3156119372609888]
155,59.166.0.2,149.171.126.0,*,*,smtp,tcp,*,[0.15655290166214525]
156,59.166.0.2,149.171.126.0,*,*,ssh,tcp,*,[0.9381513836374652]
157,59.166.0.2,149.171.126.0,*,*,unknown,tcp,*,[0]
158,59.166.0.2,149.171.126.0,*,*,unknown,udp,*,[0]
159,59.166.0.2,149.171.126.1,*,*,dns,udp,*,[1.0553610796291162]
160,59.166.0.2,149.171.126.1,*,*,ftp,tcp,*,[0]
161,59.166.0.2,149.171.126.1,*,*,http,tcp,*,[0]
162,59.166.0.2,149.171.126.1,*,*,smtp,tcp,*,[0.9516619028617729]
163,59.166.0.2,149.171.126.1,*,*,ssh,tcp,*,[0]
164,59.166.0.2,149.171.126.1,*,*,unknown,tcp,*,[1.1339382277267473]
165,59.166.0.2,149.171.126.1,*,*,unknown,udp,*,[0]
166,59.166.0.2,149.171.126.2,*,*,dns,udp,*,[0.8819528167864188]
167,59.166.0.2,149.171.126.2,*,*,ftp,tcp,*,[0.46257302031856296]
168,59.166.0.2,149.171.126.2,*,*,http,tcp,*,[1.237968921180346]
169,59.166.0.2,149.171.126.2,*,*,smtp,tcp,*,[2.2416326513328615]
170,59.166.0.2,149.171.126.2,*,*,ssh,tcp,*,[1.0302147164932496]
171,59.166.0.2,149.171.126.2,*,*,unknown,tcp,*,[0]
172,59.166.0.2,149.171.126.2,*,*,unknown,udp,*,[2.371519196602998]
173,59.166.0.2,149.171.126.3,*,*,dns,udp,*,[0]
174,59.166.0.2,149.171.126.3,*,*,ftp,tcp,*,[0]
175,59.166.0.2,149.171.126.3,*,*,http,tcp,*,[1.3171097607166327]
176,59.166.0.2,149.171.126.3,*,*,smtp,tcp,*,[0]
177,59.166.0.2,149.171.126.3,*,*,ssh,tcp,*,[0]
178,59.166.0.2,149.171.126.3,*,*,unknown,tcp,*,[0]
179,59.166.0.2,149.171.126.3,*,*,unknown,udp,*,[1.4382633914250391]
180,59.166.0.2,149.171.126.4,*,*,dns,udp,*,[0.7194014606174094]
181,59.166.0.2,149.171.126.4,*,*,ftp,tcp,*,[0]
182,59.166.0.2,149.171.126.4,*,*,http,tcp,*,[1.8399003226059683]
183,59.166.0.2,149.171.126.4,*,*,smtp,tcp,*,[0]
184,59.166.0.2,149.171.126.4,*,*,ssh,tcp,*,[1.2499912982641777]
185,59.166.0.2,149.171.126.4,*,*,unknown,tcp,*,[0]
186,59.166.0.2,149.171.126.4,*,*,unknown,udp,*,[0.3301586578245269]
187,59.166.0.2,149.171.126.5,*,*,dns,udp,*,[1.790348914430308]
188,59.166.0.2,149.171.126.5,*,*,ftp,tcp,*,[0.799637937686302]
189,59.166.0.2,149.171.126.5,*,*,http,tcp,*,[1.1199102634290743]
190,59.166.0.2,149.171.126.5,*,*,smtp,tcp,*,[0]
191,59.166.0.2,149.171.126.5,*,*,ssh,tcp,*,[0.6674912392349771]
192,59.166.0.2,149.171.126.5,*,*,unknown,tcp,*,[0.03959268711419223]
193,59.166.0.2,149.171.126.5,*,*,unknown,udp,*,[0.11298653657320641]
194,59.166.0.2,149.171.126.6,*,*,dns,udp,*,[2.774915524599291]
195,59.166.0.2,149.171.126.6,*,*,ftp,tcp,*,[0.29816200066879683]
196,59.166.0.2,149.171.126.6,*,*,http,tcp,*,[0.7778444682625973]
197,59.166.0.2,149.171.126.6,*,*,smtp,tcp,*,[0]
198,59.166.0.2,149.171.126.6,*,*,ssh,tcp,*,[0.6237085736817238]
199,59.166.0.2,149.171.126.6,*,*,unknown,tcp,*,[0.7087521089087977]
200,59.166.0.2,149.171.126.6,*,*,unknown,udp,*,[0.09470274476207534]
201,59.166.0.2,149.171.126.7,*,*,dns,udp,*,[0]
202,59.166.0.2,149.171.126.7,*,*,ftp,tcp,*,[0]
203,59.166.0.2,149.171.126.7,*,*,http,tcp,*,[0.10280093240868507]
204,59.166.0.2,149.171.126.7,*,*,smtp,tcp,*,[0.5712405705774791]
205,59.166.0.2,149.171.126.7,*,*,ssh,tcp,*,[0.6519380988208883]
