index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,0,0,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,10.40.182.3,0,0,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,224.0.0.5,0,0,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,10.40.182.3,0,0,unknown,arp,*,[8.74573066576194]
4,10.40.182.6,10.40.182.255,138,138,unknown,udp,*,[0]
5,10.40.85.1,10.40.85.30,0,0,unknown,arp,*,[9.963282104370133]
6,10.40.85.1,224.0.0.5,0,0,unknown,ospf,*,[9.197795796483641]
7,10.40.85.10,10.40.85.1,0,0,unknown,arp,*,[7.884206636416519]
8,10.40.85.10,192.168.241.50,2048,52233,unknown,icmp,*,[10]
9,10.40.85.30,10.40.85.1,0,0,unknown,arp,*,[10]
10,?,?,?,?,?,?,*,[6.844420740791423]
