index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,*,*,INT,[8.74573066576194]
1,*,10.40.182.3,*,*,*,*,CON,[8.81087844357011]
2,*,10.40.85.1,*,*,*,*,CON,[10]
3,*,10.40.85.30,*,*,*,*,CON,[9.963282104370133]
4,*,149.171.126.10,*,*,*,*,FIN,[10]
5,*,192.168.241.50,*,*,*,*,ECO,[10]
6,*,224.0.0.5,*,*,*,*,REQ,[10]
7,*,?,*,*,*,*,ECO,[10]
8,*,149.171.126.17,*,*,*,*,?,[10]
9,*,149.171.126.19,*,*,*,*,?,[8.250277157207005]
