index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,*,arp,INT,[8.74573066576194]
1,*,10.40.182.3,*,*,*,arp,CON,[8.81087844357011]
2,*,10.40.85.1,*,*,*,arp,CON,[10]
3,*,10.40.85.30,*,*,*,arp,CON,[9.963282104370133]
4,*,149.171.126.10,*,*,*,tcp,FIN,[10]
5,*,192.168.241.50,*,*,*,icmp,ECO,[10]
6,*,224.0.0.5,*,*,*,ospf,REQ,[10]
7,*,?,*,*,*,?,?,[10]
8,*,?,*,*,*,udp,CON,[10]
9,*,149.171.126.17,*,*,*,tcp,?,[10]
