index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,*,arp,*,[8.74573066576194]
1,*,10.40.182.3,*,*,*,arp,*,[8.096389019279838]
2,*,10.40.85.1,*,*,*,arp,*,[10]
3,*,10.40.85.30,*,*,*,arp,*,[9.963282104370133]
4,*,149.171.126.10,*,*,*,tcp,*,[10]
5,*,149.171.126.17,*,*,*,tcp,*,[9.527586178793378]
6,*,192.168.241.50,*,*,*,icmp,*,[10]
7,*,224.0.0.5,*,*,*,ospf,*,[9.197795796483641]
8,*,?,*,*,*,icmp,*,[10]
9,*,149.171.126.18,*,*,*,?,*,[10]
10,*,149.171.126.19,*,*,*,?,*,[8.241805968068048]
