index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,unknown,*,*,[8.74573066576194]
1,*,10.40.182.3,*,*,unknown,*,*,[8.096389019279838]
2,*,10.40.85.1,*,*,unknown,*,*,[10]
3,*,10.40.85.30,*,*,unknown,*,*,[9.963282104370133]
4,*,149.171.126.17,*,*,unknown,*,*,[9.970377369110764]
5,*,224.0.0.5,*,*,unknown,*,*,[9.197795796483641]
6,*,149.171.126.10,*,*,?,*,*,[10]
7,*,149.171.126.14,*,*,?,*,*,[10]
8,*,149.171.126.15,*,*,?,*,*,[9.73407046027833]
9,*,149.171.126.16,*,*,?,*,*,[10]
