index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,unknown,arp,INT,[8.74573066576194]
1,*,10.40.182.3,*,*,unknown,arp,CON,[8.81087844357011]
2,*,10.40.85.1,*,*,unknown,arp,CON,[10]
3,*,10.40.85.30,*,*,unknown,arp,CON,[9.963282104370133]
4,*,192.168.241.50,*,*,unknown,icmp,ECO,[10]
5,*,224.0.0.5,*,*,unknown,ospf,REQ,[10]
6,*,?,*,*,?,?,?,[10]
7,*,?,*,*,ftp,tcp,FIN,[10]
8,*,149.171.126.10,*,*,?,tcp,FIN,[10]
9,*,?,*,*,unknown,udp,CON,[10]
10,*,149.171.126.14,*,*,?,tcp,FIN,[10]
11,*,149.171.126.15,*,*,?,tcp,FIN,[10]
12,*,149.171.126.16,*,*,?,tcp,FIN,[10]
13,*,149.171.126.17,*,*,unknown,tcp,?,[10]
