index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,*,unknown,arp,*,[8.74573066576194]
1,*,10.40.182.3,*,*,unknown,arp,*,[8.096389019279838]
2,*,10.40.85.1,*,*,unknown,arp,*,[10]
3,*,10.40.85.30,*,*,unknown,arp,*,[9.963282104370133]
4,*,149.171.126.17,*,*,unknown,tcp,*,[9.039611494749373]
5,*,192.168.241.50,*,*,unknown,icmp,*,[10]
6,*,224.0.0.5,*,*,unknown,ospf,*,[9.197795796483641]
7,*,?,*,*,ftp,tcp,*,[10]
8,*,149.171.126.10,*,*,?,tcp,*,[10]
9,*,?,*,*,?,?,*,[9.755913443337048]
10,*,?,*,*,unknown,icmp,*,[10]
11,*,149.171.126.14,*,*,?,tcp,*,[10]
12,*,149.171.126.15,*,*,?,tcp,*,[9.73407046027833]
13,*,149.171.126.16,*,*,?,tcp,*,[10]
14,*,149.171.126.18,*,*,unknown,?,*,[10]
