index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,0,*,arp,INT,[8.74573066576194]
1,*,10.40.182.3,*,0,*,arp,CON,[8.81087844357011]
2,*,10.40.85.1,*,0,*,arp,CON,[10]
3,*,10.40.85.30,*,0,*,arp,CON,[9.963282104370133]
4,*,192.168.241.50,*,52233,*,icmp,ECO,[10]
5,*,224.0.0.5,*,0,*,ospf,REQ,[10]
6,*,149.171.126.0,*,?,*,tcp,FIN,[10]
7,*,149.171.126.0,*,?,*,udp,CON,[10]
8,*,149.171.126.1,*,?,*,tcp,FIN,[10]
9,*,149.171.126.1,*,?,*,udp,CON,[10]
10,*,149.171.126.15,*,?,*,tcp,FIN,[10]
11,*,149.171.126.2,*,?,*,udp,CON,[10]
12,*,149.171.126.2,*,?,*,tcp,FIN,[10]
13,*,149.171.126.3,*,?,*,udp,CON,[10]
14,*,149.171.126.3,*,?,*,tcp,FIN,[10]
15,*,149.171.126.4,*,?,*,tcp,FIN,[10]
16,*,149.171.126.4,*,?,*,udp,CON,[10]
17,*,149.171.126.5,*,?,*,tcp,FIN,[10]
18,*,149.171.126.5,*,?,*,udp,CON,[10]
19,*,149.171.126.6,*,?,*,tcp,FIN,[10]
20,*,149.171.126.6,*,?,*,udp,CON,[10]
21,*,149.171.126.7,*,?,*,tcp,FIN,[10]
22,*,149.171.126.7,*,?,*,udp,CON,[10]
23,*,149.171.126.8,*,?,*,tcp,FIN,[10]
24,*,149.171.126.8,*,?,*,udp,CON,[10]
25,*,149.171.126.9,*,?,*,tcp,FIN,[10]
26,*,149.171.126.9,*,?,*,udp,CON,[10]
