index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,*,0,unknown,*,INT,[8.74573066576194]
1,*,10.40.182.3,*,0,unknown,*,CON,[8.81087844357011]
2,*,10.40.85.1,*,0,unknown,*,CON,[10]
3,*,10.40.85.30,*,0,unknown,*,CON,[9.963282104370133]
4,*,192.168.241.50,*,52233,unknown,*,ECO,[10]
5,*,224.0.0.5,*,0,unknown,*,REQ,[10]
6,*,149.171.126.0,*,?,unknown,*,FIN,[10]
7,*,149.171.126.0,*,?,unknown,*,CON,[10]
8,*,149.171.126.1,*,?,unknown,*,FIN,[10]
9,*,149.171.126.1,*,?,unknown,*,CON,[10]
10,*,?,*,0,unknown,*,INT,[10]
11,*,149.171.126.15,*,?,unknown,*,FIN,[10]
12,*,149.171.126.2,*,?,unknown,*,CON,[10]
13,*,149.171.126.2,*,?,unknown,*,FIN,[10]
14,*,149.171.126.3,*,?,unknown,*,CON,[10]
15,*,149.171.126.3,*,?,unknown,*,FIN,[10]
16,*,149.171.126.4,*,?,unknown,*,FIN,[10]
17,*,149.171.126.4,*,?,unknown,*,CON,[10]
18,*,149.171.126.5,*,?,unknown,*,FIN,[10]
19,*,149.171.126.5,*,?,unknown,*,CON,[10]
20,*,149.171.126.6,*,?,unknown,*,FIN,[10]
21,*,149.171.126.6,*,?,unknown,*,CON,[10]
22,*,149.171.126.7,*,?,unknown,*,FIN,[10]
23,*,149.171.126.7,*,?,unknown,*,CON,[10]
24,*,149.171.126.8,*,?,unknown,*,FIN,[10]
25,*,149.171.126.8,*,?,unknown,*,CON,[10]
26,*,149.171.126.9,*,?,unknown,*,FIN,[10]
27,*,149.171.126.9,*,?,unknown,*,CON,[10]
