index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,arp,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,*,arp,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,*,ospf,REQ,[10]
3,10.40.182.3,*,*,*,*,arp,INT,[8.696263565463042]
4,10.40.85.1,*,*,*,*,arp,CON,[9.963282104370133]
5,10.40.85.1,*,*,*,*,ospf,REQ,[10]
6,10.40.85.10,*,*,*,*,icmp,ECO,[10]
7,10.40.85.30,*,*,*,*,arp,CON,[10]
8,175.45.176.0,*,*,*,*,udp,INT,[10]
9,?,*,*,*,*,?,?,[9.799114244465143]
10,175.45.176.0,*,*,*,*,?,INT,[10]
11,?,*,*,*,*,udp,CON,[9.74885985417658]
12,175.45.176.1,*,*,*,*,?,INT,[10]
13,175.45.176.1,*,*,*,*,tcp,?,[10]
14,175.45.176.1,*,*,*,*,udp,?,[10]
15,175.45.176.2,*,*,*,*,?,INT,[10]
16,175.45.176.3,*,*,*,*,?,INT,[10]
17,175.45.176.3,*,*,*,*,udp,?,[8.488746876271653]
