index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,*,arp,*,[8.74573066576194]
1,10.40.182.1,*,*,*,*,arp,*,[8.81087844357011]
2,10.40.182.1,*,*,*,*,ospf,*,[9.197795796483641]
3,10.40.182.3,*,*,*,*,arp,*,[8.696263565463042]
4,10.40.85.1,*,*,*,*,arp,*,[9.963282104370133]
5,10.40.85.1,*,*,*,*,ospf,*,[9.197795796483641]
6,10.40.85.10,*,*,*,*,icmp,*,[10]
7,10.40.85.30,*,*,*,*,arp,*,[10]
8,175.45.176.0,*,*,*,*,udp,*,[10]
9,175.45.176.1,*,*,*,*,tcp,*,[8.685372157384464]
10,175.45.176.0,*,*,*,*,?,*,[10]
11,175.45.176.1,*,*,*,*,?,*,[10]
12,175.45.176.2,*,*,*,*,?,*,[10]
13,175.45.176.3,*,*,*,*,?,*,[10]
