index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,arp,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,arp,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,unknown,ospf,REQ,[10]
3,10.40.182.3,*,*,*,unknown,arp,INT,[8.696263565463042]
4,10.40.85.1,*,*,*,unknown,arp,CON,[9.963282104370133]
5,10.40.85.1,*,*,*,unknown,ospf,REQ,[10]
6,10.40.85.10,*,*,*,unknown,icmp,ECO,[10]
7,10.40.85.30,*,*,*,unknown,arp,CON,[10]
8,?,*,*,*,?,?,?,[10]
9,175.45.176.0,*,*,*,unknown,?,INT,[10]
10,?,*,*,*,unknown,udp,CON,[8.082903768654761]
11,175.45.176.1,*,*,*,?,tcp,FIN,[9.480507792962912]
12,175.45.176.1,*,*,*,unknown,?,INT,[10]
13,175.45.176.1,*,*,*,unknown,tcp,?,[10]
14,175.45.176.2,*,*,*,unknown,?,INT,[10]
15,175.45.176.3,*,*,*,unknown,?,INT,[10]
