index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,*,*,*,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,*,*,*,unknown,arp,*,[8.696263565463042]
4,10.40.85.1,*,*,*,unknown,arp,*,[9.963282104370133]
5,10.40.85.1,*,*,*,unknown,ospf,*,[9.197795796483641]
6,10.40.85.10,*,*,*,unknown,icmp,*,[10]
7,10.40.85.30,*,*,*,unknown,arp,*,[10]
8,175.45.176.0,*,*,*,?,udp,*,[10]
9,175.45.176.0,*,*,*,unknown,?,*,[10]
10,175.45.176.1,*,*,*,?,udp,*,[10]
11,175.45.176.1,*,*,*,?,tcp,*,[9.409482047109444]
12,175.45.176.1,*,*,*,unknown,?,*,[10]
13,175.45.176.2,*,*,*,?,udp,*,[9.192388155425117]
14,175.45.176.2,*,*,*,unknown,?,*,[10]
15,175.45.176.3,*,*,*,unknown,?,*,[10]
