index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,*,*,0,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,*,*,0,unknown,*,REQ,[10]
3,10.40.182.3,*,*,0,unknown,*,INT,[8.696263565463042]
4,10.40.85.1,*,*,0,unknown,*,CON,[9.963282104370133]
5,10.40.85.1,*,*,0,unknown,*,REQ,[10]
6,10.40.85.10,*,*,52233,unknown,*,ECO,[10]
7,10.40.85.30,*,*,0,unknown,*,CON,[10]
8,?,*,*,0,unknown,*,INT,[10]
9,175.45.176.1,*,*,?,unknown,*,INT,[10]
10,175.45.176.2,*,*,?,unknown,*,FIN,[8.130146640381373]
11,59.166.0.0,*,*,?,unknown,*,FIN,[10]
12,59.166.0.0,*,*,?,unknown,*,CON,[10]
13,59.166.0.1,*,*,?,unknown,*,FIN,[10]
14,59.166.0.1,*,*,?,unknown,*,CON,[10]
15,59.166.0.2,*,*,?,unknown,*,CON,[10]
16,59.166.0.2,*,*,?,unknown,*,FIN,[10]
17,59.166.0.3,*,*,?,unknown,*,FIN,[10]
18,59.166.0.3,*,*,?,unknown,*,CON,[10]
19,59.166.0.4,*,*,?,unknown,*,FIN,[10]
20,59.166.0.4,*,*,?,unknown,*,CON,[10]
21,59.166.0.5,*,*,?,unknown,*,FIN,[10]
22,59.166.0.5,*,*,?,unknown,*,CON,[10]
23,59.166.0.6,*,*,?,unknown,*,CON,[10]
24,59.166.0.6,*,*,?,unknown,*,FIN,[10]
25,59.166.0.7,*,*,?,unknown,*,FIN,[10]
26,59.166.0.7,*,*,?,unknown,*,CON,[10]
27,59.166.0.8,*,*,?,unknown,*,FIN,[10]
28,59.166.0.8,*,*,?,unknown,*,CON,[10]
29,59.166.0.9,*,*,?,unknown,*,CON,[10]
30,59.166.0.9,*,*,?,unknown,*,FIN,[10]
