index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,*,*,0,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,*,*,0,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,*,*,0,unknown,arp,*,[8.696263565463042]
4,10.40.85.1,*,*,0,unknown,arp,*,[9.963282104370133]
5,10.40.85.1,*,*,0,unknown,ospf,*,[9.197795796483641]
6,10.40.85.10,*,*,52233,unknown,icmp,*,[10]
7,10.40.85.30,*,*,0,unknown,arp,*,[10]
8,?,*,*,?,?,?,*,[10]
9,175.45.176.1,*,*,?,unknown,tcp,*,[10]
10,59.166.0.0,*,*,?,unknown,tcp,*,[10]
11,59.166.0.0,*,*,?,unknown,udp,*,[10]
12,59.166.0.1,*,*,?,unknown,tcp,*,[10]
13,59.166.0.1,*,*,?,unknown,udp,*,[10]
14,59.166.0.2,*,*,?,unknown,udp,*,[10]
15,59.166.0.2,*,*,?,unknown,tcp,*,[10]
16,59.166.0.3,*,*,?,unknown,tcp,*,[10]
17,59.166.0.3,*,*,?,unknown,udp,*,[10]
18,59.166.0.4,*,*,?,unknown,tcp,*,[10]
19,59.166.0.4,*,*,?,unknown,udp,*,[10]
20,59.166.0.5,*,*,?,unknown,tcp,*,[10]
21,59.166.0.5,*,*,?,unknown,udp,*,[10]
22,59.166.0.6,*,*,?,unknown,udp,*,[10]
23,59.166.0.6,*,*,?,unknown,tcp,*,[10]
24,59.166.0.7,*,*,?,unknown,tcp,*,[10]
25,59.166.0.7,*,*,?,unknown,udp,*,[10]
26,59.166.0.8,*,*,?,unknown,tcp,*,[10]
27,59.166.0.8,*,*,?,unknown,udp,*,[10]
28,59.166.0.9,*,*,?,unknown,udp,*,[10]
29,59.166.0.9,*,*,?,unknown,tcp,*,[10]
