index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,0,*,arp,INT,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,0,*,arp,CON,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,0,*,ospf,REQ,[10]
3,10.40.182.3,10.40.182.3,*,0,*,arp,INT,[8.74573066576194]
4,10.40.85.1,10.40.85.30,*,0,*,arp,CON,[9.963282104370133]
5,10.40.85.1,224.0.0.5,*,0,*,ospf,REQ,[10]
6,10.40.85.10,192.168.241.50,*,52233,*,icmp,ECO,[10]
7,10.40.85.30,10.40.85.1,*,0,*,arp,CON,[10]
8,59.166.0.0,149.171.126.0,*,?,*,tcp,FIN,[9.376971589678007]
9,59.166.0.0,149.171.126.2,*,?,*,tcp,FIN,[10]
10,59.166.0.0,149.171.126.3,*,?,*,tcp,FIN,[10]
11,59.166.0.0,149.171.126.3,*,?,*,udp,CON,[10]
12,59.166.0.0,149.171.126.4,*,?,*,udp,CON,[10]
13,59.166.0.0,149.171.126.5,*,?,*,tcp,FIN,[9.34182806282157]
14,59.166.0.0,149.171.126.6,*,?,*,udp,CON,[10]
15,59.166.0.0,149.171.126.6,*,?,*,tcp,FIN,[9.55511498851865]
16,59.166.0.0,149.171.126.7,*,?,*,tcp,FIN,[10]
17,59.166.0.0,149.171.126.8,*,?,*,tcp,FIN,[10]
18,59.166.0.0,149.171.126.9,*,?,*,tcp,FIN,[9.830806866563094]
19,59.166.0.1,149.171.126.0,*,?,*,tcp,FIN,[10]
20,59.166.0.1,149.171.126.1,*,?,*,tcp,FIN,[10]
21,59.166.0.1,149.171.126.3,*,?,*,tcp,FIN,[10]
22,59.166.0.1,149.171.126.3,*,?,*,udp,CON,[10]
23,59.166.0.1,149.171.126.4,*,?,*,tcp,FIN,[10]
24,59.166.0.1,149.171.126.5,*,?,*,tcp,FIN,[9.258451683877267]
25,59.166.0.1,149.171.126.6,*,?,*,tcp,FIN,[10]
26,59.166.0.1,149.171.126.6,*,?,*,udp,CON,[10]
27,59.166.0.1,149.171.126.7,*,?,*,tcp,FIN,[9.273026227965447]
28,59.166.0.1,149.171.126.7,*,?,*,udp,CON,[10]
29,59.166.0.1,149.171.126.8,*,?,*,tcp,FIN,[8.188372836644593]
30,59.166.0.1,149.171.126.8,*,?,*,udp,CON,[10]
31,59.166.0.1,149.171.126.9,*,?,*,tcp,FIN,[10]
32,59.166.0.2,149.171.126.0,*,?,*,tcp,FIN,[9.268220323306075]
33,59.166.0.2,149.171.126.1,*,?,*,tcp,FIN,[9.44065211777021]
