index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,0,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,0,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,0,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,10.40.182.3,*,0,unknown,arp,*,[8.74573066576194]
4,10.40.85.1,10.40.85.30,*,0,unknown,arp,*,[9.963282104370133]
5,10.40.85.1,224.0.0.5,*,0,unknown,ospf,*,[9.197795796483641]
6,10.40.85.10,192.168.241.50,*,52233,unknown,icmp,*,[10]
7,10.40.85.30,10.40.85.1,*,0,unknown,arp,*,[10]
8,59.166.0.0,149.171.126.0,*,?,unknown,tcp,*,[9.376971589678007]
9,59.166.0.0,149.171.126.2,*,?,unknown,tcp,*,[10]
10,59.166.0.0,149.171.126.3,*,?,unknown,tcp,*,[10]
11,59.166.0.0,149.171.126.3,*,?,unknown,udp,*,[10]
12,59.166.0.0,149.171.126.4,*,?,unknown,udp,*,[10]
13,59.166.0.0,149.171.126.5,*,?,unknown,tcp,*,[9.351918664502676]
14,59.166.0.0,149.171.126.6,*,?,unknown,udp,*,[10]
15,59.166.0.0,149.171.126.6,*,?,unknown,tcp,*,[9.49298731972329]
16,59.166.0.0,149.171.126.7,*,?,unknown,tcp,*,[10]
17,59.166.0.0,149.171.126.8,*,?,unknown,tcp,*,[10]
18,59.166.0.0,149.171.126.9,*,?,unknown,tcp,*,[9.830806866563094]
19,59.166.0.1,149.171.126.0,*,?,unknown,tcp,*,[10]
20,59.166.0.1,149.171.126.1,*,?,unknown,tcp,*,[10]
21,59.166.0.1,149.171.126.3,*,?,unknown,tcp,*,[10]
22,59.166.0.1,149.171.126.3,*,?,unknown,udp,*,[10]
23,59.166.0.1,149.171.126.4,*,?,unknown,tcp,*,[10]
24,59.166.0.1,149.171.126.5,*,?,unknown,tcp,*,[9.258451683877267]
25,59.166.0.1,149.171.126.6,*,?,unknown,tcp,*,[10]
