index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,*,*,CON,"[7422, 7190, 8313, 7821, 7714, 8508, 8345, 7575, 7741, 7563, 7846, 7817, 7360, 6095, 8126, 7244, 7672, 7947]"
1,*,*,*,*,*,*,ECO,"[9, 10, 8, 7, 8, 9, 10, 10, 8, 7, 8, 9, 10, 7, 8, 7, 9, 13]"
2,*,*,*,*,*,*,ECR,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
3,*,*,*,*,*,*,FIN,"[19710, 20787, 19319, 19273, 19363, 22626, 19185, 17950, 19358, 20437, 20212, 19137, 22527, 17340, 20054, 18511, 19657, 18837]"
4,*,*,*,*,*,*,INT,"[6818, 2389, 656, 356, 9475, 18894, 9043, 8470, 679, 339, 9727, 16012, 9998, 6253, 680, 340, 9889, 12802]"
5,*,*,*,*,*,*,PAR,"[2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1]"
6,*,*,*,*,*,*,REQ,"[356, 38, 48, 40, 91, 78, 389, 40, 46, 38, 93, 84, 418, 30, 38, 40, 65, 66]"
7,*,*,*,*,*,*,TST,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
8,*,*,*,*,*,*,RST,"[0, 58, 10, 1, 0, 1, 0, 62, 10, 1, 0, 1, 0, 66, 10, 1, 2, 1]"
9,*,*,*,*,*,*,TXD,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
10,*,*,*,*,*,*,URN,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
11,*,*,*,*,*,*,no,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
12,*,*,*,*,*,*,ACC,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
13,*,*,*,*,*,*,MAS,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
