index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,dns,udp,CON,"[5017, 4964, 5424, 5302, 5283, 5679, 5650, 5156, 5335, 5238, 5353, 4973, 5139, 4319, 5441, 4913, 5281, 4968]"
1,*,*,*,*,dns,udp,INT,"[6606, 2160, 25, 3, 9204, 18650, 8820, 8257, 24, 3, 9451, 15771, 9768, 6048, 24, 3, 9618, 12545]"
2,*,*,*,*,ftp,tcp,FIN,"[624, 517, 704, 589, 716, 652, 676, 579, 752, 650, 720, 569, 518, 475, 727, 631, 692, 588]"
3,*,*,*,*,ftp,tcp,CON,"[0, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]"
4,*,*,*,*,http,tcp,CON,"[2, 2, 9, 5, 5, 4, 8, 0, 5, 7, 2, 0, 6, 1, 5, 0, 1, 3]"
5,*,*,*,*,http,tcp,FIN,"[3113, 2685, 2776, 2714, 2658, 3161, 3426, 2755, 2693, 2806, 2768, 2641, 3397, 2505, 2871, 2424, 2745, 2565]"
6,*,*,*,*,http,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
7,*,*,*,*,smtp,tcp,FIN,"[1062, 1035, 1240, 1176, 1205, 1110, 1258, 1145, 1185, 1087, 1167, 1097, 1049, 807, 1159, 1100, 1164, 1109]"
8,*,*,*,*,smtp,tcp,CON,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,*,*,*,ssh,tcp,FIN,"[813, 896, 520, 701, 486, 416, 414, 605, 695, 1162, 872, 778, 313, 187, 441, 644, 713, 858]"
10,*,*,*,*,ssh,tcp,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0]"
11,*,*,*,*,ssh,tcp,CON,"[0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0]"
12,*,*,*,*,unknown,arp,CON,"[61, 58, 58, 60, 57, 59, 57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76]"
13,*,*,*,*,unknown,arp,INT,"[36, 41, 37, 38, 41, 37, 38, 41, 41, 40, 39, 39, 38, 29, 41, 38, 41, 54]"
14,*,*,*,*,unknown,icmp,ECO,"[9, 10, 8, 7, 8, 9, 10, 10, 8, 7, 8, 9, 10, 7, 8, 7, 9, 13]"
15,*,*,*,*,unknown,icmp,ECR,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
16,*,*,*,*,unknown,icmp,PAR,"[2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1]"
17,*,*,*,*,unknown,icmp,TST,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
18,*,*,*,*,unknown,icmp,TXD,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
19,*,*,*,*,unknown,icmp,URN,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
20,*,*,*,*,unknown,icmp,no,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
21,*,*,*,*,unknown,icmp,MAS,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
22,*,*,*,*,unknown,igmp,INT,"[3, 0, 3, 1, 1, 0, 3, 0, 3, 1, 1, 0, 3, 0, 3, 1, 1, 0]"
23,*,*,*,*,unknown,ospf,INT,"[2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4]"
24,*,*,*,*,unknown,ospf,REQ,"[40, 38, 40, 40, 38, 38, 40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52]"
25,*,*,*,*,unknown,tcp,CON,"[24, 25, 297, 23, 21, 419, 23, 0, 23, 9, 3, 451, 13, 0, 203, 1, 8, 570]"
26,*,*,*,*,unknown,tcp,FIN,"[14098, 15654, 14079, 14093, 14298, 17287, 13411, 12866, 14033, 14732, 14685, 14052, 17250, 13366, 14856, 13712, 14343, 13717]"
27,*,*,*,*,unknown,tcp,REQ,"[316, 0, 0, 0, 1, 0, 349, 0, 1, 0, 1, 0, 376, 0, 0, 0, 1, 0]"
28,*,*,*,*,unknown,tcp,RST,"[0, 58, 0, 1, 0, 1, 0, 60, 0, 1, 0, 1, 0, 65, 0, 1, 2, 1]"
29,*,*,*,*,unknown,tcp,ACC,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
30,*,*,*,*,unknown,udp,CON,"[2318, 2141, 2525, 2424, 2340, 2347, 2607, 2361, 2316, 2250, 2432, 2333, 2144, 1730, 2413, 2272, 2319, 2330]"
31,*,*,*,*,unknown,udp,INT,"[171, 186, 590, 311, 227, 205, 180, 172, 608, 292, 234, 202, 187, 173, 608, 297, 227, 199]"
32,*,*,*,*,unknown,udp,REQ,"[0, 0, 8, 0, 52, 40, 0, 0, 5, 0, 52, 44, 2, 0, 0, 0, 26, 14]"
33,*,*,*,*,unknown,rtp,INT,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
34,*,*,*,*,radius,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
