index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,0,*,arp,CON,"[61, 58, 58, 60, 57, 59, 57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76]"
1,*,*,*,0,*,arp,INT,"[36, 41, 37, 38, 41, 37, 38, 41, 41, 40, 39, 39, 38, 29, 41, 38, 41, 54]"
2,*,*,*,0,*,icmp,PAR,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
3,*,*,*,0,*,icmp,TST,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]"
4,*,*,*,0,*,icmp,TXD,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
5,*,*,*,0,*,icmp,URN,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
6,*,*,*,0,*,icmp,no,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
7,*,*,*,0,*,icmp,MAS,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
8,*,*,*,0,*,igmp,INT,"[3, 0, 3, 1, 1, 0, 3, 0, 3, 1, 1, 0, 3, 0, 3, 1, 1, 0]"
9,*,*,*,0,*,ospf,INT,"[2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4]"
10,*,*,*,0,*,ospf,REQ,"[40, 38, 40, 40, 38, 38, 40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52]"
11,*,*,*,10050,*,tcp,FIN,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
12,*,*,*,10050,*,udp,CON,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,*,*,*,10096,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
14,*,*,*,10104,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
15,*,*,*,10114,*,tcp,FIN,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
16,*,*,*,10114,*,udp,CON,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
17,*,*,*,10130,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,*,*,*,10158,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
19,*,*,*,10192,*,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,*,*,*,10205,*,tcp,FIN,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,*,*,*,10205,*,udp,CON,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,*,*,*,10216,*,tcp,REQ,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,*,*,*,10216,*,udp,CON,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,*,*,*,1028,*,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,*,*,*,1028,*,udp,CON,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,*,*,*,10395,*,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,*,*,*,10418,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,*,*,*,10436,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
29,*,*,*,10459,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
