index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,10.40.170.2,0,*,unknown,*,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,*,10.40.182.255,138,*,unknown,*,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
2,*,10.40.182.3,0,*,unknown,*,CON,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
3,*,10.40.182.3,0,*,unknown,*,INT,"[18, 20, 19, 19, 20, 19, 19, 20, 21, 20, 19, 20, 19, 14, 21, 19, 20, 28]"
4,*,10.40.198.10,46811,*,dns,*,INT,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
5,*,10.40.85.1,0,*,unknown,*,CON,"[27, 27, 28, 27, 26, 28, 26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35]"
6,*,10.40.85.30,0,*,unknown,*,CON,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,*,149.171.126.0,10440,*,ssh,*,FIN,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,*,149.171.126.0,10440,*,unknown,*,FIN,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,149.171.126.0,10725,*,dns,*,CON,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,*,149.171.126.0,10725,*,unknown,*,FIN,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,*,149.171.126.0,1082,*,unknown,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,*,149.171.126.0,10947,*,dns,*,CON,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,*,149.171.126.0,10947,*,http,*,FIN,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
