index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,*,arp,*,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,*,*,*,arp,*,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,*,*,*,*,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
3,10.40.182.3,*,*,*,*,arp,*,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
4,10.40.182.6,*,*,*,*,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
5,10.40.182.6,*,*,*,*,arp,*,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2]"
6,10.40.85.1,*,*,*,*,arp,*,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,10.40.85.1,*,*,*,*,icmp,*,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]"
8,10.40.85.1,*,*,*,*,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
9,10.40.85.10,*,*,*,*,arp,*,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
10,10.40.85.10,*,*,*,*,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
11,10.40.85.10,*,*,*,*,udp,*,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
12,10.40.85.10,*,*,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
13,10.40.85.30,*,*,*,*,arp,*,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
14,149.171.126.10,*,*,*,*,tcp,*,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,149.171.126.10,*,*,*,*,rtp,*,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,149.171.126.10,*,*,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.10,*,*,*,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
18,149.171.126.14,*,*,*,*,icmp,*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.14,*,*,*,*,tcp,*,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.14,*,*,*,*,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 9451, 15750, 9763, 6048, 0, 3, 30, 14]"
21,149.171.126.14,*,*,*,*,rtp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
22,149.171.126.15,*,*,*,*,tcp,*,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
23,149.171.126.15,*,*,*,*,udp,*,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,149.171.126.17,*,*,*,*,tcp,*,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
25,149.171.126.17,*,*,*,*,udp,*,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,149.171.126.18,*,*,*,*,udp,*,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
27,149.171.126.18,*,*,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
28,149.171.126.18,*,*,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
29,149.171.126.3,*,*,*,*,tcp,*,"[1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,149.171.126.9,*,*,*,*,tcp,*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.0,*,*,*,*,icmp,*,"[2, 0, 1, 0, 3, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 2, 1]"
32,175.45.176.0,*,*,*,*,tcp,*,"[248, 83, 966, 75, 62, 446, 94, 86, 154, 153, 135, 13, 17, 102, 431, 43, 119, 0]"
33,175.45.176.0,*,*,*,*,udp,*,"[26, 34, 0, 2, 20, 0, 30, 1, 445, 34, 48, 0, 32, 2, 235, 0, 17, 18]"
34,175.45.176.0,*,*,*,*,igmp,*,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
35,175.45.176.1,*,*,*,*,tcp,*,"[60, 22, 128, 7, 370, 2, 13, 218, 216, 42, 345, 74, 260, 81, 18, 92, 255, 290]"
36,175.45.176.1,*,*,*,*,udp,*,"[33, 18, 220, 250, 12, 33, 30, 33, 0, 0, 36, 33, 97, 33, 1, 203, 21, 0]"
37,175.45.176.1,*,*,*,*,icmp,*,"[0, 1, 1, 0, 0, 2, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0]"
38,175.45.176.1,*,*,*,*,igmp,*,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 2, 0, 0, 0]"
39,175.45.176.2,*,*,*,*,icmp,*,"[1, 1, 0, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0]"
40,175.45.176.2,*,*,*,*,tcp,*,"[315, 8, 39, 111, 117, 271, 490, 119, 59, 6, 73, 367, 423, 69, 618, 1, 346, 555]"
41,175.45.176.2,*,*,*,*,udp,*,"[22, 13, 258, 0, 18, 19, 60, 0, 48, 197, 23, 2, 0, 0, 0, 33, 17, 32]"
42,175.45.176.2,*,*,*,*,igmp,*,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
43,175.45.176.3,*,*,*,*,icmp,*,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 6]"
44,175.45.176.3,*,*,*,*,igmp,*,"[3, 0, 2, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
45,175.45.176.3,*,*,*,*,tcp,*,"[659, 241, 225, 2, 288, 100, 674, 77, 528, 1, 416, 499, 676, 83, 64, 34, 72, 49]"
46,175.45.176.3,*,*,*,*,udp,*,"[31, 0, 0, 0, 50, 33, 0, 17, 0, 2, 0, 48, 0, 17, 253, 1, 49, 29]"
47,59.166.0.0,*,*,*,*,tcp,*,"[1879, 2103, 1725, 1939, 1935, 1961, 1916, 1682, 1971, 1971, 1990, 1871, 2265, 1804, 1849, 1961, 1907, 1830]"
48,59.166.0.0,*,*,*,*,udp,*,"[729, 715, 789, 803, 760, 730, 869, 725, 814, 747, 826, 751, 794, 609, 803, 746, 742, 740]"
49,59.166.0.1,*,*,*,*,tcp,*,"[1976, 2129, 1898, 1960, 1892, 2185, 1761, 1897, 1821, 2222, 1994, 1889, 2103, 1713, 1996, 1855, 1925, 1921]"
50,59.166.0.1,*,*,*,*,udp,*,"[720, 743, 787, 791, 796, 804, 877, 779, 764, 790, 793, 746, 719, 598, 807, 759, 766, 739]"
51,59.166.0.2,*,*,*,*,tcp,*,"[1945, 2052, 1797, 2003, 1876, 2284, 1876, 1731, 1861, 2020, 1977, 1803, 2134, 1781, 1951, 1884, 1988, 1998]"
52,59.166.0.2,*,*,*,*,udp,*,"[775, 750, 782, 796, 737, 785, 841, 748, 749, 766, 802, 672, 682, 596, 793, 716, 830, 752]"
53,59.166.0.3,*,*,*,*,tcp,*,"[1861, 2064, 1932, 1872, 1914, 2293, 1796, 1809, 1882, 2034, 1913, 1983, 2173, 1604, 1924, 1759, 1998, 1831]"
54,59.166.0.3,*,*,*,*,udp,*,"[746, 739, 844, 794, 763, 845, 759, 771, 791, 739, 777, 795, 754, 556, 818, 724, 792, 766]"
55,59.166.0.4,*,*,*,*,tcp,*,"[1926, 2115, 1927, 1942, 1904, 2255, 1915, 1852, 1928, 2105, 1949, 1980, 2191, 1629, 2005, 1904, 1883, 1967]"
56,59.166.0.4,*,*,*,*,udp,*,"[763, 771, 810, 807, 817, 847, 864, 796, 797, 778, 737, 736, 753, 573, 839, 725, 765, 737]"
57,59.166.0.5,*,*,*,*,tcp,*,"[1876, 2243, 1789, 1990, 1926, 2571, 1802, 1783, 1812, 2099, 1915, 1772, 2226, 1782, 2037, 1857, 1857, 1778]"
58,59.166.0.5,*,*,*,*,udp,*,"[716, 736, 785, 793, 817, 891, 808, 766, 745, 768, 791, 690, 792, 681, 806, 722, 740, 670]"
59,59.166.0.6,*,*,*,*,tcp,*,"[1855, 1862, 1824, 1810, 1753, 2302, 1902, 1699, 1719, 1849, 1894, 1787, 2135, 1654, 1866, 1744, 1819, 1720]"
60,59.166.0.6,*,*,*,*,udp,*,"[731, 633, 825, 748, 718, 812, 833, 769, 726, 708, 725, 699, 688, 615, 731, 674, 727, 723]"
61,59.166.0.7,*,*,*,*,tcp,*,"[1830, 2041, 1743, 1835, 1726, 2243, 1700, 1675, 1844, 1973, 1805, 1856, 2066, 1680, 1835, 1801, 1887, 1857]"
62,59.166.0.7,*,*,*,*,udp,*,"[720, 637, 757, 709, 733, 836, 787, 720, 774, 740, 737, 720, 663, 610, 772, 699, 744, 716]"
63,59.166.0.8,*,*,*,*,tcp,*,"[1674, 1910, 1694, 1782, 1756, 2051, 1838, 1672, 1844, 1962, 1874, 1811, 2172, 1670, 1788, 1792, 1761, 1800]"
64,59.166.0.8,*,*,*,*,udp,*,"[676, 717, 730, 698, 720, 753, 829, 753, 745, 686, 798, 744, 734, 599, 708, 695, 735, 700]"
65,59.166.0.9,*,*,*,*,tcp,*,"[1940, 1996, 1948, 1980, 1877, 2082, 1778, 1712, 1756, 2018, 1937, 1885, 2072, 1750, 1891, 1786, 1853, 1809]"
66,59.166.0.9,*,*,*,*,udp,*,"[759, 664, 840, 785, 761, 723, 790, 690, 746, 764, 797, 753, 704, 612, 777, 724, 758, 755]"
