index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,*,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,*,*,unknown,*,CON,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,*,*,*,unknown,*,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
3,10.40.182.1,*,*,*,unknown,*,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
4,10.40.182.3,*,*,*,unknown,*,INT,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
5,10.40.182.6,*,*,*,unknown,*,INT,"[60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 122]"
6,10.40.85.1,*,*,*,unknown,*,CON,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,10.40.85.1,*,*,*,unknown,*,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
8,10.40.85.1,*,*,*,unknown,*,PAR,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
9,10.40.85.1,*,*,*,unknown,*,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
10,10.40.85.1,*,*,*,unknown,*,TXD,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
11,10.40.85.10,*,*,*,dns,*,INT,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
12,10.40.85.10,*,*,*,unknown,*,CON,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
13,10.40.85.10,*,*,*,unknown,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
14,10.40.85.10,*,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
15,10.40.85.30,*,*,*,unknown,*,CON,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
16,149.171.126.10,*,*,*,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
17,149.171.126.14,*,*,*,http,*,FIN,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.14,*,*,*,unknown,*,ECR,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.14,*,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.14,*,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0]"
21,149.171.126.14,*,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14]"
22,149.171.126.14,*,*,*,dns,*,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 9451, 15750, 9763, 6048, 0, 3, 0, 0]"
23,149.171.126.15,*,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,149.171.126.15,*,*,*,dns,*,INT,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,149.171.126.17,*,*,*,unknown,*,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
26,149.171.126.18,*,*,*,dns,*,INT,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,149.171.126.18,*,*,*,unknown,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
28,149.171.126.18,*,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
29,149.171.126.3,*,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,175.45.176.0,*,*,*,unknown,*,FIN,"[247, 76, 669, 75, 0, 14, 94, 83, 134, 152, 125, 13, 16, 100, 233, 42, 102, 0]"
31,175.45.176.0,*,*,*,unknown,*,INT,"[26, 34, 1, 1, 20, 0, 30, 1, 440, 33, 49, 0, 32, 1, 235, 0, 17, 18]"
32,175.45.176.0,*,*,*,unknown,*,PAR,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,175.45.176.0,*,*,*,unknown,*,REQ,"[1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
34,175.45.176.0,*,*,*,unknown,*,TST,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
35,175.45.176.0,*,*,*,unknown,*,CON,"[0, 0, 297, 1, 0, 408, 0, 0, 0, 2, 0, 0, 1, 0, 187, 0, 0, 0]"
36,175.45.176.0,*,*,*,unknown,*,ECO,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1]"
37,175.45.176.0,*,*,*,unknown,*,MAS,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,175.45.176.0,*,*,*,unknown,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
39,175.45.176.0,*,*,*,http,*,FIN,"[0, 7, 0, 0, 0, 24, 0, 3, 20, 0, 0, 0, 0, 1, 11, 1, 7, 0]"
40,175.45.176.0,*,*,*,ftp,*,FIN,"[0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0]"
41,175.45.176.0,*,*,*,radius,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
42,175.45.176.1,*,*,*,unknown,*,FIN,"[60, 21, 57, 6, 369, 0, 13, 211, 210, 42, 318, 73, 260, 81, 7, 91, 252, 289]"
43,175.45.176.1,*,*,*,unknown,*,INT,"[33, 18, 214, 250, 13, 33, 30, 33, 0, 1, 35, 33, 98, 33, 2, 203, 20, 0]"
44,175.45.176.1,*,*,*,unknown,*,ECO,"[0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
45,175.45.176.1,*,*,*,unknown,*,RST,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0]"
46,175.45.176.1,*,*,*,unknown,*,REQ,"[0, 0, 6, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
47,175.45.176.1,*,*,*,unknown,*,CON,"[0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
48,175.45.176.1,*,*,*,unknown,*,URN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
49,175.45.176.1,*,*,*,unknown,*,no,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
50,175.45.176.1,*,*,*,unknown,*,ACC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
51,175.45.176.1,*,*,*,ftp,*,FIN,"[0, 0, 70, 0, 0, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1]"
52,175.45.176.1,*,*,*,http,*,FIN,"[0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
53,175.45.176.1,*,*,*,radius,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
54,175.45.176.1,*,*,*,ssh,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0]"
55,175.45.176.2,*,*,*,dns,*,INT,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
56,175.45.176.2,*,*,*,unknown,*,CON,"[1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 533]"
57,175.45.176.2,*,*,*,unknown,*,ECO,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
58,175.45.176.2,*,*,*,unknown,*,INT,"[21, 13, 256, 1, 18, 19, 60, 0, 49, 197, 23, 1, 0, 0, 0, 33, 18, 32]"
59,175.45.176.2,*,*,*,unknown,*,REQ,"[314, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0]"
60,175.45.176.2,*,*,*,unknown,*,FIN,"[0, 7, 22, 109, 108, 271, 1, 40, 25, 6, 65, 366, 51, 62, 545, 0, 285, 21]"
61,175.45.176.2,*,*,*,unknown,*,URN,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
62,175.45.176.2,*,*,*,unknown,*,no,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
63,175.45.176.2,*,*,*,unknown,*,TST,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,175.45.176.2,*,*,*,unknown,*,MAS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
65,175.45.176.2,*,*,*,unknown,*,ACC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
66,175.45.176.2,*,*,*,unknown,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
67,175.45.176.2,*,*,*,ftp,*,FIN,"[0, 1, 0, 0, 9, 0, 0, 2, 34, 0, 0, 0, 0, 1, 71, 0, 61, 0]"
68,175.45.176.2,*,*,*,http,*,FIN,"[0, 0, 17, 2, 0, 0, 486, 77, 0, 0, 8, 0, 0, 6, 0, 0, 0, 0]"
69,175.45.176.2,*,*,*,http,*,CON,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,175.45.176.3,*,*,*,http,*,CON,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,175.45.176.3,*,*,*,http,*,FIN,"[571, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 13, 528, 0, 0, 1, 0, 18]"
72,175.45.176.3,*,*,*,http,*,RST,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,175.45.176.3,*,*,*,unknown,*,CON,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 451, 1, 0, 0, 0, 0, 0]"
74,175.45.176.3,*,*,*,unknown,*,ECO,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 4]"
75,175.45.176.3,*,*,*,unknown,*,FIN,"[86, 184, 215, 1, 281, 100, 326, 14, 482, 0, 381, 34, 147, 25, 64, 33, 72, 31]"
76,175.45.176.3,*,*,*,unknown,*,INT,"[34, 0, 2, 0, 49, 33, 3, 17, 2, 2, 0, 48, 0, 17, 254, 2, 49, 29]"
77,175.45.176.3,*,*,*,unknown,*,RST,"[0, 57, 0, 1, 0, 0, 0, 60, 0, 1, 0, 0, 0, 57, 0, 0, 0, 0]"
78,175.45.176.3,*,*,*,unknown,*,ACC,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,175.45.176.3,*,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,175.45.176.3,*,*,*,unknown,*,PAR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
81,175.45.176.3,*,*,*,unknown,*,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
82,175.45.176.3,*,*,*,ssh,*,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,175.45.176.3,*,*,*,ftp,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 35, 1, 0, 1, 0, 0, 0, 0]"
84,59.166.0.0,*,*,*,dns,*,CON,"[454, 505, 557, 531, 532, 507, 604, 470, 564, 525, 587, 503, 544, 454, 572, 518, 519, 467]"
85,59.166.0.0,*,*,*,ftp,*,FIN,"[54, 50, 57, 48, 65, 51, 79, 54, 77, 62, 76, 62, 46, 54, 65, 71, 69, 62]"
86,59.166.0.0,*,*,*,http,*,FIN,"[231, 279, 286, 280, 273, 273, 311, 260, 279, 283, 303, 266, 316, 275, 285, 267, 268, 227]"
87,59.166.0.0,*,*,*,http,*,CON,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
88,59.166.0.0,*,*,*,smtp,*,FIN,"[101, 108, 126, 124, 112, 101, 131, 93, 129, 110, 119, 113, 108, 77, 134, 103, 116, 99]"
89,59.166.0.0,*,*,*,ssh,*,FIN,"[88, 95, 47, 62, 59, 45, 49, 68, 81, 109, 87, 86, 43, 23, 52, 64, 83, 84]"
90,59.166.0.0,*,*,*,unknown,*,CON,"[282, 218, 232, 273, 229, 224, 271, 255, 251, 223, 239, 248, 251, 155, 231, 228, 223, 285]"
91,59.166.0.0,*,*,*,unknown,*,FIN,"[1398, 1562, 1209, 1423, 1424, 1489, 1339, 1207, 1403, 1405, 1405, 1344, 1750, 1375, 1313, 1456, 1371, 1345]"
92,59.166.0.1,*,*,*,dns,*,CON,"[514, 530, 559, 557, 547, 582, 613, 535, 555, 532, 557, 522, 489, 439, 541, 506, 535, 512]"
93,59.166.0.1,*,*,*,ftp,*,FIN,"[77, 46, 79, 56, 68, 53, 60, 55, 64, 69, 72, 56, 58, 42, 67, 65, 66, 63]"
94,59.166.0.1,*,*,*,http,*,CON,"[1, 0, 2, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
95,59.166.0.1,*,*,*,http,*,FIN,"[254, 304, 266, 284, 284, 327, 325, 274, 262, 267, 285, 271, 266, 244, 278, 255, 279, 256]"
