index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,arp,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,*,*,unknown,arp,CON,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,*,*,*,unknown,ospf,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
3,10.40.182.1,*,*,*,unknown,ospf,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
4,10.40.182.3,*,*,*,unknown,arp,INT,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
5,10.40.182.6,*,*,*,unknown,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
6,10.40.182.6,*,*,*,unknown,arp,INT,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2]"
7,10.40.85.1,*,*,*,unknown,arp,CON,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
8,10.40.85.1,*,*,*,unknown,icmp,PAR,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
9,10.40.85.1,*,*,*,unknown,icmp,TXD,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
10,10.40.85.1,*,*,*,unknown,ospf,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
11,10.40.85.1,*,*,*,unknown,ospf,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
12,10.40.85.10,*,*,*,dns,udp,INT,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
13,10.40.85.10,*,*,*,unknown,arp,CON,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
14,10.40.85.10,*,*,*,unknown,icmp,ECO,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
15,10.40.85.10,*,*,*,unknown,tcp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
16,10.40.85.30,*,*,*,unknown,arp,CON,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
17,149.171.126.10,*,*,*,dns,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
18,149.171.126.14,*,*,*,unknown,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]"
19,149.171.126.14,*,*,*,unknown,udp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14]"
20,149.171.126.14,*,*,*,dns,udp,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 9451, 15750, 9763, 6048, 0, 3, 0, 0]"
21,149.171.126.15,*,*,*,dns,udp,INT,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,149.171.126.17,*,*,*,unknown,tcp,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
23,149.171.126.18,*,*,*,dns,udp,INT,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,149.171.126.18,*,*,*,unknown,icmp,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
25,149.171.126.18,*,*,*,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
26,149.171.126.3,*,*,*,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,175.45.176.0,*,*,*,unknown,icmp,PAR,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,175.45.176.0,*,*,*,unknown,icmp,TST,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
29,175.45.176.0,*,*,*,unknown,icmp,ECO,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1]"
30,175.45.176.0,*,*,*,unknown,icmp,MAS,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.0,*,*,*,unknown,tcp,FIN,"[247, 76, 669, 75, 0, 14, 94, 83, 134, 152, 125, 13, 16, 100, 233, 42, 102, 0]"
32,175.45.176.0,*,*,*,unknown,tcp,REQ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
33,175.45.176.0,*,*,*,unknown,tcp,CON,"[0, 0, 297, 0, 0, 408, 0, 0, 0, 1, 0, 0, 1, 0, 187, 0, 0, 0]"
34,175.45.176.0,*,*,*,unknown,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
35,175.45.176.0,*,*,*,unknown,udp,INT,"[26, 34, 0, 1, 20, 0, 30, 1, 440, 33, 48, 0, 32, 1, 235, 0, 17, 18]"
36,175.45.176.0,*,*,*,unknown,udp,CON,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
37,175.45.176.0,*,*,*,unknown,udp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,175.45.176.0,*,*,*,unknown,igmp,INT,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
39,175.45.176.0,*,*,*,http,tcp,FIN,"[0, 7, 0, 0, 0, 24, 0, 3, 20, 0, 0, 0, 0, 0, 11, 0, 7, 0]"
40,175.45.176.0,*,*,*,ftp,tcp,FIN,"[0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0]"
41,175.45.176.1,*,*,*,unknown,tcp,FIN,"[60, 21, 57, 6, 369, 0, 13, 211, 210, 42, 318, 73, 260, 81, 7, 91, 252, 289]"
42,175.45.176.1,*,*,*,unknown,tcp,RST,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0]"
43,175.45.176.1,*,*,*,unknown,tcp,CON,"[0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,175.45.176.1,*,*,*,unknown,tcp,REQ,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,175.45.176.1,*,*,*,unknown,tcp,ACC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
46,175.45.176.1,*,*,*,unknown,udp,INT,"[33, 18, 214, 250, 12, 33, 30, 33, 0, 0, 35, 33, 95, 33, 0, 203, 20, 0]"
