index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,arp,*,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,*,*,unknown,arp,*,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,*,*,*,unknown,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
3,10.40.182.3,*,*,*,unknown,arp,*,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
4,10.40.182.6,*,*,*,unknown,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
5,10.40.182.6,*,*,*,unknown,arp,*,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2]"
6,10.40.85.1,*,*,*,unknown,arp,*,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,10.40.85.1,*,*,*,unknown,icmp,*,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]"
8,10.40.85.1,*,*,*,unknown,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
9,10.40.85.10,*,*,*,dns,udp,*,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
10,10.40.85.10,*,*,*,unknown,arp,*,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
11,10.40.85.10,*,*,*,unknown,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
12,10.40.85.10,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
13,10.40.85.30,*,*,*,unknown,arp,*,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
14,149.171.126.10,*,*,*,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
15,149.171.126.14,*,*,*,http,tcp,*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,149.171.126.14,*,*,*,unknown,icmp,*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.14,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.14,*,*,*,unknown,rtp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
19,149.171.126.14,*,*,*,unknown,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14]"
20,149.171.126.14,*,*,*,dns,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 9451, 15750, 9763, 6048, 0, 3, 0, 0]"
21,149.171.126.15,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,149.171.126.15,*,*,*,dns,udp,*,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,149.171.126.17,*,*,*,unknown,tcp,*,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
24,149.171.126.18,*,*,*,dns,udp,*,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,149.171.126.18,*,*,*,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
26,149.171.126.18,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
27,149.171.126.3,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,175.45.176.0,*,*,*,unknown,icmp,*,"[2, 0, 1, 0, 3, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 2, 1]"
29,175.45.176.0,*,*,*,unknown,tcp,*,"[248, 76, 966, 75, 0, 422, 94, 83, 134, 153, 126, 13, 17, 101, 420, 42, 103, 0]"
30,175.45.176.0,*,*,*,unknown,udp,*,"[26, 34, 0, 2, 20, 0, 30, 1, 445, 34, 48, 0, 32, 1, 235, 0, 17, 18]"
31,175.45.176.0,*,*,*,unknown,igmp,*,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
32,175.45.176.0,*,*,*,http,tcp,*,"[0, 7, 0, 0, 0, 24, 0, 3, 20, 0, 0, 0, 0, 1, 11, 1, 7, 0]"
33,175.45.176.0,*,*,*,ftp,tcp,*,"[0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0]"
34,175.45.176.0,*,*,*,radius,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
35,175.45.176.1,*,*,*,unknown,tcp,*,"[60, 22, 57, 7, 370, 1, 13, 211, 216, 42, 318, 74, 260, 81, 7, 92, 255, 289]"
36,175.45.176.1,*,*,*,unknown,udp,*,"[33, 18, 220, 250, 12, 33, 30, 33, 0, 0, 36, 33, 97, 33, 0, 203, 21, 0]"
37,175.45.176.1,*,*,*,unknown,icmp,*,"[0, 1, 1, 0, 0, 2, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0]"
38,175.45.176.1,*,*,*,unknown,igmp,*,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 2, 0, 0, 0]"
39,175.45.176.1,*,*,*,ftp,tcp,*,"[0, 0, 70, 0, 0, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1]"
40,175.45.176.1,*,*,*,http,tcp,*,"[0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
41,175.45.176.1,*,*,*,radius,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
42,175.45.176.1,*,*,*,ssh,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0]"
43,175.45.176.2,*,*,*,dns,udp,*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
44,175.45.176.2,*,*,*,unknown,icmp,*,"[1, 1, 0, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0]"
45,175.45.176.2,*,*,*,unknown,tcp,*,"[315, 7, 22, 109, 108, 271, 3, 40, 25, 6, 65, 367, 423, 62, 547, 1, 285, 555]"
46,175.45.176.2,*,*,*,unknown,udp,*,"[21, 13, 258, 0, 18, 19, 60, 0, 48, 197, 23, 1, 0, 0, 0, 33, 17, 32]"
47,175.45.176.2,*,*,*,unknown,igmp,*,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
48,175.45.176.2,*,*,*,ftp,tcp,*,"[0, 1, 0, 0, 9, 0, 0, 2, 34, 0, 0, 0, 0, 1, 71, 0, 61, 0]"
49,175.45.176.2,*,*,*,http,tcp,*,"[0, 0, 17, 2, 0, 0, 487, 77, 0, 0, 8, 0, 0, 6, 0, 0, 0, 0]"
50,175.45.176.3,*,*,*,http,tcp,*,"[572, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 13, 528, 0, 0, 1, 0, 18]"
51,175.45.176.3,*,*,*,unknown,icmp,*,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 6]"
52,175.45.176.3,*,*,*,unknown,igmp,*,"[3, 0, 2, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
53,175.45.176.3,*,*,*,unknown,tcp,*,"[87, 241, 215, 2, 282, 100, 674, 74, 482, 1, 381, 485, 148, 82, 64, 33, 72, 31]"
54,175.45.176.3,*,*,*,unknown,udp,*,"[31, 0, 0, 0, 50, 33, 0, 17, 0, 2, 0, 48, 0, 17, 253, 1, 49, 29]"
55,175.45.176.3,*,*,*,ssh,tcp,*,"[0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,175.45.176.3,*,*,*,ftp,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 35, 1, 0, 1, 0, 0, 0, 0]"
57,59.166.0.0,*,*,*,dns,udp,*,"[454, 505, 557, 531, 532, 507, 604, 470, 564, 525, 587, 503, 544, 454, 572, 518, 519, 467]"
58,59.166.0.0,*,*,*,ftp,tcp,*,"[54, 50, 57, 48, 65, 51, 79, 54, 77, 62, 76, 62, 46, 54, 65, 71, 69, 62]"
59,59.166.0.0,*,*,*,http,tcp,*,"[231, 280, 286, 281, 274, 274, 312, 260, 280, 284, 303, 266, 317, 275, 285, 267, 268, 228]"
60,59.166.0.0,*,*,*,smtp,tcp,*,"[101, 108, 126, 124, 112, 101, 131, 93, 129, 110, 119, 113, 108, 77, 134, 103, 116, 99]"
61,59.166.0.0,*,*,*,ssh,tcp,*,"[88, 95, 47, 62, 59, 45, 49, 68, 81, 109, 87, 86, 43, 23, 52, 64, 83, 84]"
62,59.166.0.0,*,*,*,unknown,tcp,*,"[1405, 1570, 1209, 1424, 1425, 1490, 1345, 1207, 1404, 1406, 1405, 1344, 1751, 1375, 1313, 1456, 1371, 1357]"
63,59.166.0.0,*,*,*,unknown,udp,*,"[275, 210, 232, 272, 228, 223, 265, 255, 250, 222, 239, 248, 250, 155, 231, 228, 223, 273]"
64,59.166.0.1,*,*,*,dns,udp,*,"[514, 530, 559, 557, 547, 582, 613, 535, 555, 532, 557, 522, 489, 439, 541, 506, 535, 512]"
65,59.166.0.1,*,*,*,ftp,tcp,*,"[77, 46, 79, 56, 68, 53, 60, 55, 64, 69, 72, 56, 58, 42, 67, 65, 66, 63]"
66,59.166.0.1,*,*,*,http,tcp,*,"[255, 304, 268, 284, 285, 328, 326, 274, 263, 268, 285, 271, 267, 244, 278, 255, 279, 256]"
67,59.166.0.1,*,*,*,smtp,tcp,*,"[95, 96, 128, 134, 124, 127, 135, 127, 132, 114, 128, 129, 89, 93, 125, 107, 113, 120]"
68,59.166.0.1,*,*,*,ssh,tcp,*,"[65, 86, 42, 87, 49, 51, 39, 66, 79, 121, 82, 87, 33, 18, 48, 63, 72, 90]"
69,59.166.0.1,*,*,*,unknown,tcp,*,"[1484, 1597, 1381, 1399, 1366, 1626, 1201, 1375, 1283, 1650, 1427, 1346, 1656, 1316, 1478, 1365, 1395, 1392]"
70,59.166.0.1,*,*,*,unknown,udp,*,"[206, 213, 228, 234, 249, 222, 264, 244, 209, 258, 236, 224, 230, 159, 266, 253, 231, 227]"
71,59.166.0.2,*,*,*,dns,udp,*,"[509, 528, 545, 560, 525, 577, 578, 520, 545, 529, 549, 482, 499, 424, 560, 490, 584, 534]"
